,dan,srp,twi,Doc2,fkh,Cyp310a1,Doc3,Blimp-1,ftz,sna
493,615,616,807,845,848,2603,119,120,122,123
494,1179,1065,1066,1103,1104,1141,1142,1143,1180,1181
495,1027,1028,1065,1066,1103,1104,1141,1142,1143,1180
496,602,487,562,569,3016,449,485,523,561,600
497,1255,1256,1257,1294,1295,1296,1483,1484,1485,1521
498,32,34,35,37,38,68,74,114,2937,2790
499,935,973,1010,1508,1536,1546,966,896,897,898
500,935,973,1010,1205,1243,1508,1536,1546,559,595
501,1205,1243,1475,1513,3004,1167,1206,1207,1245,1282
502,2847,2885,32,34,35,37,38,68,74,114
503,364,365,366,367,403,404,405,442,443,478
504,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
505,2004,2998,1014,1015,1055,1092,1130,1131,1168,1435
506,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
507,1029,1031,1068,1070,1076,1079,1106,1108,1117,1120
508,2232,2269,865,901,902,903,938,939,940,941
509,2145,2151,2153,2154,2190,2191,2228,2229,2230,2231
510,807,845,848,2402,2403,2405,2442,2443,2481,2604
511,900,1244,935,973,1010,1205,1243,865,901,902
512,1641,1681,1720,881,920,1415,1452,1642,1682,2975
513,285,533,534,571,315,316,355,357,368,389
514,1396,1434,1472,1343,1420,1431,1456,1459,1321,741
515,2433,2510,2511,2512,2547,2550,2357,2359,2395,2396
516,517,552,555,588,590,615,616,630,664,667
517,813,843,1339,1013,1052,1091,1128,1129,1358,1395
518,488,525,526,527,528,529,531,564,565,566
519,335,337,374,375,376,378,380,411,412,263
520,77,79,80,92,93,115,117,125,127,153
521,1014,1015,1055,1092,1130,1131,1168,1435,1739,1019
522,671,709,739,743,744,777,780,815,849,889
523,130,161,163,204,206,3012,121,159,197,95
524,1065,1066,1103,1104,1141,1142,1143,1180,1181,1218
525,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
526,3004,782,783,784,816,821,850,859,935,973
527,936,937,961,962,974,975,998,1001,1002,1038
528,295,640,718,793,798,2315,2316,2318,2353,2354
529,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
530,517,518,519,364,365,366,367,403,404,405
531,1377,3004,1044,1336,1415,1452,1642,1682,2975,782
532,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
533,776,818,852,890,2941,364,365,366,367,403
534,781,1378,1417,1455,1565,1566,1567,1568,1571,1603
535,1399,1475,1513,1323,1361,1438,1514,1552,1626,1627
536,293,327,330,172,213,215,249,251,253,288
537,1396,1434,1472,1013,1052,1076,1079,1091,1117,1120
538,2585,2738,2433,2510,2511,2512,2547,2550,609,647
539,555,588,590,630,652,653,664,667,727,728
540,3004,900,1244,935,973,1010,1205,1243,829,867
541,875,913,951,1791,1901,1903,1904,2960,761,799
542,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
543,2790,2791,2794,2814,2817,2829,2830,2835,2845,2873
544,1179,1028,1065,1066,1103,1104,1141,1142,1143,1180
545,31,71,72,73,75,107,108,109,110,111
546,556,482,519,520,558,633,670,672,1890,1928
547,293,327,330,172,213,215,249,251,253,288
548,2539,2577,2578,2579,2581,2582,2583,2616,2618,2619
549,2718,2968,2624,2637,2699,2720,2737,2917,2919,2509
550,481,517,559,595,596,640,555,556,588,590
551,961,962,998,1001,1002,1038,923,925,929,931
552,1399,1742,1779,2431,2467,2468,2469,2505,2507,2508
553,559,595,596,827,862,863,864,900,899,829
554,603,487,642,646,679,682,488,525,526,527
555,739,743,744,777,780,815,849,889,1343,1420
556,981,829,867,1019,1094,1133,3025,677,715,791
557,936,937,961,962,974,975,998,1001,1002,1038
558,1494,1497,1535,1036,1500,1508,1536,1538,1539,1546
559,1324,1476,1628,982,1020,1058,1096,1134,1336,1098
560,335,337,374,375,376,378,380,411,412,263
561,2775,2813,2815,2852,2911,2914,2921,2922,2926,3036
562,900,1283,1814,1815,1205,1243,865,901,902,903
563,559,595,596,900,520,558,594,633,669,670
564,807,845,848,2402,2403,2405,2442,2443,2481,2604
565,2769,2809,2634,2774,2811,2969,32,34,35,37
566,341,379,454,488,525,526,527,528,529,531
567,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
568,2790,2791,2794,2781,2782,2820,2825,2826,2879,2888
569,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
570,603,718,2048,2124,2725,2809,642,646,679,681
571,2917,2919,9,10,11,2911,2914,2921,2922,2926
572,523,520,558,633,670,672,556,587,617,618
573,364,365,366,367,403,404,405,442,443,478
574,994,995,997,1300,1534,1570,1581,1618,1765,1766
575,594,669,936,937,974,975,559,593,595,596
576,187,189,226,263,303,304,340,341,342,379
577,957,959,1762,1801,919,926,954,955,956,958
578,1514,1552,869,906,1210,1248,1286,1324,1476,1628
579,648,685,686,687,723,724,725,726,762,609
580,1962,1964,884,1378,1417,1455,1565,1566,1567,1568
581,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
582,1014,1015,1055,1092,1130,1131,1168,1435,1739,977
583,2673,2674,2675,2717,2917,2919,2804,2809,2847,2885
584,293,327,330,1205,1243,934,172,213,215,249
585,331,369,370,406,407,408,409,444,446,483
586,181,133,136,161,163,204,206,212,364,365
587,2598,2601,2642,2643,2645,2682,2695,2698,2735,2984
588,977,979,1016,1017,1053,1054,1093,3004,1013,1044
589,2872,2910,2924,2711,2718,2623,2625,2661,2662,2663
590,1514,1552,869,906,1210,1248,1286,1324,1476,1628
591,2383,758,911,945,947,948,949,950,983,984
592,951,953,1028,1753,1789,1790,1977,2015,761,799
593,1074,804,1343,1420,1431,1456,1459,1321,587,617
594,562,714,751,752,789,790,828,866,904,942
595,1283,1814,1815,865,901,902,903,938,939,940
596,1331,1333,1369,1370,1407,1408,1409,1445,1446,1447
597,2496,2532,2534,2459,2497,2498,2535,2536,2573,2612
598,1013,1029,1052,1068,1070,1091,1106,1108,1128,1129
599,915,879,914,916,917,918,952,954,955,956
600,1321,520,558,633,670,672,804,1343,1420,1431
601,759,2389,2391,2392,2393,2394,2470,2930,3006,758
602,1013,1029,1031,1052,1068,1070,1091,1106,1108,1128
603,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
604,935,973,1010,930,932,936,937,967,968,974
605,1335,1070,1076,1079,1108,1117,1120,1146,1147,1151
606,185,224,298,225,227,262,264,265,266,300
607,2245,2281,2283,2284,2319,2320,2321,2322,2358,2360
608,2790,2791,2794,2829,2830,2835,2845,2873,2875,2876
609,609,647,3026,648,685,686,687,723,724,725
610,556,482,519,520,558,633,670,672,553,554
611,2963,829,867,869,906,1019,1133,1210,1248,1286
612,737,765,767,769,773,774,802,2363,2987,551
613,2847,2885,32,34,35,37,38,68,74,114
614,2142,2445,2484,2485,2486,2487,2523,2524,2525,2527
615,341,379,454,2695,2698,2735,2984,377,413,414
616,1205,1243,520,558,633,670,672,1167,1206,1207
617,3004,739,743,744,777,780,815,849,889,1343
618,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
619,982,1020,1058,1096,1134,2048,2124,759,869,906
620,1377,1013,1052,1091,1128,1129,1358,1395,1397,1433
621,553,554,557,589,592,626,627,629,654,655
622,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
623,865,901,902,903,938,939,940,941,976,978
624,671,709,981,2431,2467,2468,2469,2505,2507,2508
625,523,520,558,633,670,672,445,484,521,522
626,1508,1536,1546,927,1035,1232,1233,1234,1271,1272
627,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
628,2048,2124,982,1020,1058,1096,1134,759,869,906
629,1324,1476,1628,1377,982,1020,1058,1096,1134,1179
630,2315,2316,2318,2353,2354,2356,759,795,796,797
631,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
632,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
633,1179,1065,1066,1103,1104,1141,1142,1143,1180,1181
634,520,558,633,670,672,293,327,330,445,484
635,364,365,366,367,403,404,405,442,443,478
636,2549,2587,2588,2589,2591,2626,2942,1,41,42
637,263,303,304,340,341,342,379,454,225,227
638,364,365,366,367,403,404,405,442,443,478
639,1019,1133,1436,1777,981,982,1020,1058,1096,1134
640,2692,2693,2696,2732,341,379,454,2691,2695,2698
641,2431,2467,2468,2469,2505,2507,2508,2543,2544,2546
642,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
643,900,1283,1814,1815,2963,1205,1243,829,867,869
644,2383,1793,2048,2124,2004,2998,759,946,1019,1021
645,946,1021,1022,1023,1026,1059,1060,1063,1064,1097
646,1878,1879,1881,1918,1919,1920,1921,1922,1923,1925
647,1742,1175,1176,1212,1213,1214,1216,1250,1251,1252
648,603,2048,2124,982,1020,1058,1096,1134,2431,2467
649,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
650,1377,1013,1052,1091,1128,1129,1358,1395,1397,1433
651,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
652,537,572,575,576,612,614,650,434,435,436
653,869,906,1210,1248,1286,830,868,982,1020,1058
654,291,328,364,365,366,367,403,404,405,442
655,1396,1434,1472,1013,1029,1031,1052,1068,1070,1076
656,481,517,559,595,596,555,556,588,590,630
657,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
658,671,709,520,558,633,670,672,804,635,637
659,46,481,47,482,631,2367,2961,19,49,52
660,1890,1928,2193,1451,1489,1527,1855,2383,1811,1883
661,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
662,1510,1549,1587,1205,1243,1508,1536,1546,1396,1434
663,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
664,609,647,3026,610,611,533,534,537,571,572
665,1343,1420,1431,1456,1459,1076,1079,1117,1120,1151
666,874,909,1135,1137,1139,1140,1173,1174,1177,1178
667,896,897,898,559,595,596,827,862,863,864
668,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
669,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
670,1396,1434,1472,1377,1343,1420,1431,1456,1459,1321
671,603,718,2048,2124,642,646,679,681,682,717
672,869,906,1210,1248,1286,830,868,982,1020,1058
673,1028,951,1027,1939,1979,1980,2017,2207,2244,2246
674,519,520,558,578,633,670,672,331,369,370
675,603,487,642,646,679,682,488,525,526,527
676,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
677,1167,1206,1207,1245,1282,1586,2994,1297,1013,1031
678,2431,2467,2468,2469,2505,2507,2508,2543,2544,2546
679,488,525,526,527,528,529,531,564,565,566
680,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
681,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
682,520,558,633,670,672,293,327,330,445,484
683,1378,1417,1455,1565,1566,1567,1568,1571,1603,1604
684,900,936,937,974,975,865,901,902,903,938
685,807,845,848,2402,2403,2405,2442,2443,2481,2604
686,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
687,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
688,1323,1361,1438,1626,1627,1741,1778,1359,813,843
689,341,379,454,377,413,414,415,416,417,418
690,1514,1552,487,869,906,1210,1248,1286,1324,1476
691,1514,1552,487,869,906,1175,1176,1210,1212,1213
692,874,909,1135,1137,1139,1140,1173,1174,1177,1178
693,517,291,328,518,364,365,366,367,403,404
694,481,517,559,595,596,640,555,556,588,590
695,1811,1883,1887,1888,1924,1926,1775,1807,1838,1839
696,32,34,35,37,38,68,74,114,2937,3028
697,1167,1206,1207,1245,1282,1586,1890,1928,2193,2994
698,523,520,558,633,670,672,445,484,521,522
699,162,164,129,161,163,204,206,3012,2103,2105
700,559,595,596,827,862,863,864,900,899,829
701,1033,1338,1573,1610,1619,1647,1648,1649,1650,1656
702,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
703,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
704,900,1283,1814,1815,2963,1205,1243,829,867,869
705,994,995,997,1300,1534,1570,1581,1618,1765,1766
706,1205,1243,520,558,633,670,672,1167,1206,1207
707,2603,2565,2598,2601,2642,2643,2645,2682,708,742
708,92,517,162,164,518,83,119,120,122,123
709,1396,1434,1472,1399,1321,3004,1336,1013,1052,1076
710,1335,977,979,1016,1017,1053,1054,1093,1037,1044
711,2048,2124,759,946,1019,1021,1022,1023,1026,1059
712,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
713,341,379,454,377,413,414,415,416,417,418
714,3028,32,34,35,37,38,68,74,114,2748
715,2917,2919,31,71,72,73,75,107,108,109
716,603,638,676,2695,2698,2735,2984,11,485,523
717,1223,1337,2988,1044,1261,1339,745,779,785,817
718,305,343,345,381,382,384,420,496,2978,285
719,364,365,366,367,403,404,405,442,443,478
720,609,647,3026,610,611,517,533,534,537,571
721,32,34,35,37,38,68,74,114,2937,31
722,1336,1013,1052,1091,1128,1129,1358,1395,1397,1433
723,286,287,324,581,586,960,1836,1989,2025,2026
724,2357,2359,2395,2396,2397,2434,2435,2436,2472,2473
725,829,867,1171,1284,1475,1513,830,868,981,1172
726,929,931,933,963,964,965,969,970,971,1003
727,1028,951,1027,989,991,992,993,1030,1029,1031
728,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
729,130,95,131,132,134,165,166,168,205,207
730,1490,1491,1492,1493,1495,1528,1529,1530,1531,1532
731,487,869,906,1210,1248,1286,185,224,2730,2734
732,2315,2316,2318,2353,2354,2356,830,868,1172,759
733,1205,1243,1775,1490,1491,1492,1493,1495,1528,1529
734,449,1514,1552,298,296,297,299,301,336,338
735,1508,1536,1546,1260,927,1035,1232,1233,1234,1271
736,2793,2795,2831,2832,2833,2834,2841,2877,2878,2885
737,1878,1879,1881,1918,1919,1920,1921,1922,1923,1925
738,183,220,259,181,221,260,298,11,172,213
739,305,343,345,381,382,384,420,496,2978,285
740,1415,1452,1642,1682,2975,2179,2216,2255,2258,807
741,3028,31,71,72,73,75,107,108,109,110
742,1807,1838,1839,1840,1841,1845,1847,1851,1852,1880
743,32,34,35,37,38,68,74,114,263,303
744,935,973,1010,1260,930,932,936,937,967,968
745,130,95,131,132,134,165,166,168,205,93
746,92,517,83,162,164,518,119,120,122,123
747,1321,1014,1015,1055,1074,1092,1130,1131,1168,1396
748,977,979,1016,1017,1053,1054,1093,900,980,1018
749,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
750,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
751,2117,2182,2183,2217,2221,2222,2224,2225,2226,2257
752,1510,1549,1587,1396,1434,1472,2962,927,1035,1167
753,1013,1052,1091,1128,1129,1358,1395,1397,1433,1623
754,609,647,1711,1713,1715,1749,1750,1751,1752,1787
755,520,558,633,670,672,523,556,587,617,618
756,594,669,130,438,2598,2601,2642,2643,2645,2682
757,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
758,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
759,1742,1175,1176,1212,1213,1214,1216,1250,1251,1252
760,185,224,1175,1176,1212,1213,1214,1216,1250,1251
761,1855,874,909,1135,1137,1139,1140,1173,1174,1177
762,517,552,162,164,363,400,401,402,437,439
763,587,617,618,619,620,621,623,624,657,658
764,3004,981,1359,1473,1511,980,1018,1056,1132,1170
765,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
766,289,329,250,368,474,1167,1206,1207,1245,1282
767,1451,1489,1527,1205,1243,1167,1206,1207,1245,1282
768,900,759,977,979,1016,1017,1053,1054,1093,2383
769,1983,1984,1985,2021,2022,2058,1797,1799,1800,1831
770,1029,1068,1106,1331,1333,1369,1370,1407,1408,1409
771,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
772,1377,3004,1013,1052,1091,1128,1129,1358,1395,1397
773,759,2389,2391,2392,2393,2394,2470,2930,3006,758
774,577,434,435,436,471,472,473,508,1981,2020
775,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
776,162,164,83,119,120,122,123,157,158,196
777,759,2389,2391,2392,2393,2394,2470,2930,3006,1779
778,1597,1599,1635,1636,1673,1674,1675,1676,1677,1712
779,1939,1979,1980,2017,2207,2244,2246,2247,2282,2664
780,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
781,2004,2998,1962,1964,1014,1015,1055,1092,1130,1131
782,1321,1377,523,671,709,1014,1015,1055,1074,1092
783,2748,2751,2752,2758,2760,2982,2599,2677,2709,2710
784,1258,1259,1486,1487,1525,1526,996,1028,1032,2669
785,2725,296,1019,1133,2727,2768,2772,2730,2734,2770
786,961,962,998,1001,1002,1038,207,243,244,245
787,977,979,1016,1017,1053,1054,1093,1037,1044,2117
788,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
789,32,34,35,37,38,68,74,114,2937,22
790,1378,1417,1455,1565,1566,1567,1568,1571,1603,1604
791,1855,874,909,1135,1137,1139,1140,1173,1174,1177
792,2769,2809,603,2695,2698,2735,2984,2774,2811,2969
793,1939,1979,1980,2017,2207,2244,2246,2247,2282,2664
794,2179,2216,2255,2258,1415,1452,1642,1682,2975,84
795,1074,1321,771,772,810,999,1000,1037,1076,1079
796,837,839,876,878,875,879,884,913,914,916
797,1019,1133,1057,1095,1323,1361,1438,1626,1627,1741
798,185,224,1175,1176,1212,1213,1214,1216,1250,1251
799,761,799,847,885,924,2664,2665,2666,2701,2702
800,1510,1549,1587,927,1035,1167,1206,1207,1232,1233
801,1167,1206,1207,1245,1282,1586,2994,1261,1013,1052
802,341,379,454,488,525,526,527,528,529,531
803,888,2603,671,709,635,637,673,674,707,710
804,982,1020,1058,1096,1134,2431,2467,2468,2469,2505
805,1377,1037,1336,1415,1452,1642,1682,2975,886,1011
806,1793,2725,2441,2383,2730,2734,2770,1831,1832,1869
807,1205,1243,934,520,558,633,670,672,1167,1206
808,603,487,639,642,646,679,682,1019,1133,1399
809,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
810,1029,1068,1106,761,799,989,991,992,993,1030
811,2431,2467,2468,2469,2505,2507,2508,2543,2544,2546
812,364,365,366,367,403,404,405,442,443,478
813,1029,1031,1037,1068,1070,1106,1108,1146,1147,1184
814,1794,523,2917,2919,295,2963,587,617,618,619
815,1299,1795,994,995,997,1261,1300,1534,1570,1581
816,3028,2776,2779,2783,2785,2787,2822,2868,2870,2912
817,1890,1928,2193,1807,1838,1839,1840,1841,1845,1847
818,900,1283,1814,1815,1205,1243,865,901,902,903
819,594,669,936,937,974,975,559,593,595,596
820,172,213,215,249,251,253,288,290,292,523
821,884,1873,1912,2099,807,845,848,883,886,921
822,2695,2698,2735,2984,2733,679,682,2692,2693,2696
823,874,909,1135,1137,1139,1140,1173,1174,1177,1178
824,229,267,268,305,343,345,381,382,384,420
825,2048,2124,759,946,1021,1022,1023,1026,1059,1060
826,1377,1011,1049,1077,1125,1315,1317,1335,1340,1341
827,1244,2232,2269,1299,1488,996,1032,865,901,902
828,487,869,906,1210,1248,1286,260,449,602,754
829,520,558,633,670,672,445,484,521,522,559
830,305,343,345,381,382,384,420,2978,387,424
831,1014,1015,1055,1092,1130,1131,1168,1435,1739,1019
832,896,897,898,559,595,596,827,862,863,864
833,1962,1964,884,1378,1417,1455,1565,1566,1567,1568
834,487,449,602,341,379,454,488,525,526,527
835,1029,1068,1106,2004,2998,761,799,989,991,992
836,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
837,741,778,811,1399,523,671,709,1396,1434,1472
838,2598,2601,2642,2643,2645,2682,481,517,559,595
839,2640,671,675,709,711,712,713,747,748,749
840,1514,1552,869,906,1175,1176,1210,1212,1213,1214
841,2790,2791,2794,2829,2830,2835,2845,2873,2875,2876
842,520,558,633,670,672,293,327,330,445,484
843,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
844,295,293,327,330,220,259,296,172,213,215
845,1902,1905,1942,1943,2056,2208,1791,1866,1867,1868
846,858,891,745,775,779,785,808,817,819,820
847,874,909,1135,1137,1139,1140,1173,1174,1177,1178
848,1167,1206,1207,1245,1282,1586,2994,926,951,954
849,1260,972,1012,1201,1202,1203,1204,1238,1239,1240
850,520,558,633,670,672,1321,556,587,617,618
851,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
852,523,556,1855,2383,295,488,525,526,527,528
853,2781,2782,2820,2825,2826,2623,2625,2661,2662,2663
854,556,523,1855,2383,482,519,520,558,633,670
855,1028,1065,1066,1103,1104,1141,1142,1143,1180,1181
856,1399,1323,1361,1438,1626,1627,1741,1778,1019,1133
857,869,906,1210,1248,1286,830,868,982,1020,1058
858,487,449,602,341,379,454,488,525,526,527
859,1014,1015,1055,1092,1130,1131,1168,1435,1739,1377
860,869,906,1210,1248,1286,830,868,982,1020,1058
861,746,1074,2296,2406,2446,2447,2449,2488,2489,2491
862,1293,1031,1255,1256,1257,1294,1295,1296,1297,1483
863,610,611,609,647,3026,533,534,537,571,572
864,1399,1323,1361,1438,1626,1627,1741,1778,1019,1133
865,875,913,1941,1978,2054,2055,2091,2092,2093,2094
866,869,906,1210,1248,1286,830,868,982,1020,1058
867,1742,1175,1176,1212,1213,1214,1216,1250,1251,1252
868,1029,1031,1068,1070,1076,1079,1106,1108,1117,1120
869,291,328,364,365,366,367,403,404,405,442
870,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
871,1742,2431,2467,2468,2469,2505,2507,2508,2543,2544
872,1855,295,488,525,526,527,528,529,531,564
873,1378,1417,1455,1565,1566,1567,1568,1571,1603,1604
874,1855,874,909,1135,1137,1139,1140,1173,1174,1177
875,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
876,2695,2698,2735,2984,2731,2689,2690,2725,2726,2728
877,341,379,454,377,413,414,415,416,417,418
878,1396,1434,1472,1013,1029,1031,1052,1068,1070,1076
879,523,520,558,633,670,672,445,484,521,522
880,2796,2800,2838,2839,2840,2874,2881,2917,2919,2868
881,1205,1243,934,520,558,633,670,672,1167,1206
882,1514,1552,869,906,1210,1248,1286,1324,1476,1628
883,183,220,259,148,178,184,185,216,224,254
884,485,523,600,183,487,520,558,633,670,672
885,1514,1552,869,906,1210,1248,1286,1324,1476,1628
886,487,869,906,1210,1248,1286,260,449,602,754
887,936,937,961,962,974,975,998,1001,1002,1038
888,1037,1014,1015,1055,1074,1092,1130,1131,1168,1435
889,640,2598,2601,2642,2643,2645,2682,2695,2698,2735
890,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
891,556,1205,1243,482,519,520,558,633,670,672
892,1514,1552,487,869,906,1210,1248,1286,1324,1476
893,1939,1979,1980,2017,2207,2244,2246,2247,2282,2972
894,32,34,35,37,38,68,74,114,2937,31
895,341,379,454,488,525,526,527,528,529,531
896,184,1175,1176,1212,1213,1214,1216,1250,1251,1252
897,184,1175,1176,1212,1213,1214,1216,1250,1251,1252
898,2941,675,711,712,713,747,748,749,750,786
899,2471,2551,2433,2510,2511,2512,2547,2550,2509,2548
900,1475,1513,1588,1323,1361,1438,1514,1552,1626,1627
901,92,517,162,164,172,213,215,249,251,253
902,1011,1049,1077,1125,1315,1317,1340,1341,1354,1375
903,972,1012,1201,1202,1203,1204,1238,1239,1240,1241
904,325,326,361,362,517,552,555,588,590,615
905,793,798,449,602,754,792,830,868,1172,296
906,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
907,758,911,945,947,948,949,950,983,984,985
908,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
909,2968,32,34,35,37,38,68,74,114,2790
910,1855,874,909,1135,1137,1139,1140,1173,1174,1177
911,3004,1013,1052,1091,1128,1129,1358,1395,1397,1433
912,930,932,936,937,961,962,967,968,974,975
913,364,365,366,367,403,404,405,442,443,478
914,481,518,561,636,2496,2532,2534,482,631,2367
915,994,995,997,1300,1534,1570,1581,1618,1765,1766
916,638,676,980,1018,1056,1132,1170,2461,2611,2649
917,569,3016,488,525,526,527,528,529,531,564
918,639,679,682,671,709,601,603,638,640,676
919,77,79,80,93,115,117,125,127,153,154
920,341,379,454,377,413,414,415,416,417,418
921,1377,1011,1049,1077,1125,1315,1317,1335,1340,1341
922,363,400,401,402,437,439,440,441,475,476
923,886,1011,1049,1077,1125,1315,1317,1340,1341,1354
924,2968,2790,2791,2794,49,2781,2782,2820,2825,2826
925,1742,2431,2467,2468,2469,2505,2507,2508,2543,2544
926,602,754,792,830,868,1172,640,718,793,798
927,1220,1221,1334,1336,1372,1412,1413,1415,1449,1450
928,1508,1536,1546,1260,927,1035,1232,1233,1234,1271
929,982,1020,1058,1096,1134,2048,2124,759,869,906
930,2725,32,34,35,37,38,68,74,114,2937
931,1167,1206,1207,1245,1282,1586,1890,1928,2193,2994
932,1811,1883,1887,1888,1924,1926,1807,1838,1839,1840
933,368,474,91,175,176,214,252,2973,519,610
934,1415,1452,1642,1682,2975,781,1377,1378,1417,1455
935,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
936,32,34,35,37,38,68,74,114,2937,22
937,1014,1015,1055,1092,1130,1131,1168,1435,1739,977
938,1508,1536,1546,927,1035,1232,1233,1234,1271,1272
939,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
940,1205,1243,1508,1536,1546,1510,1549,1587,1396,1434
941,306,348,383,388,419,421,422,423,497,3011
942,1514,1552,487,869,906,1175,1176,1210,1212,1213
943,1098,1099,1136,1253,1287,1289,1290,1291,1292,1325
944,2232,2269,1890,1928,2145,2151,2153,2154,2190,2191
945,1377,1336,1415,1452,1642,1682,2975,1011,1049,1077
946,758,911,945,947,948,949,950,983,984,985
947,874,909,1135,1137,1139,1140,1173,1174,1177,1178
948,795,796,797,829,831,832,834,835,836,867
949,1070,1108,1146,1147,1184,1222,1223,1337,2988,1261
950,1377,1179,1336,1415,1452,1642,1682,2975,1013,1052
951,2245,2281,2283,2284,2319,2320,2321,2322,2358,2360
952,1205,1243,1167,1206,1207,1245,1282,1586,2994,972
953,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
954,1343,1420,1431,1456,1459,1076,1079,1117,1120,1151
955,2790,2791,2794,2775,2813,2815,2852,2853,2854,2855
956,1335,1145,1179,1182,1183,1371,1373,1374,1377,1410
957,900,1283,1814,1815,1205,1243,865,901,902,903
958,1514,1552,487,869,906,1175,1176,1210,1212,1213
959,951,285,344,1031,1753,1789,1790,1977,2015,953
960,1902,1905,1942,1943,2056,2208,1331,1333,1369,1370
961,1175,1176,1212,1213,1214,1216,1250,1251,1252,1254
962,523,556,184,1855,2383,2957,187,189,226,263
963,1890,1928,2193,900,1283,1814,1815,1853,1891,1929
964,1377,1013,1052,1091,1128,1129,1358,1395,1397,1433
965,1323,1361,1438,1626,1627,1741,1778,1019,1133,1324
966,671,709,635,637,673,674,707,710,2603,559
967,2758,2760,2982,2557,2585,2590,2594,2595,2596,2513
968,1074,771,772,810,999,1000,1037,1076,1079,1117
969,1013,1029,1031,1052,1068,1070,1091,1106,1108,1128
970,775,808,840,1396,1434,1472,741,778,803,805
971,1285,1322,1360,1398,1437,1664,1665,1702,1703,1740
972,642,646,681,717,719,720,721,722,755,756
973,982,1020,1058,1096,1134,869,906,946,1019,1021
974,741,778,811,671,709,1396,1434,1472,813,843
975,1324,1476,1628,982,1020,1058,1096,1134,1098,1099
976,2048,2124,759,946,1021,1022,1023,1026,1059,1060
977,2048,2124,759,946,1021,1022,1023,1026,1059,1060
978,874,909,1135,1137,1139,1140,1173,1174,1177,1178
979,1514,1552,869,906,1210,1248,1286,1324,1476,1628
980,1014,1015,1055,1092,1130,1131,1168,1435,1739,1339
981,1878,1879,1881,1918,1919,1920,1921,1922,1923,1925
982,602,640,487,569,679,682,2692,2693,2696,2732
983,1962,1964,1878,1879,1881,1918,1919,1920,1921,1922
984,1807,1838,1839,1840,1841,1845,1847,1851,1852,1880
985,900,1283,1814,1815,2963,1205,1243,829,867,869
986,603,2048,2124,2431,2467,2468,2469,2505,2507,2508
987,305,343,345,381,382,384,420,496,2978,434
988,291,328,364,365,366,367,403,404,405,442
989,1205,1243,934,520,558,633,670,672,1167,1206
990,364,365,366,367,403,404,405,442,443,478
