,twi,Mdr49,knrl,rau,Ama,CG8147,mfas,lok,toc,hkb
463,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
464,3019,33,16,2937,6,11,4,30,14,36
465,2893,2908,2892,2897,2889,2903,2923,2899,2894,2896
466,2925,2923,2920,2908,2905,2921,2913,2924,2903,2926
467,2851,2891,2890,2853,2854,2852,2889,2855,2894,2895
468,33,3019,2937,16,30,36,22,11,14,6
469,2923,2920,2925,2913,2903,2908,2921,2916,2906,2897
470,2925,2924,2920,2921,2926,2923,2916,2913,2917,2905
471,2905,2908,2923,2925,2920,2903,2913,2897,2921,2926
472,2905,2908,2923,2925,2920,2903,2913,2921,2924,2926
473,2905,2908,2923,2925,2920,2903,2893,2897,2913,2892
474,2851,2891,2890,2889,2852,2853,2854,2892,2894,2813
475,2905,2908,2925,2923,2920,2921,2913,2924,2926,2903
476,2905,2908,2923,2925,2920,2913,2921,2924,2903,2926
477,2908,2889,2892,2893,2890,2891,2905,2851,2897,2894
478,3019,33,4,6,2,11,16,14,9,2937
479,3019,33,6,4,16,11,2937,14,2,30
480,2908,2905,2923,2925,2920,2913,2921,2903,2924,2926
481,2908,2889,2893,2892,2905,2897,2923,2890,2903,2891
482,4,2,6,3019,3,9,2974,11,33,14
483,2889,2890,2892,2893,2894,2891,2896,2899,2895,2851
484,3019,33,4,6,2908,2,2905,11,16,2889
485,4,2,6,3,9,2974,3019,11,14,33
486,2908,2905,2923,2893,2897,2889,2903,2892,2920,2925
487,2890,2891,2851,2889,2894,2892,2853,2854,2852,2895
488,2905,2908,2923,2925,2920,2926,2924,2913,2921,2903
489,4,2,6,3,9,2974,11,3019,14,7
490,2925,2920,2923,2913,2921,2908,2924,2903,2916,2905
491,2851,2891,2890,2889,2853,2852,2854,2894,2892,2855
492,2893,2892,2889,2897,2890,2894,2899,2896,2903,2908
493,3019,33,16,2937,30,6,36,11,4,14
494,2905,2925,2908,2920,2923,2924,2921,2926,2913,2916
495,3019,33,2937,16,30,36,38,6,11,22
496,2908,2889,2893,2892,2897,2890,2923,2903,2905,2894
497,33,3019,16,2937,30,36,6,11,22,14
498,3019,33,6,4,16,11,14,2937,2,9
499,3019,33,2905,2908,2937,16,30,6,36,2923
500,2908,2905,2889,2893,2892,2923,2897,2890,2903,2851
501,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
502,2893,2903,2897,2923,2892,2908,2913,2899,2906,2920
503,2908,2905,2923,2893,2903,2897,2920,2892,2925,2889
504,2889,2892,2893,2890,2894,2896,2891,2899,2897,2895
505,3019,33,6,4,2,11,16,14,9,2937
506,2851,2891,2853,2852,2890,2854,2,4,2813,2855
507,2905,2908,2925,2923,2920,2924,2921,2926,2913,2903
508,2908,2905,2893,2923,2889,2892,2897,2903,2920,2913
509,2905,2925,2908,2923,2920,2924,2921,2926,2913,2903
510,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
511,2908,2905,2889,2893,2892,2890,2923,2851,2897,2891
512,2905,2908,2923,2925,2920,2913,2903,2921,2924,2926
513,2925,2920,2923,2913,2921,2924,2916,2908,2903,2926
514,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
515,33,3019,16,2937,30,11,6,36,14,22
516,2923,2908,2920,2925,2903,2913,2905,2897,2893,2906
517,2908,2905,2923,2893,2889,2892,2897,2903,2920,2890
518,2889,2890,2892,2891,2894,2851,2893,2896,2895,2899
519,2893,2892,2889,2897,2899,2903,2894,2890,2896,2908
520,2925,2923,2920,2908,2913,2905,2921,2903,2924,2916
521,2908,2889,2892,2890,2893,2851,2905,2891,2897,2894
522,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
523,2908,2923,2905,2903,2920,2925,2913,2897,2893,2906
524,33,3019,16,2937,30,6,11,14,22,36
525,4,2,6,9,3,2974,11,3019,14,33
526,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
527,2905,2908,2923,2925,2920,2903,2913,2926,2924,2921
528,2893,2892,2889,2897,2890,2899,2894,2896,2903,2908
529,3019,4,6,2,33,11,3,9,16,2974
530,2908,2905,2923,2893,2897,2903,2892,2889,2920,2925
531,2905,2908,2923,2925,2920,2903,2893,2897,2913,2892
532,2905,2908,2923,2925,2920,2903,2913,2926,2924,2921
533,2908,2905,2923,2893,2903,2897,2892,2889,2920,2925
534,2905,2908,2923,2925,2920,2903,2926,2913,2924,2921
535,2851,2890,2889,2891,2892,2894,2853,2852,2893,2854
536,2923,2925,2920,2908,2913,2903,2905,2921,2916,2924
537,2908,2905,2889,2893,2892,2890,2923,2851,2897,2891
538,2925,2920,2923,2921,2908,2905,2924,2913,2926,2916
539,2925,2923,2920,2908,2905,2921,2913,2924,2903,2926
540,2889,2851,2908,2890,2891,2892,2893,2894,2852,2905
541,33,3019,2937,30,16,36,22,38,11,14
542,33,3019,2937,16,30,36,22,11,14,6
543,33,3019,16,2937,6,11,14,30,4,22
544,2925,2920,2924,2921,2923,2926,2916,2913,2905,2908
545,2893,2897,2892,2903,2923,2889,2899,2908,2896,2902
546,3019,33,16,6,2937,4,11,30,36,14
547,2908,2923,2905,2920,2925,2903,2913,2897,2893,2921
548,4,2,6,3,9,2974,3019,11,14,33
549,3019,33,16,2937,6,11,30,14,4,22
550,2908,2905,2923,2893,2897,2903,2892,2889,2920,2913
551,2905,2908,2923,2925,2920,2903,2913,2897,2893,2926
552,2890,2889,2892,2891,2894,2893,2896,2895,2851,2899
553,2889,2908,2892,2893,2890,2897,2891,2894,2923,2851
554,4,6,2,3019,11,33,9,3,2974,16
555,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
556,3019,4,6,2,33,11,9,3,16,2974
557,2889,2908,2890,2851,2892,2891,2893,2894,2905,2897
558,3019,33,2937,16,30,36,6,38,4,11
559,2908,2889,2892,2890,2851,2893,2891,2905,2894,2897
560,2893,2892,2889,2897,2899,2890,2894,2903,2896,2908
561,3019,33,6,16,4,11,14,2937,9,2
562,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
563,2908,2905,2889,2893,2892,2923,2897,2903,2890,2894
564,3019,33,6,16,4,11,2937,14,30,2
565,2923,2903,2893,2897,2908,2913,2892,2920,2906,2899
566,2889,2890,2892,2891,2894,2893,2896,2895,2851,2899
567,2851,2891,2890,2852,2889,2853,2854,2894,2892,2813
568,3019,33,6,16,4,11,14,2937,9,2
569,2925,2920,2924,2921,2923,2926,2905,2908,2913,2916
570,2890,2889,2891,2892,2894,2851,2895,2893,2896,2854
571,2893,2903,2923,2897,2908,2913,2892,2906,2920,2899
572,2908,2889,2893,2892,2897,2923,2890,2905,2903,2894
573,2908,2905,2923,2893,2903,2897,2920,2925,2913,2892
574,2905,2908,2925,2923,2920,2924,2921,2926,2913,2903
575,3019,33,6,4,16,11,2937,14,2,9
576,2890,2891,2889,2892,2894,2851,2895,2854,2896,2893
577,2908,2905,2923,2925,2903,2920,2893,2897,2913,2892
578,2851,2891,2890,2853,2854,2852,2889,2855,2894,2895
579,2925,2920,2923,2921,2924,2908,2913,2905,2926,2916
580,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
581,3019,33,4,6,2,11,16,2908,2905,3
582,2908,2889,2905,2892,2893,2890,2851,2897,2923,2891
583,3019,33,16,6,2937,4,11,14,30,22
584,2908,2905,2923,2893,2903,2897,2920,2892,2925,2913
585,2908,2905,2923,2925,2920,2913,2903,2921,2897,2924
586,2908,2923,2903,2920,2905,2897,2913,2925,2893,2906
587,3019,33,16,6,2937,4,11,30,14,36
588,2908,2889,2892,2890,2893,2851,2891,2905,2894,2897
589,3019,33,16,6,2937,11,4,14,30,22
590,2890,2891,2851,2889,2894,2892,2854,2895,2853,2855
591,2890,2891,2889,2851,2892,2894,2854,2853,2895,2855
592,2925,2920,2923,2921,2924,2913,2916,2926,2908,2905
593,3019,33,16,6,2937,4,11,30,14,36
594,2889,2908,2892,2893,2890,2891,2897,2851,2894,2923
595,2905,2908,2923,2925,2920,2903,2913,2921,2926,2924
596,2925,2920,2921,2924,2923,2926,2916,2913,2905,2917
597,3019,33,6,4,11,2,16,14,9,2937
598,3019,4,6,33,2,11,16,3,9,14
599,3019,4,6,33,2,11,16,9,14,3
600,2908,2905,2889,2893,2923,2892,2897,2903,2890,2851
601,2890,2889,2892,2891,2894,2893,2896,2895,2851,2899
602,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
603,2908,2905,2889,2893,2892,2923,2897,2890,2903,2851
604,2905,2908,2925,2923,2920,2924,2926,2921,2913,2903
605,2905,2908,2923,2925,2920,2903,2913,2926,2924,2921
606,2893,2903,2923,2897,2908,2913,2892,2906,2920,2899
607,33,3019,2937,16,30,36,22,11,6,14
608,3019,33,16,6,4,11,2937,14,30,22
609,2925,2920,2923,2908,2905,2921,2924,2913,2926,2916
610,2908,2905,2923,2925,2920,2903,2913,2897,2893,2921
611,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
612,2925,2920,2923,2921,2913,2908,2924,2905,2916,2903
613,3019,6,33,4,11,16,14,2,9,2937
614,3019,33,6,4,16,11,14,2,2937,9
615,2889,2892,2890,2893,2894,2891,2896,2899,2897,2895
616,2905,2908,2923,2925,2920,2903,2893,2897,2913,2921
617,2908,2889,2851,2890,2892,2905,2893,2891,2894,2897
618,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
619,2890,2889,2891,2892,2894,2851,2895,2893,2896,2854
620,2908,2905,2889,2892,2893,2890,2851,2891,2923,2897
621,3019,33,6,4,16,11,2937,14,2,30
622,4,2,6,3,9,2974,11,3019,7,14
623,2908,2889,2892,2890,2893,2905,2851,2891,2897,2894
624,2889,2892,2890,2893,2891,2894,2851,2896,2897,2899
625,2908,2889,2892,2893,2890,2851,2891,2905,2897,2894
626,2905,2908,2923,2925,2893,2920,2903,2897,2913,2892
627,2851,2891,2890,2889,2853,2854,2894,2892,2852,2895
628,2891,2851,2890,2854,2853,2889,2894,2852,2855,2895
629,2851,2891,2890,2853,2852,2854,2889,2813,2894,2855
630,2890,2891,2851,2889,2894,2854,2853,2892,2895,2852
631,4,2,6,9,3,2974,11,3019,14,33
632,2908,2905,2889,2893,2892,2923,2897,2903,2890,2851
633,2925,2920,2921,2924,2923,2926,2916,2913,2917,2905
634,2908,2905,2893,2889,2892,2923,2897,2903,2890,2894
635,2908,2905,2923,2893,2903,2897,2892,2889,2920,2925
636,2923,2920,2903,2913,2925,2908,2897,2906,2893,2916
637,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
638,2908,2905,2923,2893,2897,2903,2892,2889,2920,2913
639,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
640,2889,2892,2893,2890,2894,2897,2896,2899,2891,2903
641,2890,2891,2851,2889,2894,2892,2854,2853,2895,2852
642,2851,2891,2890,2853,2852,2854,2889,2813,2894,2855
643,2889,2851,2908,2890,2891,2892,2893,2905,2894,2852
644,2889,2851,2908,2890,2891,2892,2893,2905,2894,2852
645,4,6,3019,2,11,33,9,3,2974,16
646,3019,33,6,16,4,2937,11,30,14,36
647,2851,2891,2890,2889,2853,2852,2854,2894,2892,2855
648,2851,2890,2891,2889,2892,2894,2853,2852,2854,2893
649,2851,2891,2890,2853,2854,2852,2889,2855,2894,2895
650,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
651,2851,2891,2890,2889,2853,2854,2852,2894,2855,2892
652,2923,2925,2908,2920,2905,2913,2903,2921,2924,2916
653,2890,2891,2889,2851,2892,2894,2854,2895,2893,2853
654,2908,2893,2923,2897,2903,2892,2905,2889,2920,2913
655,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
656,2908,2905,2923,2893,2903,2897,2920,2925,2913,2892
657,2851,2891,2890,2853,2854,2852,2889,2894,2855,2895
658,3019,33,6,16,4,2937,11,14,30,2
659,2908,2923,2903,2920,2913,2897,2905,2925,2893,2906
660,2908,2889,2893,2892,2905,2890,2897,2923,2891,2851
661,2908,2905,2923,2893,2889,2892,2897,2903,2920,2890
662,2908,2905,2923,2893,2889,2892,2897,2903,2920,2925
663,2891,2851,2890,2854,2853,2889,2894,2852,2855,2895
664,2923,2920,2925,2913,2908,2903,2921,2897,2906,2916
665,2905,2908,2923,2925,2920,2903,2926,2913,2924,2921
666,2851,2891,2890,2853,2852,2854,2889,2894,2813,2855
667,2908,2905,2923,2893,2897,2889,2892,2903,2920,2925
668,2890,2891,2889,2851,2894,2892,2854,2895,2853,2855
669,2891,2890,2851,2889,2854,2894,2853,2895,2855,2892
670,2908,2905,2923,2893,2903,2897,2889,2892,2925,2920
671,2851,2891,2890,2853,2852,2889,2854,2894,2813,2855
672,4,2,6,3019,3,9,11,2974,33,14
673,2925,2905,2920,2923,2908,2924,2921,2926,2913,2916
674,2908,2893,2923,2905,2897,2892,2889,2903,2920,2913
675,2890,2889,2892,2891,2894,2893,2851,2896,2895,2899
676,4,2,6,9,3,2974,11,3019,14,7
677,3019,33,2937,16,30,36,6,4,11,38
678,2890,2891,2851,2889,2894,2892,2854,2895,2853,2855
679,2851,2891,2890,2889,2853,2854,2852,2894,2892,2855
680,2890,2891,2851,2889,2892,2894,2853,2854,2852,2895
681,2891,2890,2851,2889,2854,2853,2894,2895,2855,2852
682,2905,2908,2925,2923,2920,2913,2921,2924,2926,2903
683,3019,2905,2908,33,2923,2925,2920,2937,16,30
684,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
685,3019,33,6,16,4,11,2937,14,2,30
686,2905,2908,2923,2925,2920,2903,2913,2921,2924,2897
687,2908,2905,2889,2893,2923,2892,2897,2903,2890,2891
688,2851,2889,2890,2891,2892,2852,2853,2894,2908,2893
689,2892,2889,2893,2890,2897,2894,2899,2896,2903,2891
690,4,2,6,9,3,2974,11,3019,14,7
691,2851,2891,2890,2889,2852,2853,2854,2813,2894,2892
692,2851,2891,2890,2853,2852,2854,2889,2813,2855,2894
693,2923,2908,2920,2925,2903,2913,2905,2897,2893,2906
694,2908,2893,2905,2923,2889,2892,2897,2903,2920,2890
695,3019,33,16,2937,6,30,11,4,36,14
696,2893,2897,2903,2923,2892,2908,2913,2899,2906,2889
697,3019,33,4,6,2,11,16,9,14,3
698,2889,2908,2851,2890,2891,2892,2893,2905,2894,2852
699,2908,2923,2905,2920,2903,2925,2913,2897,2893,2906
700,2908,2889,2893,2905,2892,2923,2897,2903,2890,2894
701,3019,33,16,2937,6,30,4,36,11,14
702,2851,2891,2890,2889,2853,2852,2854,2894,2892,2855
703,2851,2891,2890,2853,2889,2852,2854,2894,2892,2855
704,2908,2905,2889,2893,2892,2923,2897,2903,2890,2891
705,2905,2908,2925,2923,2920,2926,2924,2921,2913,2903
706,2908,2905,2923,2893,2889,2892,2897,2903,2920,2913
707,3019,33,6,16,4,11,2937,14,30,2
708,2908,2923,2920,2903,2925,2905,2913,2897,2893,2906
709,2908,2889,2890,2892,2851,2893,2891,2905,2894,2897
710,33,3019,2937,16,30,36,6,11,22,14
711,4,6,2,3019,11,9,33,3,2974,14
712,4,2,6,9,3,2974,11,3019,14,7
713,2893,2892,2889,2897,2890,2894,2899,2903,2896,2908
714,2908,2923,2903,2893,2897,2920,2913,2905,2892,2925
715,2893,2903,2923,2897,2908,2913,2892,2906,2920,2899
716,2889,2890,2892,2894,2893,2891,2896,2899,2895,2851
717,2925,2924,2920,2921,2926,2923,2916,2913,2917,2905
718,2908,2905,2923,2925,2920,2913,2903,2921,2924,2916
719,2908,2889,2893,2892,2905,2897,2890,2923,2903,2891
720,2925,2920,2923,2913,2921,2924,2908,2916,2903,2905
721,2893,2903,2897,2923,2908,2892,2913,2906,2899,2920
722,3019,4,6,33,2,11,16,3,9,14
723,2923,2908,2920,2925,2905,2903,2913,2897,2893,2906
724,33,3019,16,2937,30,36,11,22,6,14
725,2851,2891,2890,2889,2852,2853,2854,2892,2894,2813
726,2905,2908,2923,2925,2920,2903,2893,2897,2913,2892
727,2925,2920,2921,2924,2923,2913,2926,2916,2908,2905
728,4,6,2,9,3,2974,11,3019,14,33
729,2923,2920,2908,2903,2925,2913,2897,2906,2905,2893
730,3019,33,16,6,2937,4,11,30,14,36
731,2890,2891,2851,2889,2894,2892,2854,2895,2853,2855
732,4,6,2,3019,11,9,33,14,2974,16
733,2905,2908,2923,2925,2920,2903,2913,2921,2897,2924
734,2,4,6,3,9,2974,2851,2891,11,2890
735,2908,2905,2889,2893,2892,2890,2923,2851,2897,2891
736,3019,33,6,16,4,11,14,2937,2,30
737,3019,4,6,33,2,11,16,9,14,3
738,2889,2892,2890,2908,2893,2891,2851,2894,2897,2896
739,2925,2920,2923,2913,2921,2924,2916,2903,2908,2906
740,3019,33,6,4,16,11,2,14,2937,9
741,2908,2923,2903,2893,2897,2920,2913,2925,2905,2892
742,3019,33,6,4,16,11,2,2937,14,9
743,2893,2892,2889,2897,2890,2894,2899,2903,2896,2908
744,2908,2905,2923,2893,2903,2897,2889,2892,2920,2925
745,2908,2923,2903,2920,2925,2905,2913,2897,2893,2906
746,2908,2923,2920,2903,2925,2905,2913,2897,2893,2906
747,3019,33,16,6,2937,4,11,30,14,36
748,2908,2889,2892,2893,2890,2851,2891,2905,2897,2894
749,2890,2891,2889,2851,2892,2894,2854,2895,2893,2853
750,4,6,2,9,2974,3,11,14,3019,7
751,2908,2905,2923,2893,2889,2897,2892,2903,2920,2925
752,2905,2908,2923,2925,2920,2903,2913,2893,2897,2926
753,3019,4,6,2,33,11,3,9,16,2974
754,2925,2920,2923,2913,2921,2924,2908,2916,2903,2905
755,2908,2923,2905,2893,2903,2897,2920,2892,2913,2925
756,3019,33,6,4,16,11,2937,14,2,9
757,2889,2890,2892,2891,2894,2893,2896,2851,2895,2899
758,4,6,2,3019,11,9,33,3,2974,14
759,2851,2891,2890,2852,2853,2889,4,2,2854,2813
760,2890,2891,2889,2851,2892,2894,2854,2895,2853,2855
761,4,6,2,3019,11,9,3,33,2974,14
762,2908,2893,2923,2892,2897,2889,2903,2905,2899,2913
763,2889,2908,2851,2890,2891,2892,2893,2905,2894,2852
764,2851,2889,2890,2891,2892,2893,2894,2852,2853,2908
765,4,2,6,3,9,2974,3019,11,14,33
766,2905,2908,2923,2925,2920,2903,2913,2897,2926,2893
767,2905,2908,2923,2893,2903,2925,2897,2920,2889,2892
768,2889,2851,2908,2890,2891,2892,2893,2905,2894,2852
769,3019,33,2937,16,30,36,6,11,22,14
770,33,3019,2937,16,30,36,22,38,11,14
771,2851,2891,2852,2890,2853,2854,2813,2889,2855,2815
772,2908,2905,2893,2923,2889,2892,2897,2903,2890,2920
773,2891,2890,2851,2889,2854,2894,2853,2895,2892,2855
774,2925,2923,2920,2908,2905,2913,2921,2924,2903,2916
775,4,6,2,3019,11,9,33,3,2974,14
776,2923,2908,2920,2925,2903,2913,2905,2897,2893,2906
777,6,4,3019,2,11,33,9,14,16,2974
778,2925,2920,2923,2921,2908,2924,2913,2905,2916,2926
779,2925,2920,2924,2921,2923,2926,2913,2905,2916,2908
780,2851,2891,2890,2853,2852,2889,2854,2894,2813,2892
781,3019,33,16,6,2937,4,11,30,14,36
782,2908,2889,2892,2890,2893,2851,2905,2891,2897,2894
783,3019,33,6,16,4,11,2937,14,30,2
784,2889,2851,2908,2890,2891,2892,2893,2894,2905,2852
785,2889,2892,2893,2890,2894,2897,2899,2896,2891,2903
786,2905,2908,2923,2925,2920,2926,2924,2913,2921,2903
787,2905,2908,2923,2925,2920,2903,2913,2926,2921,2924
788,2851,2891,2890,2889,2853,2854,2852,2894,2892,2895
789,2893,2897,2892,2903,2923,2889,2899,2908,2896,2902
790,2908,2889,2892,2890,2893,2851,2891,2905,2894,2897
791,2891,2851,2890,2854,2853,2889,2852,2894,2855,2895
792,6,3019,4,33,11,16,14,2,9,2937
793,33,3019,2937,16,30,36,22,11,38,14
794,2908,2889,2905,2892,2893,2890,2851,2891,2897,2923
795,2908,2905,3019,2889,2923,2893,2892,33,2897,2903
796,2925,2905,2908,2923,2920,2921,2924,2913,2926,2903
797,4,6,2,11,9,3019,2974,3,33,14
798,2851,2891,2890,2889,2852,2853,2854,2894,2892,2813
799,33,3019,2937,16,30,36,22,11,14,6
800,3019,33,6,4,16,2937,11,2,30,14
801,2905,2908,2923,2925,2920,2903,2913,2926,2921,2924
802,2851,2891,2890,2853,2852,2854,2889,2813,2855,2894
803,3019,33,6,4,16,11,2937,2,14,9
804,2889,2890,2892,2891,2894,2893,2851,2896,2895,2899
805,3019,33,4,6,2,16,11,2937,9,3
806,2851,4,2889,2890,2,2891,3019,6,2892,2852
807,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
808,2889,2890,2892,2891,2894,2893,2851,2896,2895,2899
809,2851,2891,2890,2853,2852,2854,2889,2894,2855,2813
810,3019,33,16,2937,6,30,4,36,11,14
811,2890,2891,2851,2889,2894,2892,2854,2853,2895,2855
812,2908,2923,2893,2903,2897,2905,2892,2920,2913,2889
813,2925,2905,2908,2920,2923,2921,2924,2926,2913,2916
814,3019,4,6,33,2,11,16,9,14,3
815,2905,2908,2925,2923,2920,2924,2926,2921,2913,2903
816,33,3019,16,2937,6,11,30,14,4,22
817,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
818,2908,2905,2889,2893,2892,2923,2897,2903,2890,2891
819,2908,2905,2923,2893,2889,2892,2897,2903,2890,2920
820,2908,2905,2923,2903,2893,2897,2920,2925,2913,2892
821,3019,33,4,6,2,11,16,9,14,3
822,2890,2889,2891,2892,2894,2851,2893,2895,2896,2854
823,4,6,2,3019,11,9,3,2974,33,14
824,2923,2925,2908,2920,2905,2913,2903,2921,2924,2916
825,2890,2891,2889,2851,2894,2892,2854,2895,2853,2855
826,2905,2908,2925,2923,2920,2921,2924,2913,2926,2903
827,2905,2925,2908,2923,2920,2924,2921,2926,2913,2903
828,2890,2891,2851,2889,2892,2894,2853,2854,2852,2895
829,2908,2905,2893,2889,2923,2892,2897,2903,2890,2894
830,2925,2920,2921,2924,2923,2913,2916,2926,2908,2905
831,3019,33,2937,16,30,36,6,11,4,14
832,2889,2908,2892,2890,2893,2851,2891,2905,2894,2897
833,3019,4,6,33,2,11,16,9,14,3
834,2889,2890,2892,2894,2891,2893,2896,2895,2899,2851
835,2925,2920,2924,2921,2926,2923,2905,2913,2916,2908
836,2925,2920,2921,2924,2923,2926,2913,2916,2905,2908
837,2908,2905,2893,2889,2892,2923,2897,2903,2890,2894
838,2908,2893,2889,2892,2905,2923,2897,2903,2890,2894
839,2908,2889,2893,2892,2905,2897,2923,2890,2903,2894
840,4,6,2,3019,11,9,3,33,2974,14
841,3019,33,16,6,4,11,2937,14,30,22
842,2908,2889,2893,2892,2905,2890,2897,2923,2903,2891
843,4,2,6,3,9,2974,3019,11,14,33
844,2908,2889,2893,2892,2897,2905,2923,2890,2903,2894
845,33,3019,2937,16,30,36,22,11,6,14
846,2905,2908,2923,2925,2920,2903,2913,2921,2924,2926
847,2851,2891,2890,2853,2854,2852,2855,2889,2894,2895
848,2925,2923,2905,2920,2908,2921,2924,2913,2926,2903
849,3019,33,4,6,2,11,16,9,14,3
850,2908,2889,2892,2890,2851,2893,2905,2891,2897,2894
851,3019,4,6,2,33,11,16,9,3,14
852,2889,2908,2890,2851,2892,2891,2893,2894,2905,2897
853,3019,33,16,2937,6,11,30,14,4,22
854,2908,2905,2923,2925,2920,2913,2903,2921,2924,2897
855,2925,2920,2921,2924,2923,2926,2916,2913,2917,2905
856,4,2,6,3019,3,9,2974,11,33,14
857,2851,2891,2890,2889,2852,2853,2854,2894,2892,2813
858,2851,2891,2890,2852,2853,2889,2854,2894,2813,2892
859,2908,2889,2892,2890,2893,2851,2891,2905,2897,2894
860,2851,2891,2890,2889,2852,2853,2892,2894,2854,2813
861,3019,33,16,6,2937,4,11,30,14,36
862,2925,2920,2924,2921,2926,2923,2916,2913,2905,2917
863,2923,2925,2920,2908,2905,2913,2903,2921,2924,2916
864,2851,2891,2890,2853,2852,2854,2813,2855,2889,2895
865,2925,2920,2923,2921,2924,2913,2916,2926,2908,2903
866,4,6,2,3019,11,9,33,3,2974,14
867,4,2,6,3,3019,9,2974,11,33,14
868,2925,2920,2905,2923,2924,2921,2908,2926,2913,2916
869,2908,2905,2923,2903,2893,2897,2920,2925,2913,2892
870,4,6,2,11,3019,9,2974,33,14,3
871,2851,2891,2890,2853,2854,2852,2889,2855,2894,2895
872,2889,2890,2892,2891,2894,2893,2896,2851,2895,2899
873,2905,2908,2923,2925,2920,2903,2913,2921,2926,2924
874,2851,2891,2890,2889,2852,2853,2854,2892,2894,2813
875,2851,2891,2890,2853,2889,2852,2854,2894,2892,2855
876,6,3019,4,33,11,16,14,2,9,2937
877,2889,2892,2893,2890,2894,2897,2891,2896,2899,2908
878,2925,2920,2905,2923,2924,2921,2908,2926,2913,2916
879,2908,2893,2889,2892,2923,2897,2903,2905,2890,2899
880,2923,2903,2897,2908,2893,2913,2920,2906,2925,2892
881,2905,2908,2923,2925,2920,2903,2913,2897,2893,2921
882,4,2,6,3,9,2974,3019,11,14,33
883,2908,2893,2923,2897,2903,2892,2889,2905,2913,2920
884,2908,2889,2893,2892,2897,2890,2923,2903,2894,2905
885,2851,2891,2890,2889,2852,2853,2854,2892,2894,2813
886,2890,2891,2889,2851,2894,2892,2895,2854,2896,2855
887,2908,2905,2923,2893,2903,2897,2920,2925,2892,2889
888,2905,2908,2923,2925,2920,2903,2913,2897,2921,2924
889,2908,2905,2923,2925,2920,2903,2913,2897,2893,2921
890,2890,2889,2891,2851,2892,2894,2893,2854,2895,2853
891,2908,2905,2893,2889,2892,2923,2897,2903,2890,2894
892,2851,2891,2890,2889,2853,2854,2894,2852,2892,2855
893,3019,33,2937,30,36,16,38,22,6,11
894,2893,2897,2892,2903,2923,2899,2889,2908,2902,2896
895,2889,2892,2893,2890,2894,2897,2891,2896,2899,2908
896,4,6,2,11,3019,9,2974,3,33,14
897,2893,2892,2889,2897,2903,2899,2894,2896,2908,2923
898,2908,2905,2893,2889,2892,2923,2897,2903,2890,2894
899,33,3019,16,2937,30,11,6,14,22,36
900,4,3019,2,6,33,3,11,9,2974,16
901,2923,2908,2920,2925,2903,2913,2897,2905,2906,2893
902,2908,2905,2923,2893,2889,2892,2897,2903,2920,2890
903,3019,4,6,2,33,11,3,16,9,2974
904,2923,2908,2920,2925,2903,2913,2905,2897,2893,2906
905,2889,2890,2891,2851,2892,2894,2893,2895,2854,2853
906,2851,2891,2890,2852,2853,2889,2854,2813,2894,2892
907,2851,2890,2891,2889,2892,2894,2853,2852,2893,2854
908,3019,4,6,33,2,11,16,9,3,14
909,33,3019,16,2937,6,11,14,30,4,22
910,4,6,2,3019,11,9,3,2974,33,14
911,2908,2889,2851,2890,2892,2891,2893,2905,2894,2897
912,2889,2890,2892,2908,2893,2851,2891,2894,2897,2896
913,2908,2923,2905,2903,2893,2897,2920,2925,2913,2892
914,3003,2906,2909,2913,2902,2903,2911,2907,2867,2897
915,3019,33,2937,16,30,36,38,6,11,22
916,3019,33,16,6,2937,4,30,11,36,14
917,2889,2890,2892,2891,2894,2893,2851,2896,2895,2899
918,2889,2890,2892,2908,2851,2891,2893,2894,2897,2896
919,2925,2923,2920,2908,2913,2921,2905,2924,2903,2916
920,2889,2892,2893,2890,2897,2894,2899,2896,2891,2908
921,2908,2905,2889,2893,2892,2923,2897,2890,2903,2851
922,2923,2920,2925,2908,2913,2903,2905,2897,2921,2906
923,2908,2889,2893,2892,2905,2897,2923,2890,2903,2894
924,3019,33,6,4,16,11,14,2,2937,9
925,4,2,6,3,9,2974,11,7,42,3019
926,2890,2889,2891,2892,2894,2851,2893,2895,2896,2854
927,2905,2908,2923,2925,2920,2903,2913,2926,2921,2924
928,2908,2905,2923,2893,2897,2903,2889,2892,2920,2925
929,2891,2851,2890,2889,2853,2854,2894,2852,2892,2895
