,Ilp4,ImpE2,peb,ImpL2,knrl,Ance,cnc,trn,ftz,Ama
457,2978,2980,2947,3009,2937,3028,2829,67,3018,3019
458,2365,2312,2358,2393,2309,2400,2214,2303,2162,2298
459,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
460,2981,2569,2365,2980,2972,2745,2975,2998,3038,2937
461,2365,2298,2360,2397,2312,2380,2182,2358,2393,2309
462,55,46,96,67,2763,19,40,83,28,33
463,2150,2189,2365,2229,1980,2016,2111,2312,2380,2232
464,2281,2360,2343,2236,2222,2472,2481,2309,2400,2349
465,40,5,79,21,28,82,3022,2995,50,55
466,2150,2189,1980,2016,2111,2232,2050,1767,2026,2036
467,1455,1392,1447,1541,1608,41,138,192,1382,1122
468,2802,2735,2734,2668,2788,2713,2823,2813,2361,2849
469,3003,2966,2840,2672,2848,2954,2676,2879,2854,3015
470,2306,2252,2802,2124,1432,2307,2363,2351,2734,2735
471,2281,1975,2077,2052,2236,2095,2365,1905,1876,1878
472,2222,1975,1905,2236,2095,2077,1876,2039,1878,1959
473,2365,2077,2281,2397,2312,2380,2122,2236,2052,2095
474,1455,913,1063,756,1541,1057,1608,735,586,647
475,2236,2095,2281,1975,2077,2164,2052,2339,2365,2122
476,2222,1905,2236,2095,1975,2077,1876,2039,1878,1959
477,2077,2122,2052,2046,2162,2000,2298,2148,2360,2236
478,2077,2250,2026,2122,2070,2086,2174,2150,2439,2446
479,2365,2312,2380,2358,2393,2309,2400,2349,2441,2303
480,3038,2910,3007,2150,3000,2189,3013,2981,1980,2016
481,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
482,1455,1392,1447,1541,1608,1382,1122,1189,1549,1683
483,1455,1122,1189,1392,1447,1541,1608,1236,1334,1264
484,2365,2312,2380,2569,2733,2972,2667,2358,2393,2339
485,756,1334,1264,1122,913,1063,794,1455,1261,1057
486,2439,2446,2477,2365,2472,2481,2397,2312,2380,2770
487,1455,1447,853,1304,1392,1541,1608,1122,1382,1189
488,2281,1905,2236,2095,1975,2365,2077,2288,1876,2039
489,1455,1447,1392,1541,1608,1122,1382,1189,1501,1549
490,2840,3003,2848,2966,2946,2954,2854,2879,2843,2747
491,16,36,132,143,56,73,149,69,14,24
492,55,46,2354,96,2114,1499,67,2251,2238,40
493,2046,2640,2000,2077,1796,2675,2972,1876,1878,1959
494,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
495,2077,2236,2095,2122,2164,2281,2222,1975,2046,2052
496,2977,3012,2969,2993,3025,3003,3020,3011,3022,3015
497,2150,2189,2439,2446,2026,2365,1796,1980,2016,2111
498,49,5,40,28,2532,1157,1246,98,58,572
499,2281,2339,2236,2095,1905,2222,1975,2077,2365,2439
500,2439,2446,2365,2477,2397,2312,2380,2472,2481,2378
501,2365,2397,2312,2380,2439,2446,2477,2358,2393,2309
502,40,85,98,5,50,55,46,28,90,52
503,2728,2680,2872,2656,2966,2709,2808,2672,2997,2967
504,1455,1189,1541,1608,1236,1334,756,1264,1132,1397
505,2298,2360,2365,2182,2148,2162,2397,2312,2380,2077
506,756,1455,794,913,1063,1057,1541,408,1608,735
507,2281,2365,1905,2236,2095,1975,2312,2077,2380,2288
508,1796,2281,2439,2446,2077,2477,2365,2222,2026,2472
509,2150,2189,2439,2446,2365,1796,1980,2016,2111,2472
510,2077,2122,2365,2052,2148,2162,2298,2360,2046,2000
511,2439,2446,2477,2365,2472,2481,2312,2380,2232,2378
512,1975,2640,2046,2000,2077,2281,2325,1876,2236,2709
513,1904,1911,2050,2840,2954,2189,1956,1986,3003,1953
514,2365,2397,2312,2380,2358,2393,2309,2400,2349,2441
515,2309,2400,2303,2360,2214,2365,2312,2202,2397,2229
516,2993,3025,3003,3012,2764,2758,2977,18,3024,2969
517,2365,2972,2397,2981,2312,2380,2998,2339,2358,2393
518,1455,1392,1447,1541,1608,1382,1122,1189,1549,1332
519,96,55,46,67,83,59,72,110,40,672
520,2840,2954,3003,2747,2854,2848,2879,2966,2884,2997
521,2365,2312,2380,2358,2393,2309,2400,2349,2441,2733
522,2077,2365,2981,2122,2148,2162,2298,2360,2972,2998
523,2728,2954,3003,2764,2966,2808,2997,2967,3024,2656
524,2312,2309,2400,2358,2393,2260,2268,2288,2365,2360
525,1455,1189,1392,1122,1541,1608,1447,1236,1382,1334
526,2365,2312,2380,2358,2393,2309,2400,2349,2441,2397
527,2077,2122,2052,2162,2046,2000,2250,2298,2026,2148
528,55,46,5,90,96,40,98,28,33,52
529,2365,2312,2380,2309,2400,2349,2441,2792,2477,2303
530,3033,3022,3021,3035,3031,2995,2992,2751,2728,2954
531,2281,2343,2521,2397,2236,1975,2339,2095,2414,2365
532,2281,2222,2439,2446,2236,2095,2365,2077,1796,2288
533,2910,2777,2764,2843,2709,2752,2992,2728,2954,2873
534,2222,2236,2095,2077,1975,2164,1905,2250,2122,2281
535,1377,888,1034,948,875,588,86,853,690,1304
536,2954,2728,2656,2672,2808,2997,2967,3024,3003,2872
537,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
538,2365,2312,1975,1823,1854,1938,1876,1878,1959,2358
539,2077,2250,2026,2122,2222,2052,2150,2236,2095,2189
540,2439,2446,2477,2365,2472,2481,2312,2380,1796,2378
541,2074,2365,2019,2312,1446,1516,2068,1951,2106,2143
542,2365,2312,2074,2358,2393,2309,2400,2214,2303,2260
543,2819,2770,2540,2776,2665,2749,2413,2804,2915,2236
544,2309,2400,2365,2792,2397,2312,2214,2303,967,2358
545,55,46,140,85,96,21,40,114,67,233
546,2222,2236,2095,2077,2250,2164,2026,2122,2281,1905
547,2672,2728,2623,2954,2656,2860,3024,2579,2884,2808
548,1455,1189,1122,1236,1334,1264,1392,1541,1608,913
549,2868,3000,2919,2667,2961,2757,2762,2910,2770,2915
550,3039,3007,2150,2189,3038,3002,1752,1825,3035,3000
551,2281,1975,2052,2236,2095,1905,2365,2077,2222,2439
552,1447,617,913,1063,1455,756,778,1122,1057,747
553,2365,2312,2380,2229,2358,2393,2309,2400,2349,2441
554,1455,32,33,90,1447,1683,46,923,1549,1122
555,2281,1975,2236,2095,2365,2077,2288,2343,1905,2052
556,2378,2440,2380,2520,2569,2358,2393,2524,2349,2441
557,2439,2446,2477,2365,2472,2481,1796,2397,2312,2380
558,1975,2281,2222,1905,2236,2095,2052,2077,2439,2446
559,2365,2312,2380,1118,1092,2358,2393,2309,2400,2349
560,55,46,40,5,90,28,33,21,67,85
561,2671,2711,2593,2669,2540,2685,2667,2755,2793,2797
562,1975,2222,1905,2236,2095,2077,2052,1876,2039,1878
563,2439,2446,2477,2077,2250,2365,2026,1796,2298,2472
564,2360,2343,2281,2309,2400,2349,2441,2675,2298,2236
565,1779,1362,1762,1788,1770,1846,1944,2146,2196,1399
566,913,1063,1608,756,46,1455,1057,735,586,647
567,76,1149,332,142,171,690,56,1455,888,119
568,85,114,40,50,11,2436,140,2671,42,38
569,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
570,756,1541,1608,913,1063,1455,1397,1057,794,735
571,67,21,83,40,140,96,85,195,82,55
572,2439,2446,3039,2477,2365,1796,2150,2189,2472,2481
573,2829,2945,2764,2984,3017,55,2900,2943,2728,2954
574,2281,2222,2439,2446,1905,2236,2095,1975,2365,2077
575,3039,2439,2446,3038,2477,2298,2365,2360,3035,3000
576,1455,1447,1392,1541,1608,1304,853,1749,1784,1122
577,2077,2122,2052,2148,2046,2162,2000,2298,2182,2202
578,1455,1541,1608,1392,1549,1382,1189,913,1063,1447
579,1904,1911,2050,2150,2189,1956,1986,1953,2062,2848
580,2236,2077,2095,1975,1905,2281,2164,2122,2052,1876
581,2077,2250,2026,2122,2052,2070,2086,2174,2150,1796
582,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
583,2281,2360,2343,2472,2481,2222,2236,2339,2520,2845
584,2728,3024,2954,2860,2872,2703,3039,2966,2816,2680
585,2728,2954,2623,2796,2661,2672,2860,2806,2751,2808
586,3033,2707,2763,2786,2651,55,46,28,2995,96
587,2360,2298,2343,2236,2281,2182,2288,2309,2400,2349
588,2365,2312,2380,2397,2358,2393,2309,2400,2349,2441
589,2468,2540,2521,2281,2520,2339,2402,2422,2524,2669
590,1455,1392,1541,1189,1608,1447,1122,1149,1382,1236
591,1975,2077,1905,2236,2095,2052,2281,2122,1876,2039
592,2050,1904,1911,2150,2189,1956,1986,1953,2062,1796
593,2052,1975,2077,2298,1876,1878,1959,1755,2236,2095
594,2365,1092,1684,1118,1129,1643,948,2312,2380,1550
595,1796,2077,2439,2446,2365,2477,2250,2122,2026,2770
596,2365,2312,2358,2393,2309,2400,2260,2268,2288,2397
597,2150,2189,2439,2446,2365,2477,1980,2016,2111,2232
598,1975,2236,2095,1905,2077,2365,1876,2039,2164,1878
599,2150,1796,2189,1643,2439,2446,2477,2365,1792,1980
600,2439,2446,2477,2365,2298,2360,2472,2481,2397,2312
601,1455,913,1063,756,617,1057,735,1447,586,647
602,2281,2365,2288,2343,2312,2380,2397,1905,2236,2095
603,2365,2439,2446,1796,2477,2397,2312,2380,2472,2481
604,2077,2250,2026,2122,2222,2052,2236,2095,2070,2086
605,2306,2252,1149,1526,1569,2167,1432,2124,1168,2365
606,55,46,96,140,2354,85,40,50,67,233
607,2365,1699,2250,2312,1738,1767,2105,1871,1763,2214
608,2540,2671,2711,2667,2593,2757,2762,2755,2793,2562
609,2189,2150,1792,1980,2016,2111,2232,1904,1911,2050
610,2980,3009,2978,2937,2829,2975,3011,3031,161,2984
611,332,142,396,300,138,192,101,159,164,132
612,1876,1878,1959,1752,2046,2000,1975,1792,2026,1796
613,2540,2671,2562,2711,2669,2593,2792,2770,2503,2685
614,2365,2298,2360,2312,2380,2397,2303,2269,2358,2393
615,55,46,96,67,1455,1189,83,59,72,110
616,2439,2446,2477,2776,199,2365,2472,2481,2397,2281
617,2439,2446,2477,2365,2472,2481,2397,2312,2380,2250
618,1905,2236,2095,1975,2077,1876,2039,1878,1959,2164
619,1455,1447,1122,1541,1608,1683,1392,1546,913,1063
620,2365,2439,2446,2477,2312,2380,2472,2481,2358,2393
621,2250,2026,2298,2439,2446,2360,2477,2365,2134,2182
622,1455,1447,1122,1334,1264,1392,1683,1541,1608,913
623,2438,2333,2211,2274,2215,2440,2275,2377,2536,2524
624,217,160,94,34,26,127,184,163,29,81
625,3039,3020,3024,3022,3021,2986,3005,3010,3035,2925
626,2077,2122,2365,2052,2046,2162,2000,2298,2397,2148
627,1455,1392,1541,1608,1447,199,1382,1304,853,1189
628,1447,1455,1122,1501,1683,1334,1264,913,1063,1546
629,56,1377,387,948,1447,119,104,140,784,875
630,1455,1392,1541,1608,1447,1304,853,1382,1189,1549
631,1334,1122,1264,913,1063,756,1455,1261,1397,1057
632,2439,2446,2477,2365,2472,2481,2397,2312,2380,2339
633,2365,2312,2358,2393,2309,2400,2260,2268,2397,2380
634,2439,2446,2477,2365,2472,2481,2339,2312,2380,2378
635,2860,2728,2806,3024,2954,2910,2820,2796,2623,3039
636,2705,2848,3034,2724,2840,2778,2686,2831,3003,2741
637,1455,756,794,1541,1608,913,1063,850,1136,679
638,2910,2764,2829,2777,2975,2728,2981,2752,3000,2709
639,1796,1684,2148,2202,2229,2156,2189,2070,2086,2174
640,67,46,55,756,80,23,96,672,83,59
641,913,1063,1304,853,617,756,140,1057,735,586
642,913,1063,756,1057,735,586,647,830,988,587
643,2439,2446,2477,2365,2472,2481,2312,2380,2378,2440
644,2365,2312,2380,1796,2439,2446,2477,2229,1684,2358
645,756,1188,794,491,399,449,672,1122,1317,1383
646,1905,2236,2095,1975,2077,1876,2039,1878,1959,1755
647,1455,1447,1122,1392,1541,1608,1501,529,1189,1377
648,1147,1238,1905,1683,875,1377,1304,853,1755,1899
649,1455,1392,1447,1541,1608,1382,1189,1122,1549,1332
650,2281,2236,2095,2365,2077,1975,2288,2343,2164,2339
651,1455,875,1377,853,1304,50,199,38,1447,98
652,3039,3038,3035,2868,2804,3024,3000,2754,2751,3007
653,1455,1541,1608,1447,1683,1549,1392,1546,617,778
654,3022,3033,3035,2995,2897,2954,3021,3024,2950,3020
655,2365,2312,2358,2393,2309,2400,2288,2260,2268,2397
656,3039,2977,3020,2758,3003,3021,2820,2026,2986,3005
657,1455,1392,1447,1541,1608,1749,1784,1382,1122,1189
658,2298,2360,2365,2182,2397,2312,2380,2162,2148,2236
659,40,55,5,28,46,33,3022,3033,2995,90
660,1796,2189,2150,1792,1980,2016,2111,2232,1752,1825
661,2365,2439,2446,2477,2397,2312,2380,2472,2481,2339
662,2439,2446,2477,2365,2472,2481,2397,2312,2818,2380
663,1455,1304,853,1447,913,1063,140,1450,1539,1334
664,3003,2966,2848,3034,3015,2840,2954,2831,2996,2977
665,2281,1975,2052,2236,2095,2365,2077,1905,2288,2090
666,1455,1304,853,1447,1392,1541,1608,1450,1539,1570
667,2077,2691,2530,2046,2122,2000,2972,2768,2640,38
668,1455,1447,1392,1122,1541,1608,1189,1382,1683,1549
669,1455,1447,1450,1539,1570,1304,853,1122,1334,1264
670,2365,2439,2446,2477,2397,2312,2380,2339,2472,2481
671,1455,1447,913,1063,756,1122,1057,735,586,647
672,1455,1683,1447,1749,1784,1666,1392,1541,1608,1501
673,2150,2189,2439,2446,2365,1980,2016,2111,2232,2229
674,2910,2954,3024,2872,2997,2967,3000,3039,2966,3033
675,913,1063,756,617,1057,735,586,647,830,988
676,1455,1447,1392,1541,1608,1122,1382,1189,1549,1683
677,2222,1905,2236,2095,1975,2077,1876,2039,1878,1959
678,1447,1628,1546,1683,451,1392,1570,399,1501,1685
679,1455,1749,1784,1447,1843,1905,1392,1683,1541,1608
680,1455,1447,1392,1541,1608,1749,1784,1122,1382,1189
681,1455,1541,41,1608,913,1063,1171,1149,756,1785
682,1975,2281,1796,2052,2439,2446,2077,2222,2477,2365
683,2339,2540,2378,2440,2492,2520,2438,2281,2542,2581
684,2439,2446,2477,2365,2472,2481,2312,2380,2378,2440
685,2360,2309,2400,2349,2441,2298,2472,2481,2343,2182
686,1975,2046,2000,2281,1876,2236,2095,1878,1959,2077
687,2439,2446,2477,2365,2472,2481,2397,2312,2380,2339
688,2439,2446,2477,2365,1796,2472,2481,2312,2380,2378
689,55,46,96,59,72,110,67,83,33,2238
690,33,90,55,46,68,9,32,171,142,1189
691,1149,1455,1479,1541,1608,913,1063,1432,756,1189
692,1455,1541,1608,1447,1549,1392,1683,1546,1122,1749
693,3033,3035,3022,2995,2728,3021,2954,2992,2778,3024
694,2829,2975,3031,3011,2984,3009,2945,3021,2980,3033
695,2077,2052,1975,2222,2250,2236,2095,2026,2122,1905
696,5,40,28,90,55,46,33,21,96,49
697,2077,2250,2026,2122,2439,2446,2298,2070,2086,2174
698,2365,2818,2439,2446,2477,2312,2380,2472,2481,2358
699,3024,2728,2954,3039,3022,2986,3005,3010,2808,3035
700,3038,3024,3039,3020,3021,3000,2977,2986,3005,3010
701,1975,1905,2236,2095,2077,2052,1876,2039,1878,1959
702,1455,1392,1541,1608,1382,1189,1549,1447,1332,1236
703,1455,1392,1541,1608,1447,1382,1189,1122,1549,1332
704,2477,2439,2446,2365,2472,2481,1796,2397,2312,2380
705,2222,1905,2236,2095,1975,2077,1876,2039,1878,1959
706,2077,2365,2122,2281,2439,2446,2250,1796,2477,2397
707,2365,2298,2360,2397,2312,2380,2182,2358,2393,2309
708,67,96,55,46,2705,2763,2945,2829,2672,3003
709,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
710,2365,1905,2236,2095,1975,2077,2312,1876,2298,2039
711,1455,1447,913,1063,1122,1392,1541,1608,756,1905
712,1455,1541,1608,756,913,1063,1392,1549,1447,1189
713,55,46,40,96,21,67,5,90,28,33
714,2763,2707,2695,2772,2651,2375,2672,2954,2905,2786
715,2530,2763,2465,40,2707,21,2532,2579,5,2433
716,1608,1749,1784,49,1455,913,1063,8,1843,778
717,2365,2312,2214,2303,2358,2393,2309,2400,2074,2162
718,2840,2954,3003,2848,1904,1911,2966,2884,2854,2879
719,3020,2977,3022,3039,3021,3003,3012,3011,2967,2820
720,2705,2741,2844,2686,2763,2945,2672,2895,2724,2831
721,5,40,28,98,85,50,21,49,90,114
722,2365,2229,2312,2380,2303,2269,2214,2309,2400,2349
723,2672,2728,2623,2741,2639,2884,2819,2385,2808,2736
724,2309,2400,2303,2360,2365,2214,2397,2312,2358,2393
725,1455,50,98,1304,853,199,875,38,1377,1447
726,2281,2439,2446,2365,2077,2477,2222,2339,2236,2095
727,2050,2439,2446,2365,2150,1904,1911,2189,1956,1986
728,1455,1447,1122,1334,1264,1608,913,1063,1392,1541
729,2728,2954,2707,2672,3003,2656,2808,2772,2997,2967
730,2077,2222,2250,2026,2122,2236,2095,2070,2086,2174
731,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
732,1455,1189,1122,2494,1392,1541,1608,1447,1236,1382
733,2281,1975,2222,2236,2095,2339,2077,2052,2468,2439
734,1455,1541,1608,1392,1549,1382,1189,756,913,1063
735,2439,2446,2477,2365,2472,2481,2397,2312,2380,2378
736,2339,2520,2378,2440,2524,2569,2588,2776,2439,2446
737,1905,2236,2095,1975,2077,2162,1876,2039,1878,1959
738,1796,2439,2446,2477,2365,1643,2150,2189,1550,2472
739,1796,2668,1792,2747,2749,2954,2840,1904,1911,2468
740,2365,2312,2380,2303,2269,2358,2393,2309,2400,2349
741,40,2707,55,46,3033,2763,21,2778,2995,3022
742,1975,2222,2236,2095,2052,2077,1905,2090,2250,2164
743,55,96,46,1455,5,90,1189,2354,40,28
744,1796,2077,2250,2122,2026,2439,2446,2477,1684,199
745,2840,2831,2822,2826,2747,3003,2844,2705,2749,2686
746,40,3022,2995,2728,2778,46,55,2954,2786,21
747,1356,2309,2400,2349,2441,2229,1245,2365,1147,2214
748,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
749,1455,1447,1541,1608,1392,1122,1683,1549,1382,1189
750,756,913,1063,794,1057,735,586,647,830,988
751,1975,2236,2095,1905,2077,2052,1876,2039,1878,1959
752,2365,2077,2397,2281,2312,2122,2380,2439,2446,2477
753,2365,2229,2312,2380,2303,2269,2214,2358,2393,2309
754,1904,1911,2050,2150,2189,1956,1986,1953,2062,1792
755,2365,2439,2446,2312,2380,2477,2358,2393,2472,2481
756,2360,2472,2481,2309,2400,2349,2441,2520,2477,2298
757,1455,8,1447,1749,1784,30,1392,1541,1608,31
758,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
759,1455,138,192,1377,1447,332,1541,1149,1392,1608
760,1122,1455,1189,1447,1236,1043,1334,1264,1392,778
761,1455,913,1063,1189,730,756,735,586,647,988
762,2728,2954,2703,2808,2997,2967,3024,3033,2884,3003
763,1643,1684,1503,1625,1796,1550,1792,2150,2189,1669
764,86,238,38,205,136,65,228,162,194,206
765,1455,1447,756,1122,913,1063,1057,1334,735,1264
766,2281,1905,2236,2095,2222,1975,2365,2077,2439,2446
767,2365,2439,2446,2477,2077,2397,2312,2380,2281,2472
768,2365,2312,2380,1796,2439,2446,2229,2358,2393,2477
769,2222,1905,2236,2095,1975,2077,2281,2026,1876,2039
770,2309,2400,2214,2303,2105,2365,1871,2734,1699,2823
771,1455,1304,853,1447,1392,1541,1608,1450,1539,1570
772,2365,2397,2298,2312,2380,2360,2358,2393,2309,2400
773,1455,913,1063,756,140,1057,735,586,647,830
774,2844,3009,2945,2893,2829,3027,2900,2943,2984,2895
775,913,1063,1334,1264,756,1344,1057,1243,674,893
776,2728,2954,3024,2808,3003,2997,2967,3039,2820,2656
777,1019,140,913,1063,21,114,1304,853,1490,756
778,1904,1911,1796,1953,1792,2866,1669,1518,1752,2983
779,2026,2162,2222,1866,2070,2086,2174,2365,2150,1820
780,1455,875,1377,1304,853,50,199,1447,38,98
781,2222,2077,2236,2095,2250,2026,2281,2122,2164,1975
782,2365,2397,2312,2380,2309,2400,2349,2441,2477,2358
783,2360,2764,2281,2910,2472,2481,3031,2309,2400,2349
784,2439,2446,1796,2365,2472,2481,2312,2380,2026,2378
785,55,46,2354,96,1455,2244,1189,1334,1264,40
786,2070,2086,2174,2189,2222,2281,2026,1905,2472,2481
787,2281,2365,2077,2236,2095,1975,2397,2052,2312,2122
788,1455,1447,913,1063,1334,1264,1392,756,1450,1539
789,1724,1780,2354,2055,2104,1891,1818,1641,1536,1983
790,2365,2162,2312,2380,2229,2298,2360,2358,2393,2214
791,1455,1541,1608,913,1063,756,1057,617,735,1549
792,2519,2399,2332,2429,2435,2511,2517,132,2381,2341
793,2365,2312,2250,1699,1738,1767,2802,2105,1871,1763
794,2439,2446,2477,2365,2150,2472,2481,2189,2250,2380
795,2365,2397,2312,2380,2339,2358,2393,2309,2400,2349
796,1975,1876,1878,1959,1823,1854,1938,2046,2000,2438
797,1447,1455,1122,913,1063,1683,756,1546,1334,778
798,1122,1455,1189,1236,1447,1043,1334,2406,1264,1392
799,2365,2312,2250,1738,1767,2105,1871,2214,2303,1919
800,2222,2281,1905,2236,2095,1975,2077,1876,2039,2439
801,2365,2077,2281,2397,2312,2380,2122,2236,2095,2052
802,913,1063,756,1455,1057,735,586,647,830,988
803,2250,2026,2439,2446,2298,2360,2477,2365,2070,2086
804,913,1063,1455,756,1057,735,586,647,830,988
805,2365,2397,2077,2312,2380,2281,2122,2358,2393,2309
806,2365,2229,2312,2380,2214,2303,2269,2150,2358,2393
807,2365,2397,2312,2380,2439,2446,2477,2281,2077,2358
808,893,399,1546,513,1447,2324,1304,853,465,856
809,1455,1447,1392,1541,1608,1122,1382,1189,1549,913
810,2281,1905,2236,2095,1975,2077,2222,1876,1878,1959
811,86,690,1447,888,136,140,948,177,970,491
812,3033,2995,3022,3021,2954,3035,2778,2728,3034,2897
813,2365,2229,2312,2380,2214,2303,2162,2269,2358,2393
814,1796,2439,2446,2365,2477,2150,2472,2481,2189,2312
815,2281,1975,2339,2222,1796,2052,2439,2446,2414,2236
816,2540,2754,2819,2671,2776,2728,2770,2711,2562,2806
817,2281,1975,1905,2236,2095,2365,2077,2288,2052,1876
818,2026,2250,2439,2446,2477,2365,2150,2189,2070,2086
819,2077,2365,2122,2439,2446,1796,2052,2250,2477,2397
820,2365,2439,2446,2380,2312,2477,1796,2472,2481,2358
821,2298,2360,2365,2162,2148,2182,2397,2312,2380,2077
822,913,1063,756,1057,735,586,647,830,988,587
823,1455,1447,1749,1784,1392,1541,1608,1122,1382,1905
824,1904,1911,2840,3003,2954,2870,1796,2879,1953,2848
825,1455,1392,1304,853,1541,1608,1447,1382,199,1189
826,2281,2540,2236,2095,1975,2365,2077,2438,2339,2288
827,1796,2281,2472,2481,2439,2446,1654,2365,2156,2520
828,1455,1392,1447,1541,1608,1382,1122,1189,1549,1332
829,2477,2360,1796,2472,2481,2070,2086,2174,2134,2397
830,2439,2446,2365,2472,2481,1796,2312,2380,2156,2378
831,2365,2162,2298,2360,2077,2148,2397,2312,2066,2380
832,2439,2446,2477,2365,2077,2472,2481,2250,2397,2026
833,2438,1975,2414,2339,1876,1878,1959,2298,1905,2236
834,1608,1455,46,913,1063,756,49,1549,617,1057
835,2365,2312,2358,2393,2309,2400,2260,2268,2288,2214
836,2365,2312,2358,2393,2309,2400,2260,2268,2214,2288
837,2365,2397,2312,2380,2298,2360,2339,2358,2393,2309
838,2026,2070,2086,2174,2150,2046,2189,2000,3007,2077
839,3009,2975,2980,3008,3011,2947,2934,2937,2984,2978
840,1455,1122,1447,1382,1189,1541,1608,529,1392,90
841,2540,2562,2770,2671,2754,2776,2711,2819,2728,2413
842,2365,2477,2439,2446,2312,2380,1684,2472,2481,1796
843,1455,1447,913,1063,1122,1392,756,1541,1608,1334
844,2477,2189,2439,2446,2150,2365,2472,2481,2250,1980
845,2365,2312,2380,2229,2358,2393,2309,2400,2214,2303
846,2077,2122,2052,2046,2162,2000,2148,2298,2236,2360
847,1455,1392,1541,1608,853,1304,1447,1382,1189,1549
848,2026,2150,2189,2070,2086,2174,1975,1866,1796,1876
849,2077,2250,1796,2439,2446,2122,2026,2477,2365,2052
850,2439,2446,2477,2365,1796,2250,2026,2472,2481,2397
851,2360,2397,2365,2298,2182,2349,2441,2309,2400,2303
852,2150,2189,2439,2446,2477,1796,2365,1752,1825,1980
853,2540,2503,2675,2667,2772,2762,2643,2845,2868,2527
854,2980,3007,2751,2937,3009,2978,2829,2975,3011,3031
855,2365,2312,2250,1738,1767,2105,2358,2393,2214,2309
856,970,1447,690,913,1063,756,1028,590,1219,1343
857,1455,1304,853,1447,875,98,1377,1392,1450,1539
858,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
859,948,914,1002,1092,1019,2365,888,1034,588,1039
860,1455,1541,1608,1447,1392,1549,1122,1382,1189,1683
861,2365,2397,2312,2380,2298,2360,2358,2393,2309,2400
862,2365,2312,2358,2393,2309,2400,2260,2268,2734,2439
863,2672,2728,2741,2954,2819,2707,2676,2747,2686,2656
864,1455,1447,913,1063,1304,853,756,140,1450,1539
865,2946,3003,2848,2966,2840,2843,2954,2959,2904,2854
866,1541,1455,1608,1549,1683,1392,1546,1397,1447,913
867,1455,1189,1122,1334,1264,1236,1261,1397,913,1063
868,2365,2312,2380,2281,2358,2393,2309,2400,2349,2441
869,2728,2954,2680,2872,2966,2808,3024,2997,2967,3039
870,1455,1541,1608,1392,1447,1549,1382,1189,1122,1683
871,1447,1455,913,1063,1122,756,1450,1539,1570,1057
872,2354,1455,2244,1780,2286,2329,1653,1940,2055,2104
873,1975,2052,2236,2095,1905,2077,2090,1876,2039,1878
874,1455,875,1304,853,1377,98,1447,1392,1450,1539
875,1455,1304,853,1392,1447,1541,1608,875,1377,50
876,2324,399,465,2478,1447,2523,2432,2342,2429,513
877,67,96,55,46,83,59,72,110,756,80
878,2365,2312,2380,2156,2150,2189,2309,2400,2074,2358
879,2829,2947,2945,3009,2984,2978,2848,3008,2900,2943
880,2707,2686,2656,2651,2778,2728,2763,2672,2954,2786
881,2236,2095,2281,1975,2077,2339,2222,2164,2122,2052
882,1122,1455,1189,1236,1447,1043,1334,1264,1392,529
883,3033,3022,2995,2954,3021,3035,5,2897,28,2992
884,855,690,923,1317,1383,1451,1219,1343,1085,1416
885,1455,1541,1608,875,1392,853,1304,1377,1744,1810
886,1455,1392,1541,1608,1447,1382,1189,1549,1122,1332
887,2077,2250,2026,2122,2070,2086,2174,2439,2446,2150
888,2281,2339,1975,2439,2446,2222,2365,2414,2236,2077
889,2975,3011,3009,2945,2984,2829,2980,3031,2900,2943
890,1455,1447,1392,1501,1541,1608,1122,1749,1784,529
891,2623,2770,2077,2281,2860,2878,2880,2894,2504,2413
892,1455,1541,1608,1392,1447,1549,1382,1122,1189,1683
893,2845,2783,2439,2446,2150,2734,2827,2189,2797,2365
894,2354,2244,2172,2286,2329,1529,1688,1890,1940,1780
895,690,46,970,67,617,756,913,1063,55,1188
896,1455,1447,1392,1541,1608,1122,1749,1784,1382,1189
897,55,46,28,5,90,96,40,33,98,1780
898,1975,1876,1878,1959,2046,2000,1823,1854,1938,2281
899,2281,2472,2481,2520,2309,2400,2349,2441,2360,2477
900,1684,2439,2446,1230,1550,2477,2365,1796,2137,1625
901,3003,2694,2831,2672,2764,2639,2966,2993,3025,3012
902,2298,2365,2360,2397,2312,2380,2182,2162,2148,2358
903,2077,2250,2026,2122,2070,2086,2174,2150,2052,2162
904,3003,2672,2831,2598,3034,2758,2950,2808,2977,2997
905,142,171,28,159,101,8,58,6,27,19
906,1455,1304,853,1447,1392,1541,1608,1122,1450,1539
907,238,205,86,784,1447,228,50,116,948,89
908,2236,2095,2077,2281,2164,2122,2222,1905,1975,1876
909,2707,2754,2819,2770,2672,2540,2776,2665,2728,2749
910,1455,1447,1392,1541,1608,1122,1382,1189,1683,1549
911,2365,2312,2380,2358,2393,2309,2400,2349,2441,2439
