,Ama,Ance,CG43394,CG8147,cnc,croc,Cyp310a1,D,Doc2,E(spl)m5-HLH
513,496,533,534,571,610,611,647,913,915,951
514,1013,1052,1128,1129,2941,675,709,711,747,748
515,1866,1941,1942,1979,2018,2057,2132,1599,1637,1638
516,120,122,159,198,117,153,191,192,121,123
517,713,714,752,789,827,637,2941,676,677,639
518,527,565,567,569,603,604,606,607,608,640
519,263,342,378,380,301,303,338,339,341,376
520,230,270,233,234,235,271,272,307,308,309
521,865,979,1016,1093,758,795,947,948,949,986
522,1666,805,808,811,812,843,844,846,849,887
523,121,123,129,130,131,160,161,162,163,164
524,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
525,377,414,415,416,417,418,450,451,452,453
526,1013,1052,1128,1129,2941,745,781,782,783,785
527,1037,1074,998,999,1034,1038,1075,1150,1188,1190
528,148,151,184,185,187,189,222,223,224,225
529,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
530,443,291,369,407,289,327,328,329,364,365
531,963,994,995,997,1000,1001,1033,1035,1036,1039
532,1206,1207,1243,1244,1282,1358,1395,1396,1433,1434
533,133,172,249,250,288,403,175,212,213,2973
534,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
535,1626,1740,981,1361,1706,1778,1322,1588,1664,1099
536,474,478,3031,167,199,200,201,202,203,204
537,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
538,875,914,647,799,800,801,837,838,839,840
539,233,234,235,271,272,307,308,309,310,344
540,1361,1013,1052,1128,1129,2941,1055,1663,1701,830
541,875,914,1597,1635,1636,1673,1674,1711,1712,1749
542,875,914,989,799,800,801,837,838,839,840
543,2840,2911,2914,2908,2913,2920,2923,3003,2765,2766
544,496,533,534,571,610,611,229,231,269,153
545,31,71,72,75,107,108,109,110,111,112
546,621,730,731,732,734,768,413,485,524,521
547,474,478,133,172,249,250,288,403,514,3017
548,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
549,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
550,679,755,792,676,677,675,709,711,747,748
551,770,961,1037,1074,1077,1153,1155,1690,2291,1017
552,1706,1626,1740,759,796,797,832,985,1097,1668
553,676,677,641,754,637,525,602,639,678,716
554,340,336,337,341,379,412,413,448,870,945
555,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
556,1777,2459,2537,2081,3002,758,795,947,948,949
557,1653,1732,1807,1811,1841,1842,1843,1845,1847,1880
558,1112,1113,1116,1151,1154,1691,982,1019,1096,1361
559,1246,1284,1473,2962,1627,1626,946,1360,1512,3004
560,298,301,303,338,339,376,2935,375,377,414
561,2881,2884,2711,2712,2748,2750,2751,2752,2790,2791
562,1739,903,1037,1074,1814,1815,1890,1928,2004,2232
563,1014,865,979,1016,1093,900,977,1015,1017,673
564,2342,2723,2487,2563,2564,2565,2566,2602,2604,2645
565,2804,3002,341,379,758,795,947,948,949,986
566,527,565,567,569,603,604,606,607,608,640
567,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
568,2731,2881,2884,2026,2562,2596,2600,2736,2653,2733
569,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
570,793,679,680,681,683,717,718,719,721,755
571,377,414,415,416,417,418,449,450,451,452
572,523,522,713,714,752,789,827,291,369,637
573,446,483,518,92,409,443,517,519,132,445
574,1206,1207,1243,1244,1282,1358,1395,1396,1433,1434
575,2341,2380,2381,2529,2567,2568,2605,2606,2607,2608
576,679,680,681,683,717,718,719,721,755,792
577,739,744,890,928,659,665,667,668,669,698
578,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
579,799,800,801,837,838,839,840,876,877,878
580,770,961,1037,1074,1077,1153,1155,660,693,694
581,929,930,931,932,935,966,970,1009,1046,1050
582,675,709,711,747,748,749,786,787,824,864
583,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
584,289,327,328,329,364,365,366,367,404,405
585,474,133,172,249,250,288,403,167,199,200
586,91,117,46,49,57,59,92,119,64,138
587,770,863,597,599,633,634,635,636,660,670
588,1776,1091,1587,1658,1659,1660,1661,1692,1694,1695
589,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
590,1706,1099,1175,1176,1212,1250,1253,1254,1325,1363
591,865,979,1016,1093,758,795,947,948,949,986
592,799,800,801,837,838,839,840,876,877,878
593,2179,2215,2216,2217,2252,2253,2254,2972,998,999
594,639,641,678,716,753,754,790,601,605,638
595,1053,1054,1092,1130,597,599,633,634,635,636
596,989,913,915,951,952,953,990,992,1030,1031
597,1057,1095,944,1703,981,982,1019,1096,868,983
598,1600,1296,1334,1372,1410,1448,1523,1525,1562,1107
599,2941,679,755,792,408,745,781,782,783,785
600,637,1053,1054,1092,713,714,752,789,827,1055
601,1706,1099,1175,1176,1212,1250,1253,1254,1325,1363
602,1144,1182,1220,1525,992,1030,1031,1068,1069,1106
603,1055,830,1132,641,754,828,829,981,659,665
604,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
605,993,996,1032,1070,1108,1146,1147,989,1296,1334
606,183,265,148,151,184,185,187,189,222,223
607,1939,1978,1980,2016,2017,2054,2055,2056,2091,2092
608,2709,2711,2712,2748,2750,2751,2752,2790,2791,2792
609,647,913,915,951,952,953,990,875,914,989
610,522,484,521,556,558,407,523,445,481,482
611,758,795,947,948,949,986,987,988,1023,1024
612,2509,2547,2548,2549,2586,2587,2588,2590,880,883
613,2809,2847,2885,2968,2881,2884,2919,2840,2841,1098
614,2487,2563,2564,2565,2566,2602,2604,2645,2646,2647
615,341,379,377,414,415,416,417,418,450,451
616,1167,1205,1245,1586,1623,1624,1625,1662,597,599
617,3004,1167,1205,1245,1586,1623,1624,1625,1662,1626
618,1185,1187,1223,1224,1260,1261,1262,1263,1264,1298
619,341,379,758,795,947,948,949,986,987,988
620,1663,1701,1776,827,1702,1091,1587,1658,1659,1660
621,659,665,667,668,669,698,699,700,701,702
622,1627,1668,830,1324,1362,1626,758,795,947,948
623,961,1014,655,661,692,804,883,884,885,900
624,758,795,947,948,949,986,987,988,1023,1024
625,526,641,754,523,564,679,680,681,717,718
626,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
627,527,565,567,569,603,604,606,607,608,640
628,759,796,797,832,527,565,567,569,603,604
629,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
630,759,796,797,832,527,565,567,569,603,604
631,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
632,1013,1052,1128,1129,2941,675,709,711,747,748
633,989,913,915,951,952,953,990,992,1030,1031
634,559,560,561,595,596,598,637,593,594,597
635,474,133,172,249,250,288,403,167,199,200
636,41,81,46,77,78,79,80,116,1,39
637,2938,758,795,947,948,949,986,987,988,1023
638,175,212,213,406,442,444,2973,176,251,443
639,2198,2081,758,795,947,948,949,986,987,988
640,377,414,415,416,417,418,450,451,452,453
641,758,795,947,948,949,986,987,988,1023,1024
642,947,948,949,986,987,988,1023,1024,1025,1026
643,902,1168,1283,3004,1170,1474,1055,1626,867,869
644,676,677,830,637,1053,1054,1092,1130,641,754
645,2311,2081,2349,1893,2045,2119,2235,2273,2422,341
646,770,961,1037,1074,1077,1153,1155,660,693,694
647,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
648,947,948,949,986,987,988,1023,1024,1025,1026
649,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
650,1112,1113,1151,1185,1187,1223,1224,1260,1261,1262
651,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
652,343,381,382,383,385,419,420,421,422,423
653,759,796,797,832,527,565,567,569,603,604
654,297,220,292,298,370,218,261,296,299,336
655,685,724,992,1030,1031,1068,1069,1106,687,723
656,559,560,561,595,596,598,637,784,2941,521
657,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
658,1831,1869,1870,1872,1907,1908,1909,1910,1911,1912
659,523,522,484,521,556,558,215,253,445,481
660,2383,961,1014,2179,2215,2216,2217,2252,2253,2254
661,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
662,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
663,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
664,875,914,496,533,534,571,610,611,647,799
665,1112,1113,1116,1151,1154,961,1077,1153,1155,881
666,1101,1102,1139,1140,1174,1177,1178,1215,1440,1819
667,1740,805,808,811,812,843,844,846,849,887
668,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
669,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
670,1013,1052,1128,1129,2941,675,709,711,747,748
671,2938,758,795,947,948,949,986,987,988,1023
672,873,874,909,911,912,950,1101,1102,1139,1140
673,1037,1074,2291,2322,2360,2396,2397,2434,2514,1600
674,826,3029,133,172,249,250,288,403,637,673
675,680,681,683,717,718,719,721,794,527,565
676,947,948,949,986,987,988,1023,1024,1025,1026
677,993,996,1032,1034,1070,1075,1108,1146,1147,1150
678,2198,830,758,795,947,948,949,986,987,988
679,1626,1099,1175,1176,1212,1250,1253,1254,1368,1477
680,2938,758,795,947,948,949,986,987,988,1023
681,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
682,1794,1797,1800,1832,1833,1834,1835,1836,1837,1871
683,1587,2947,1854,1167,1205,1245,1270,1397,1421,1458
684,637,1053,1054,1092,1130,597,599,633,634,635
685,134,170,171,207,209,210,211,244,245,246
686,805,808,811,812,843,844,846,849,887,926
687,1013,1052,1128,1129,2941,675,709,711,747,748
688,641,754,564,679,680,681,683,717,718,719
689,341,379,377,414,415,416,417,418,450,451
690,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
691,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
692,758,795,947,948,949,986,987,988,1023,1024
693,446,483,518,215,253,132,445,480,481,482
694,484,407,523,445,481,482,520,409,443,522
695,1037,1074,730,731,732,734,768,1000,1001,1039
696,32,34,35,37,68,74,114,31,38,71
697,2193,2307,2382,1587,2947,1776,1814,1815,1890,1928
698,523,784,2941,522,713,714,752,789,827,637
699,121,123,129,130,131,134,160,161,162,163
700,523,559,560,561,595,596,598,637,522,713
701,995,997,1033,1035,1036,1071,1072,1073,1109,1110
702,1627,1626,946,1099,1175,1176,1212,1250,1253,1254
703,2047,2049,2084,2087,2124,2125,2126,2127,2128,2161
704,902,1168,3004,2193,2307,901,938,939,940,976
705,1225,1034,1075,1150,1185,1187,1188,1190,1223,1224
706,1283,1360,1512,1208,1246,1284,1359,1398,1436,1473
707,2603,2640,2642,2643,2644,2487,2563,2564,2565,2566
708,92,125,126,127,128,91,83,84,85,87
709,1091,1661,1700,1738,3004,1011,1013,1045,1047,1048
710,1144,1182,1220,992,1030,1031,1068,1069,1106,1107
711,982,1019,1096,2160,830,679,755,792,793,831
712,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
713,341,379,377,414,415,416,417,418,450,451
714,521,556,558,523,445,481,482,520,553,554
715,335,374,375,411,336,337,372,373,410,412
716,527,565,567,569,603,604,606,607,608,640
717,989,991,1027,1028,1029,1065,1066,1067,1103,1104
718,578,615,616,687,723,725,761,762,763,917
719,133,172,249,250,288,121,123,129,130,131
720,803,841,685,724,799,800,801,837,838,839
721,38,26,28,33,52,32,34,35,37,68
722,2941,289,327,328,329,364,365,366,367,404
723,545,3031,267,268,305,306,229,231,269,167
724,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
725,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
726,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
727,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
728,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
729,157,158,196,197,117,153,191,192,120,122
730,1112,1113,1116,1151,1154,961,1077,1153,1155,881
731,2938,527,565,567,569,603,604,606,607,608
732,377,414,415,416,417,418,450,451,452,453
733,1206,1207,1243,1244,1282,1358,1395,1396,1433,1434
734,2938,758,795,947,948,949,986,987,988,1023
735,1123,1160,1653,1732,1112,1113,1116,1151,1154,1658
736,2198,1627,2043,2081,2233,2234,2271,2499,2692,2728
737,1037,1074,1225,1605,1643,1946,1948,1950,2026,2079
738,676,677,641,754,525,602,639,678,716,753
739,496,533,534,571,610,611,647,685,724,913
740,2342,2341,2380,2381,2529,2567,2568,2605,2606,2607
741,57,59,53,89,93,94,95,96,98,91
742,1037,1074,998,999,1034,1038,1075,1150,1188,1190
743,341,379,413,2657,2658,2692,2698,2730,2734,2735
744,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
745,117,46,57,59,119,47,53,89,93,94
746,215,253,214,252,293,407,408,217,92,176
747,1107,1145,1183,1184,1221,1222,1258,1259,1297,1335
748,1055,1132,830,637,1053,1054,1092,1130,641,754
749,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
750,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
751,655,661,692,962,653,654,662,961,691,771
752,1034,1075,1150,1188,1190,1193,1229,1230,1494,1568
753,676,677,485,524,639,678,716,753,790,784
754,647,913,915,951,952,953,990,609,687,723
755,831,675,709,711,747,748,749,786,787,824
756,2487,2563,2564,2565,2566,2602,2604,2645,2646,2647
757,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
758,1553,1591,1629,1136,1288,1439,1476,1514,1515,1516
759,2198,2047,2049,2084,2087,2124,2125,2126,2127,2128
760,413,375,377,414,415,416,417,418,450,451
761,2311,829,834,835,836,871,872,908,910,1061
762,330,331,368,3009,325,326,361,362,363,402
763,2198,1037,1074,1225,1605,1643,1946,1948,1950,2026
764,1626,1740,1361,1627,1706,830,641,754,981,1437
765,1400,1402,1021,1022,1668,1741,1744,1287,1325,1326
766,2043,2233,2234,2271,2499,713,827,1600,2651,2652
767,713,827,1702,1013,1052,1123,1128,1129,1160,1303
768,1283,2007,2083,2197,2082,2120,2158,2309,2347,2383
769,1794,1797,1800,1832,1833,1834,1835,1836,1837,1871
770,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
771,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
772,2383,3004,1206,1207,1243,1244,1282,1358,1395,1396
773,758,795,947,948,949,986,987,988,1023,1024
774,115,117,153,191,192,77,79,80,116,119
775,1627,1668,1741,1744,1324,1362,1626,1702,1740,1437
776,120,122,159,198,157,158,196,197,121,123
777,1668,1324,1362,1098,1213,1214,1216,1251,1252,1289
778,1597,1635,1636,1673,1674,1711,1712,1749,1750,1787
779,993,996,998,999,1032,1038,1070,1108,1146,1147
780,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
781,1739,2535,2536,2575,2611,2612,998,999,1038,1840
782,759,796,797,832,985,1097,1053,1054,1092,1130
783,2637,2638,2639,2673,2674,2675,2676,2677,2678,2679
784,989,991,1027,1028,1029,1065,1066,1067,1103,1104
785,413,375,377,414,415,416,417,418,450,451
786,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
787,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
788,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
789,32,34,35,37,68,73,74,106,114,28
790,830,1663,1701,641,754,828,829,981,1055,1626
791,341,379,758,795,947,948,949,986,987,988
792,680,681,683,717,718,719,721,793,794,2654
793,989,2357,2359,2959,647,764,765,913,915,951
794,1807,1811,1841,1842,1843,1845,1847,1880,1881,1882
795,2342,2341,2380,2381,2529,2567,2568,2605,2606,2607
796,764,765,799,800,801,802,837,838,839,840
797,759,796,797,832,527,565,567,569,603,604
798,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
799,1939,1978,1980,2016,2017,2054,2055,2056,2091,2092
800,1225,1605,1643,829,1600,1626,1627,1778,2043,2233
801,1703,1057,1361,1665,1055,1209,1285,1551,1666,1740
802,341,379,342,378,380,377,414,415,416,417
803,2941,675,709,711,747,748,749,786,787,824
804,377,414,415,416,417,418,450,451,452,453
805,553,554,555,557,587,589,590,591,592,622
806,982,1019,1096,525,602,449,564,679,715,755
807,2941,675,709,711,747,748,749,786,787,824
808,680,681,683,717,718,719,721,793,794,2938
809,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
810,993,996,1032,1034,1070,1075,1108,1146,1147,1150
811,2198,2081,758,795,947,948,949,986,987,988
812,251,175,212,213,330,331,406,442,444,2973
813,770,961,1037,1074,1077,1153,1155,1690,2291,2514
814,1946,1948,1950,2026,1831,1869,1870,1872,1873,1907
815,963,994,995,997,1000,1001,1033,1035,1036,1039
816,2487,2563,2564,2565,2566,2602,2604,2645,2646,2647
817,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
818,675,709,711,747,748,749,786,787,824,864
819,662,593,594,628,629,630,631,632,655,660
820,2941,675,679,680,681,683,709,711,717,718
821,637,659,665,667,668,669,698,699,700,701
822,680,681,683,717,718,719,721,793,794,2938
823,679,755,792,831,830,641,754,868,981,982
824,457,495,497,535,572,573,496,498,499,501
825,907,1135,1172,1173,1211,834,835,868,870,871
826,1231,1267,1269,1305,1306,1307,1343,1344,1345,1346
827,1144,1182,1220,1525,992,1030,1031,1068,1069,1106
828,2938,758,795,947,948,949,986,987,988,1023
829,330,331,368,3009,289,323,327,328,329,357
830,457,459,495,497,535,538,572,573,496,498
831,2198,2043,2233,2234,2271,2047,2049,2084,2087,2124
832,751,1018,1056,713,827,1017,1055,715,791,1094
833,1037,1074,1225,1605,1643,1946,1948,1950,2026,2079
834,2938,758,795,947,948,949,986,987,988,1023
835,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
836,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
837,826,3029,784,2941,713,827,637,673,712,750
838,655,661,692,883,884,885,921,922,923,960
839,522,447,485,524,484,521,556,558,624,2961
840,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
841,2596,1873,1913,1916,1952,1956,1987,1989,1990,1991
842,675,709,711,747,748,749,786,787,824,864
843,947,948,949,986,987,988,1023,1024,1025,1026
844,784,809,889,2941,133,172,249,250,288,403
845,1866,1941,1942,1979,2018,2057,2132,1599,1637,1638
846,784,806,809,889,660,693,694,696,697,733
847,1101,1102,1139,1140,1174,1177,1178,1215,1440,1819
848,687,723,725,761,762,763,917,2986,647,685
849,3004,1003,1007,1232,1315,1389,1585,1011,1039,1040
850,637,1053,1054,1092,1130,597,599,633,634,635
851,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
852,641,754,829,525,602,639,678,716,753,790
853,2661,2663,2664,2665,2666,2667,2669,2670,2671,2700
854,521,556,558,624,2961,523,445,481,482,520
855,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
856,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
857,1101,1102,1139,1140,1174,1177,1178,1215,1440,1819
858,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
859,830,525,602,639,641,678,716,753,754,790
860,759,796,797,832,985,1097,758,795,947,948
861,1037,1074,1225,1605,1643,1946,1948,1950,2026,2079
862,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
863,687,723,725,761,762,763,496,498,499,501
864,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
865,457,495,497,535,572,573,496,498,499,501
866,947,948,949,986,987,988,1023,1024,1025,1026
867,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
868,1144,1182,1220,1525,992,1030,1031,1068,1069,1106
869,133,172,249,250,288,403,175,212,213,442
870,2938,758,795,947,948,949,986,987,988,1023
871,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
872,527,565,567,569,603,604,606,607,608,640
873,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
874,759,796,797,832,985,1097,758,795,947,948
875,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
876,680,681,683,717,718,719,721,793,794,2938
877,341,379,342,378,380,377,414,415,416,417
878,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
879,445,481,482,520,443,407,523,675,709,711
880,487,488,525,602,551,588,32,34,35,37
881,805,808,811,812,843,844,846,849,887,926
882,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
883,259,260,408,217,135,173,174,441,479,516
884,485,524,525,602,639,678,716,753,790,487
885,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
886,2938,527,565,567,569,603,604,606,607,608
887,1037,1074,730,731,732,734,768,1000,1001,1039
888,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
889,521,556,558,624,2961,523,445,481,482,520
890,680,681,683,715,717,718,719,721,791,793
891,671,707,710,823,825,862,1013,1052,1128,1129
892,2938,758,795,947,948,949,986,987,988,1023
893,1037,1074,993,996,998,999,1032,1034,1038,1070
894,32,34,35,37,68,74,114,31,38,71
895,377,414,415,416,417,418,450,451,452,453
896,1400,1402,1324,1362,1668,1741,1744,1287,1325,1326
897,32,34,35,37,68,74,114,148,151,184
898,881,882,919,920,655,692,805,808,811,812
899,2509,2547,2548,2549,2586,2587,2588,2590,2589,2591
900,830,1626,525,602,639,641,678,716,753,754
901,157,158,196,197,117,153,191,192,120,122
902,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
903,1034,1075,1150,1188,1190,1193,1229,1230,1494,1568
904,157,158,196,197,119,154,155,156,193,194
905,907,1135,1172,1173,336,337,412,413,448,527
906,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
907,449,448,487,488,525,602,868,981,982,983
908,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
909,2919,870,945,1249,1855,1856,1896,1898,1932,1933
910,758,795,947,948,949,986,987,988,1023,1024
911,3004,1099,1175,1176,1212,1250,1253,1254,1368,1477
912,1037,1074,998,999,1034,1038,1075,1150,1188,1190
913,133,172,249,250,288,403,134,170,171,207
914,521,556,558,624,2961,485,524,445,481,482
915,1225,1034,1075,1150,1185,1187,1188,1190,1223,1224
916,2348,2421,2460,2461,2498,2535,2536,2575,2611,2612
917,527,565,567,569,603,604,606,607,608,640
918,525,602,449,564,679,755,756,792,601,638
919,498,499,501,536,537,539,540,574,575,576
920,341,379,377,414,415,416,417,418,450,451
921,929,930,931,932,935,966,970,1009,1046,1050
922,3031,120,122,159,198,233,234,235,271,272
923,961,2179,2215,2216,2217,2252,2253,2254,2342,2972
924,2160,679,755,792,793,906,1133,1134,2007,2046
925,1400,1402,1021,1022,1668,1741,1744,1287,1325,1326
926,527,565,567,569,603,604,606,607,608,640
927,963,992,1030,1031,1068,1069,1106,989,1144,1182
928,1303,1381,1419,1296,1334,1372,1410,1448,1562,1185
929,758,795,947,948,949,986,987,988,1023,1024
930,377,414,415,416,417,418,450,451,452,453
931,1091,1661,1700,1738,637,1053,1054,1092,1130,1663
932,1037,1074,1225,1605,1643,1946,1948,1950,2026,2079
933,290,251,514,3017,179,214,252,408,105,256
934,1043,1078,1081,1115,1118,1119,1156,1194,1077,1153
935,947,948,949,986,987,988,1023,1024,1025,1026
936,38,1136,1288,1439,1476,1514,1515,1516,1552,1554
937,1053,1054,1092,1130,597,599,633,634,635,636
938,1011,1045,1047,1048,1049,1079,1083,1196,1699,1737
939,1706,1099,1175,1176,1212,1250,1253,1254,1325,1363
940,1091,1661,1700,1738,784,1011,1013,1045,1047,1048
941,233,234,235,271,272,307,308,309,310,344
942,1324,1362,1213,1214,1216,1251,1252,1289,1290,1291
943,1706,985,1097,1668,1744,1099,1175,1176,1212,1250
944,2081,826,865,979,1016,1093,1739,2193,2307,2382
945,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
946,793,831,984,1021,1022,1741,2046,2086,870,945
947,758,795,947,948,949,986,987,988,1023,1024
948,1325,1363,1364,1401,1667,1704,1705,1742,983,1020
949,1525,993,996,1032,1034,1070,1075,1108,1146,1147
950,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
951,989,2357,2359,2959,647,764,765,913,915,951
952,1663,1701,1091,1661,1700,1738,1055,1702,1740,1011
953,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
954,1076,1080,1114,1117,1120,1121,1152,1157,1158,1195
955,2719,2509,2547,2548,2549,2586,2587,2588,2590,2633
956,1123,1160,1653,1732,880,993,996,1032,1070,1108
957,961,1014,2157,2196,2272,2574,2613,1094,1095,3025
958,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
959,685,724,687,723,725,761,762,763,917,2986
960,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
961,1099,1175,1176,1212,1250,1253,1254,1323,1368,1399
962,680,681,683,717,718,719,721,794,2311,2654
963,1739,2535,2536,2575,2611,2612,998,999,1038,1840
964,1013,1052,1128,1129,2941,675,709,711,747,748
965,1668,830,1324,1362,758,795,947,948,949,986
966,621,770,863,551,588,597,599,617,618,619
967,2641,2680,2681,2683,2720,2721,2759,2637,2638,2639
968,1840,1878,1879,1919,1954,1995,2141,2180,2181,2182
969,685,724,992,1030,1031,1068,1069,1106,687,723
970,799,800,801,837,838,839,840,876,877,878
971,947,948,949,986,987,988,1023,1024,1025,1026
972,2692,2730,2198,2654,2655,2693,2695,2696,2732,2770
973,341,379,758,795,947,948,949,986,987,988
974,1664,1739,730,731,732,734,768,806,809,889
975,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
976,341,379,758,795,947,948,949,986,987,988
977,2198,2081,830,758,795,947,948,949,986,987
978,1101,1102,1139,1140,1174,1177,1178,1215,1440,1819
979,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
980,637,1053,1054,1092,1130,597,599,633,634,635
981,1037,1074,998,999,1034,1038,1075,1150,1188,1190
982,377,414,415,416,417,418,450,451,452,453
983,1037,1074,730,731,732,734,768,1000,1001,1039
984,1037,1074,998,999,1034,1038,1075,1150,1188,1190
985,676,677,830,637,1053,1054,1092,1130,641,754
986,2198,2081,758,795,947,948,949,986,987,988
987,799,800,801,837,838,839,840,876,877,878
988,409,407,121,123,129,130,131,160,161,162
989,805,808,811,812,843,844,846,849,887,926
990,291,369,175,212,213,330,331,406,442,444
991,2047,2049,2084,2087,2124,2125,2126,2127,2128,2161
992,2007,2083,2197,1283,829,2160,2383,868,904,1210
993,49,19,21,55,60,90,91,2976,53,89
994,947,948,949,986,987,988,1023,1024,1025,1026
995,675,709,711,747,748,749,786,787,824,864
996,1739,685,724,764,765,903,992,1030,1031,1037
997,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
998,1867,1868,1905,1906,1943,1944,1981,1982,2019,2020
999,1077,1153,1155,1034,1043,1075,1078,1081,1112,1113
1000,2938,758,795,947,948,949,986,987,988,1023
1001,496,533,534,571,610,611,647,913,915,951
1002,341,379,377,414,415,416,417,418,450,451
1003,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
1004,991,1027,1028,1029,1065,1066,1067,1103,1104,1105
1005,377,414,415,416,417,418,449,450,451,452
1006,510,289,327,328,329,364,365,366,367,400
1007,641,754,564,679,680,681,683,717,718,719
1008,2348,2421,2460,2461,2498,2179,2215,2216,2217,2252
1009,1075,1150,1188,1190,1193,1229,1230,1494,1568,1571
1010,687,723,725,761,762,763,917,2986,648,726
1011,377,414,415,416,417,418,450,451,452,453
1012,1013,1052,1076,1080,1114,1117,1120,1121,1128,1129
1013,1112,1113,1151,1185,1187,1223,1224,1260,1261,1262
1014,826,2641,2680,2681,2683,2720,2721,2759,3029,2603
1015,1213,1214,1216,1251,1252,1289,1290,1291,1292,1327
1016,343,381,382,383,385,419,420,421,422,423
1017,1776,1091,1587,1658,1659,1660,1661,1692,1694,1695
1018,1225,1605,1643,1034,1075,1150,1185,1187,1188,1190
1019,1939,1978,1980,2016,2017,2054,2055,2056,2091,2092
1020,1741,1325,1363,1364,1401,1553,1591,1629,1667,1704
1021,350,351,352,353,354,355,387,388,389,390
1022,831,983,1020,1058,1059,1060,679,680,681,683
1023,637,1053,1054,1092,1130,676,677,597,599,633
1024,1037,1074,1225,1605,1643,1946,1948,1950,2026,2079
1025,2079,2080,2118,2156,2193,2307,1851,1852,1884,1889
1026,341,379,377,414,415,416,417,418,450,451
1027,1099,1175,1176,1212,1250,1253,1254,1368,1477,1479
