,croc,oc,Ance,Cyp310a1,twi,cad,Mes2,run,kni,knrl
589,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
590,377,413,414,415,416,417,418,448,449,450
591,941,1014,1397,3004,873,874,906,909,911,912
592,647,685,687,689,723,724,725,762,837,875
594,1171,1132,1169,1170,1208,833,1057,1095,1209,1247
595,1129,1167,1168,1205,1206,1207,1243,1244,2994,19
596,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
597,786,787,823,824,825,862,864,900,1130,788
598,1070,1107,1108,1145,1146,1147,1160,1183,1373,1410
599,786,787,823,824,825,862,864,900,1130,829
600,786,787,823,824,825,862,864,900,1130,788
601,720,756,757,759,794,796,797,798,832,834
602,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
603,968,1083,1086,1122,1124,1156,1775,2383,745,746
604,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
605,441,477,479,512,513,515,516,547,549,550
606,342,378,380,265,31,71,72,73,75,105
607,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
608,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
609,761,763,764,799,800,801,838,839,1980,685
610,595,118,120,122,157,445,481,482,484,520
611,1133,2963,793,795,870,1019,1063,1064,1096,1098
612,1981,1982,2020,2593,765,803,840,841,1979,2553
613,2767,2768,2731,2772,2730,2734,2599,2601,2640,2641
614,2636,2679,2720,2556,2557,2593,2594,2595,2597,2637
615,341,379,342,378,380,377,413,414,415,416
616,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
617,901,902,938,940,1054,1245,3004,2383,635,637
618,788,826,827,863,941,1014,1397,1890,2496,2532
619,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
621,968,1083,1086,1122,1124,1156,1775,2383,745,746
622,873,874,906,909,911,912,945,947,948,949
623,750,2232,2269,2307,2308,2383,595,788,818,826
624,1741,1779,1855,2049,2084,2087,2088,2089,2090,2123
625,786,787,823,824,825,862,864,900,1130,717
626,968,1083,1086,1122,1124,1156,745,746,778,779
627,981,831,869,871,872,907,908,910,946,983
628,1593,1630,1704,527,567,604,608,644,1478,1596
629,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
630,831,869,871,872,907,908,910,946,983,985
631,341,379,1478,1743,1858,2086,377,413,414,415
632,901,902,938,940,1054,1245,635,637,674,675
633,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
634,786,787,823,824,825,862,864,900,1130,560
635,901,902,938,940,1054,1245,635,637,674,675
636,41,77,78,80,81,43,53,79,88,89
637,1478,1743,1858,2086,1441,1443,1632,1634,1668,1670
638,212,213,330,331,369,406,408,442,444,514
639,1019,873,874,906,909,911,912,945,947,948
640,377,413,414,415,416,417,418,448,449,450
641,758,830,1026,1177,1216,1406,1442,2539,2543,2544
642,873,874,906,909,911,912,945,947,948,949
643,901,902,938,940,1054,1245,3004,2383,635,637
644,3004,939,976,977,978,1013,1015,1052,1053,1055
645,1893,341,379,1478,1743,1858,2007,2086,980,1018
646,1775,1381,1415,1417,1419,1452,1454,1458,1459,1460
647,831,869,871,872,907,908,910,946,983,985
648,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
649,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
650,865,903,979,1016,1017,1093,2382,2420,2458,673
651,831,869,871,872,907,908,910,946,983,985
652,423,425,462,463,464,465,500,761,763,764
653,717,754,755,760,792,1100,1210,1439,758,830
654,31,71,72,73,75,106,107,108,109,110
655,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
656,595,559,561,596,598,562,84,85,121,123
657,831,869,871,872,907,908,910,946,983,985
658,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
659,46,523,49,60,86,92,55,61,90,91
660,2383,673,712,713,2193,2343,2345,2384,635,637
661,901,902,938,940,1054,1245,635,637,674,675
662,939,976,977,978,1013,1015,1052,1053,1055,1091
663,720,756,757,759,794,796,797,798,832,834
664,191,153,155,192,193,194,195,229,232,267
665,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
666,873,874,906,909,911,912,945,947,948,949
667,786,787,823,824,825,862,864,900,1130,788
668,1019,981,1133,2963,873,874,906,909,911,912
669,720,756,757,759,794,796,797,798,832,834
670,901,902,938,940,1054,1245,635,637,674,675
671,873,874,906,909,911,912,945,947,948,949
672,873,874,906,909,911,912,945,947,948,949
673,993,1296,2245,2284,2285,2322,2360,2396,2397,2434
674,183,265,31,71,72,73,75,105,106,107
675,720,756,757,759,794,796,797,798,832,834
676,1627,1478,1741,1743,1779,1855,1858,2086,1019,1441
677,1587,1928,788,826,827,863,1449,1450,1487,1488
678,2730,2734,2691,2767,2768,2804,2693,2695,2733,2770
679,717,754,755,760,792,1100,1210,1439,753,758
681,717,754,755,760,792,1100,1210,1439,758,830
682,788,826,827,863,2496,2532,2534,2673,2677,2709
683,865,903,979,1016,1017,1093,2382,2420,2458,673
684,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
685,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
687,939,976,977,978,1013,1015,1052,1053,1055,1091
688,717,754,755,760,792,1100,1210,1323,1361,1399
689,263,341,379,529,566,570,265,377,413,414
690,2273,2311,2313,2938,263,341,379,529,566,570
691,341,379,793,795,870,1063,1064,1096,1098,1101
692,793,795,870,1063,1064,1096,1098,1101,1102,1134
693,92,251,407,409,443,446,483,517,518,519
695,3004,523,1775,720,756,757,759,794,796,797
696,32,34,35,37,68,74,114,2937,31,38
697,1739,1776,1814,1815,2004,2947,2998,1777,2005,865
699,121,123,162,163,164,169,3012,120,122,126
700,595,2383,783,784,785,786,787,817,819,820
701,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
702,831,869,871,872,907,908,910,946,983,985
703,873,874,906,909,911,912,945,947,948,949
704,901,902,938,940,1054,1245,3004,2383,598,635
706,901,902,938,940,1054,1245,635,637,674,675
707,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
708,126,92,84,85,121,123,124,162,163,164
709,786,787,823,824,825,862,864,900,1130,829
710,765,803,840,841,1065,1069,1103,1104,1105,1106
711,3001,1019,2124,2160,2161,2163,2198,2199,2200,2387
712,340,341,379,377,413,414,415,416,417,418
713,295,341,379,332,342,378,380,32,34,35
714,523,445,481,482,484,520,521,522,556,558
715,407,409,443,446,483,517,518,519,523,212
716,564,603,607,640,641,642,643,646,679,680
717,761,763,764,799,800,801,838,839,1980,770
718,541,229,267,268,269,270,305,306,307,309
719,160,161,786,787,823,824,825,862,864,900
720,647,649,685,687,688,689,690,723,724,725
721,11,38,54,6,12,13,14,15,16,18
722,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
723,578,3031,158,159,196,197,198,230,231,233
724,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
725,720,756,757,759,794,796,797,798,832,834
726,857,858,859,860,861,891,892,893,894,896
727,951,952,953,989,990,991,992,1027,1028,1029
728,873,874,906,909,911,912,945,947,948,949
729,129,130,131,120,122,134,157,165,166,168
730,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
731,793,795,870,1063,1064,1096,1098,1101,1102,1134
732,717,754,755,760,792,1100,1210,1439,720,756
733,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
734,873,874,906,909,911,912,945,947,948,949
735,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
736,2730,2734,942,1056,2421,2460,2461,2649,2884,982
738,786,787,823,824,825,862,864,900,1130,829
739,423,425,462,463,464,465,500,343,344,345
740,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
741,46,57,59,92,93,94,95,99,47,83
742,551,584,585,588,617,618,619,620,621,1451
743,295,341,379,342,378,380,486,1133,1475,2963
745,57,59,93,94,95,53,88,89,97,117
746,215,92,407,409,443,446,483,517,518,519
747,2477,2513,2514,2515,2516,2471,2472,2510,2511,2512
748,786,787,823,824,825,862,864,900,1130,1209
749,720,756,757,759,794,796,797,798,832,834
750,873,874,906,909,911,912,945,947,948,949
751,968,1083,1086,1122,1124,1156,631,745,746,778
752,788,826,827,863,941,1014,1397,1890,2496,2532
753,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
754,761,763,764,799,800,801,838,839,1980,685
755,786,787,823,824,825,862,864,900,1130,829
757,1593,1627,1630,1704,981,1475,527,567,604,608
759,793,795,870,1063,1064,1096,1098,1101,1102,1134
760,602,831,869,871,872,907,908,910,946,983
761,601,639,602,600,638,1246,1284,1322,1360,564
762,199,200,201,202,203,204,206,208,236,237
763,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
764,981,831,869,871,872,907,908,910,946,983
765,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
766,788,826,827,863,2496,2532,2534,3029,750,751
768,3004,598,939,976,977,978,1013,1015,1052,1053
769,1451,1453,1455,1456,1457,1489,1490,1491,1492,1493
770,1636,1673,1674,1711,1712,2551,647,1065,1069,1103
771,981,831,869,871,872,907,908,910,946,983
772,901,902,938,940,1054,1245,3004,2383,635,637
773,873,874,906,909,911,912,945,947,948,949
774,153,155,192,193,194,195,232,480,577,115
775,2124,2163,2950,341,379,527,529,566,567,570
776,120,122,157,119,154,156,121,123,158,159
777,1019,981,1133,2804,2963,873,874,906,909,911
778,761,763,764,799,800,801,838,839,1980,685
779,2169,2208,2247,2547,1065,1069,1103,1104,1105,1106
780,720,756,757,759,794,796,797,798,832,834
781,941,1014,1397,865,903,979,980,1016,1017,1018
782,597,599,633,634,636,670,671,672,707,710
783,2674,2675,2676,2710,2713,2716,2721,2982,2631,2632
784,939,976,977,978,1013,1015,1052,1053,1055,1091
785,32,34,35,37,68,74,114,377,413,414
786,2169,2208,2247,2547,1010,1033,1035,1037,1071,1072
787,935,936,937,969,971,972,973,974,975,1001
788,717,754,755,760,792,1100,1210,1439,758,830
789,32,34,35,37,68,74,114,2937,31,38
790,786,787,823,824,825,862,864,900,1130,829
792,2730,2734,793,795,870,1063,1064,1096,1098,1101
793,1179,951,952,953,989,990,991,992,1027,1028
794,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
796,761,763,764,799,800,801,838,839,1980,685
797,1475,1550,1479,1513,1515,1516,1518,1556,2944,2970
799,647,685,687,689,723,724,725,762,837,875
800,523,1890,295,341,379,290,212,213,330,331
801,968,1083,1086,1122,1124,1156,745,746,778,779
802,1019,981,1133,2963,873,874,906,909,911,912
804,831,869,871,872,907,908,910,946,983,985
805,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
806,788,826,827,863,2496,2532,2534,3029,829,2383
807,901,902,938,940,1054,1245,635,637,674,675
808,1133,2804,2963,1095,2765,2806,2807,2810,2811,2842
809,873,874,906,909,911,912,945,947,948,949
811,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
813,993,1296,2245,2284,2285,2322,2360,2396,2397,2434
814,1993,1995,2031,2032,2033,2034,2035,2037,2040,2070
815,1,2,3,4,5,6,7,8,9,10
817,788,826,827,863,2496,2532,2534,3029,750,751
818,635,637,674,675,709,711,747,748,749,750
819,631,935,936,937,969,971,972,973,974,975
820,786,787,823,824,825,862,864,900,1130,172
821,968,1083,1086,1122,1124,1156,745,746,778,779
822,873,874,906,909,911,912,945,947,948,949
825,831,869,871,872,907,908,910,946,983,985
827,865,903,979,1016,1017,1093,2382,2420,2458,788
828,873,874,906,909,911,912,945,947,948,949
830,1179,229,267,268,269,270,305,306,307,309
831,2383,673,712,713,1739,1775,1776,1814,1815,1957
834,2313,2938,2201,2237,2238,2239,2240,2241,2242,2274
835,1179,229,267,268,269,270,305,306,307,309
836,951,952,953,989,990,991,992,1027,1028,1029
837,2559,2560,2563,2598,2600,2603,2604,2642,2647,2684
838,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
839,595,445,481,482,484,520,521,522,556,558
840,1476,1477,1514,1517,1519,1552,1553,1554,1555,1590
841,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
842,786,787,823,824,825,862,864,900,1130,753
844,901,902,938,940,1054,1245,3004,2383,635,637
845,2169,2208,2247,2547,1065,1069,1103,1104,1105,1106
846,968,1083,1086,1122,1124,1156,745,746,778,779
847,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
849,1426,1427,1467,1469,1699,1775,663,665,1381,1396
850,786,787,823,824,825,862,864,900,1130,788
851,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
852,901,902,938,940,1054,1245,3004,2383,635,637
853,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
854,523,445,481,482,484,520,521,522,556,558
856,1626,1593,1627,1630,1704,1778,1246,1284,1322,1360
857,793,795,870,1063,1064,1096,1098,1101,1102,1134
858,873,874,906,909,911,912,945,947,948,949
859,3004,939,976,977,978,1013,1015,1052,1053,1055
860,831,869,871,872,907,908,910,946,983,985
862,1179,951,952,953,989,990,991,992,1027,1028
863,501,229,267,268,269,270,305,306,307,309
864,981,831,869,871,872,907,908,910,946,983
865,423,425,462,463,464,465,500,343,344,345
866,873,874,906,909,911,912,945,947,948,949
868,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
869,786,787,823,824,825,862,864,900,1130,133
870,2313,2938,2201,2237,2238,2239,2240,2241,2242,2274
871,831,869,871,872,907,908,910,946,983,985
872,564,603,607,640,641,642,643,646,679,680
873,935,936,937,969,971,972,973,974,975,1001
874,720,756,757,759,794,796,797,798,832,834
875,717,754,755,760,792,1100,1210,1323,1361,1399
876,1133,2804,2963,1095,2765,2806,2807,2810,2811,2842
877,183,263,295,296,341,379,529,566,570,265
878,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
879,523,445,481,482,484,520,521,522,556,558
881,786,787,823,824,825,862,864,900,1130,788
882,341,379,1478,1743,1858,2086,377,413,414,415
883,441,477,479,512,513,515,516,547,549,550
884,523,445,481,482,484,520,521,522,556,558
885,720,756,757,759,794,796,797,798,832,834
886,793,795,870,1063,1064,1096,1098,1101,1102,1134
887,1,2,3,4,5,6,7,8,9,10
888,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
889,445,481,482,484,520,521,522,556,558,559
890,793,795,870,1063,1064,1096,1098,1101,1102,1134
891,786,787,823,824,825,862,864,900,1130,788
892,793,795,870,1063,1064,1096,1098,1101,1102,1134
893,1448,1523,1562,1600,1713,1751,1753,1789,1790,1791
894,32,34,35,37,68,74,114,2937,31,38
895,524,485,523,562,38,100,296,526,529,566
896,3001,1019,2124,2160,2161,2163,2198,2199,2200,2387
897,113,146,148,149,181,184,186,220,221,259
898,788,826,827,863,2496,2532,2534,2673,2677,2709
899,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
900,789,790,829,751,752,828,866,904,2459,2497
901,120,122,157,121,123,158,159,162,163,164
902,857,858,859,860,861,891,892,893,894,896
903,1486,551,584,585,588,617,618,619,620,621
904,120,122,157,119,154,156,121,123,158,159
906,831,869,871,872,907,908,910,946,983,985
907,602,678,716,564,603,607,640,641,642,643
908,1587,1928,1739,1776,1814,1815,1853,1929,1967,2004
909,788,826,827,863,2496,2532,2534,3029,2968,1179
910,1019,873,874,906,909,911,912,945,947,948
911,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
912,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
913,364,365,120,122,157,249,288,328,366,404
914,445,481,482,484,520,521,522,556,558,559
915,865,903,979,1016,1017,1093,2382,2420,2458,788
916,1853,1929,1967,751,828,866,904,1587,1891,1928
917,831,869,871,872,907,908,910,946,983,985
918,829,717,754,755,760,792,867,1100,1210,1323
920,341,379,377,413,414,415,416,417,418,448
921,1957,1992,1996,1999,663,665,745,746,778,779
922,578,3031,158,159,196,197,198,230,231,233
924,2919,2881,788,826,827,863,2496,2532,2534,2673
925,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
926,720,756,757,759,794,796,797,798,832,834
927,501,423,425,462,463,464,465,500,578,2674
928,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
929,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
930,486,1475,32,34,35,37,68,74,114,377
931,968,1083,1086,1122,1124,1156,745,746,778,779
932,968,1083,1086,1122,1124,1156,745,746,778,779
933,175,214,252,290,368,2973,205,207,240,241
935,793,795,870,1063,1064,1096,1098,1101,1102,1134
936,447,1513,38,486,1475,1551,14,16,18,23
938,1737,1625,1657,1663,1695,1696,1697,1698,1700,1701
939,831,869,871,872,907,908,910,946,983,985
940,445,481,482,484,520,521,522,556,558,407
941,229,267,268,269,270,305,306,307,309,310
942,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
943,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
944,865,903,979,1016,1017,1093,2382,2420,2458,673
945,957,958,959,960,994,995,997,998,999,1034
946,873,874,906,909,911,912,945,947,948,949
947,793,795,870,1063,1064,1096,1098,1101,1102,1134
948,981,1057,1285,831,869,871,872,907,908,910
949,2590,2661,2662,2669,2670,2671,2699,2700,2708,2737
950,941,1014,1397,865,903,979,980,1016,1017,1018
951,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
952,786,787,823,824,825,862,864,900,1130,1209
953,1478,1743,1858,2086,1441,1443,1632,1634,1668,1670
954,968,1083,1086,1122,1124,1156,745,746,778,779
955,750,2232,2269,2307,2308,2383,788,818,826,827
956,1070,1107,1108,1145,1146,1147,1183,1373,1410,1412
957,941,1014,1397,2517,2519,2558,2561,2596,865,903
958,341,379,793,795,870,1063,1064,1096,1098,1101
960,761,763,764,799,800,801,838,839,1636,1673
961,831,869,871,872,907,908,910,946,983,985
962,2383,364,365,595,597,599,633,634,636,670
964,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
965,1019,873,874,906,909,911,912,945,947,948
966,290,1869,1890,1907,1908,1909,1911,1913,1948,1953
967,2637,2678,2723,2759,2599,2601,2640,2641,2643,2644
968,2852,2921,2924,2851,2853,2854,2855,2856,2857,2858
969,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
970,765,803,840,841,802,877,879,914,915,916
971,1019,3008,1057,1095,1285,3025,873,874,906,909
972,873,874,906,909,911,912,945,947,948,949
973,3001,564,603,607,640,641,642,643,646,679
975,341,379,1478,1743,1858,2086,377,413,414,415
976,341,379,1478,1743,1858,2086,377,413,414,415
977,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
978,873,874,906,909,911,912,945,947,948,949
979,341,379,793,795,870,1063,1064,1096,1098,1101
980,786,787,823,824,825,862,864,900,1130,829
981,1915,1917,1946,1947,1950,1952,1985,1991,2997,1957
982,529,566,570,645,681,683,718,719,721,722
983,935,936,937,969,971,972,973,974,975,1001
984,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
985,3004,939,976,977,978,1013,1015,1052,1053,1055
986,2124,2163,2950,341,379,526,527,529,566,567
987,343,344,345,347,381,382,383,384,385,386
988,121,123,162,163,164,169,364,365,595,3012
989,635,637,674,675,709,711,747,748,749,2941
990,212,213,330,331,369,406,408,442,444,514
991,873,874,906,909,911,912,945,947,948,949
992,901,902,938,940,1054,1245,3004,2383,635,637
993,46,19,49,60,86,92,15,17,52,55
994,873,874,906,909,911,912,945,947,948,949
995,3004,939,976,977,978,1013,1015,1052,1053,1055
996,647,1447,1483,1484,1485,1521,1522,1524,1559,1560
997,647,649,688,690,1447,1483,1484,1485,1521,1522
998,2169,2208,2247,2547,1065,1069,1103,1104,1105,1106
1000,793,795,870,1063,1064,1096,1098,1101,1102,1134
1001,343,344,345,347,381,382,383,384,385,386
1002,295,341,379,342,378,380,486,1133,1475,2963
1003,685,687,723,724,725,762,837,875,876,878
1005,981,1057,1285,831,869,871,872,907,908,910
1006,939,976,977,978,1013,1015,1052,1053,1055,1091
1007,720,756,757,759,794,796,797,798,832,834
1008,368,788,826,827,863,941,993,1014,1296,1397
1009,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
1010,598,726,802,2987,79,761,763,764,799,800
1011,32,34,35,37,68,74,114,377,413,414
1012,901,902,938,940,1054,1245,635,637,674,675
1013,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1014,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
1015,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
1016,423,425,462,463,464,465,500,343,344,345
1017,788,826,827,863,941,1014,1397,1890,2496,2532
1018,368,788,826,827,863,941,993,1014,1296,1397
1019,685,687,723,724,725,762,837,875,876,878
1021,281,282,283,284,313,315,316,317,318,319
1022,527,567,604,608,644,3016,2124,2163,2950,564
1023,1129,1167,1168,1205,1206,1207,1243,1244,2994,786
1024,1979,167,246,438,770,1951,1984,1986,1987,1988
1025,935,936,937,969,971,972,973,974,975,1001
1026,873,874,906,909,911,912,945,947,948,949
1027,831,869,871,872,907,908,910,946,983,985
1028,3004,939,976,977,978,1013,1015,1052,1053,1055
1029,941,1014,1397,3004,523,2383,939,976,977,978
1030,151,185,187,188,189,190,222,223,224,225
1031,423,425,462,463,464,465,500,343,344,345
1032,340,342,378,380,332,295,335,336,337,338
1033,263,341,379,529,566,570,265,377,413,414
1034,788,826,827,863,2496,2532,2534,2673,2677,2709
1035,873,874,906,909,911,912,945,947,948,949
1036,341,379,340,377,413,414,415,416,417,418
1038,3004,981,831,869,871,872,907,908,910,946
1039,981,564,603,607,640,641,642,643,646,679
1040,786,787,823,824,825,862,864,900,1130,829
1041,751,828,866,904,2459,2497,2498,2535,2536,2573
1042,341,379,793,795,870,1063,1064,1096,1098,1101
1043,1739,1776,1814,1815,2004,2947,2998,941,1014,1381
1045,901,902,938,940,1054,1245,3004,2383,635,637
1046,901,902,938,940,1054,1245,635,637,674,675
1047,2551,1599,1675,1676,1677,1715,1752,2471,2472,2510
1049,551,584,585,588,617,618,619,620,621,1426
1050,939,976,977,978,1013,1015,1052,1053,1055,1091
1051,121,123,162,163,164,169,631,3012,120,122
1052,951,952,953,989,990,991,992,1027,1028,1029
1053,1133,2963,1095,793,795,870,1019,1063,1064,1096
1054,1596,1628,1629,1631,1667,1705,1706,1710,1742,2996
1055,901,902,938,940,1054,1245,3004,2383,635,637
1056,296,529,566,570,113,146,148,149,181,184
1057,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1058,935,936,937,969,971,972,973,974,975,1001
1060,981,1246,1284,1322,1360,602,831,867,869,871
1061,752,595,789,790,60,524,485,523,562,676
1062,32,34,35,37,68,74,114,2937,31,38
1063,364,365,595,597,599,633,634,636,670,671
1064,865,903,979,1016,1017,1093,2382,2420,2458,2637
1066,873,874,906,909,911,912,945,947,948,949
1067,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1068,857,858,859,860,861,891,892,893,894,896
1069,86,445,481,482,484,520,521,522,556,558
1070,1133,2963,295,341,379,1095,793,795,870,1019
1071,631,593,594,598,629,632,667,668,669,697
1073,793,795,870,1063,1064,1096,1098,1101,1102,1134
1074,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
1075,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1076,32,34,35,37,68,74,114,2937,2,3
1077,564,603,607,640,641,642,643,646,679,680
1079,793,795,870,1063,1064,1096,1098,1101,1102,1134
1080,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1081,720,756,757,759,794,796,797,798,832,834
1083,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
1084,3004,939,976,977,978,1013,1015,1052,1053,1055
1085,343,344,345,347,381,382,383,384,385,386
1086,981,831,869,871,872,907,908,910,946,983
1087,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1088,865,903,979,1016,1017,1093,2382,2420,2458,673
1089,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1090,32,34,35,37,68,74,114,377,413,414
1091,1739,1775,1776,1814,1815,2004,2947,2998,1778,865
1092,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1093,154,156,191,343,344,345,347,381,382,383
1094,565,2201,2237,2238,2239,2240,2241,2242,2274,2275
1095,873,874,906,909,911,912,945,947,948,949
1096,873,874,906,909,911,912,945,947,948,949
1097,865,903,979,1016,1017,1093,2382,2420,2458,673
1098,873,874,906,909,911,912,945,947,948,949
1099,32,34,35,37,68,74,114,2937,22,28
1100,786,787,823,824,825,862,864,900,1130,788
1101,2551,1065,1069,1103,1104,1105,1106,1141,1142,1143
1102,865,903,979,1016,1017,1093,2382,2420,2458,788
1103,377,413,414,415,416,417,418,448,449,450
1104,939,976,977,978,1013,1015,1052,1053,1055,1091
1105,3004,939,976,977,978,1013,1015,1052,1053,1055
1106,1994,2374,2375,2412,2413,2416,2450,2451,2452,2453
1107,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
1108,1323,1361,1399,1438,565,981,2160,2161,2198,2199
1109,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1110,341,379,1478,1743,1858,2086,377,413,414,415
1111,1587,1625,1663,1700,1701,1738,1928,786,787,823
1113,647,649,688,690,1447,1483,1484,1485,1521,1522
1114,951,952,953,989,990,991,992,1027,1028,1029
1115,957,958,959,960,994,995,997,998,999,1034
1116,968,1083,1086,1122,1124,1156,1775,2383,745,746
1117,133,172,364,365,367,403,405,478,199,200
1118,831,869,871,872,907,908,910,946,983,985
1119,793,795,870,1063,1064,1096,1098,1101,1102,1134
1120,2691,2730,2734,873,874,906,909,911,912,945
1121,901,902,938,940,1054,1245,635,637,674,675
1122,647,649,688,690,1447,1483,1484,1485,1521,1522
1124,1057,1285,1171,1246,1284,1322,1360,486,944,981
1125,265,341,379,529,566,570,151,183,185,187
1126,1596,1628,1629,1631,1667,1705,1706,1710,1742,2996
1127,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1128,793,795,870,1063,1064,1096,1098,1101,1102,1134
1129,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1130,160,161,786,787,823,824,825,862,864,900
1131,57,59,93,94,95,53,88,89,97,117
1132,865,903,979,1016,1017,1093,2382,2420,2458,673
1133,941,1014,1397,865,903,979,980,1016,1017,1018
1134,1979,2588,2589,2630,1981,1982,2018,2020,2094,2169
1135,597,599,633,634,636,670,671,672,707,710
1136,199,200,201,202,203,204,206,208,236,237
1137,341,379,1444,1481,1520,1558,1821,1824,1857,1859
1138,786,787,823,824,825,862,864,900,1130,523
1139,957,958,959,960,994,995,997,998,999,1034
1140,2809,2847,2885,2884,2772,2919,2793,2795,2796,2798
1141,3001,2124,2160,2161,2163,2198,2199,2200,2387,2388
1142,251,364,365,136,290,291,292,2973,3009,212
1144,788,826,827,863,2496,2532,2534,3029,829,2383
1145,865,903,979,1016,1017,1093,2382,2420,2458,673
1146,831,869,871,872,907,908,910,946,983,985
1147,720,756,757,759,794,796,797,798,832,834
1148,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
1149,873,874,906,909,911,912,945,947,948,949
1151,873,874,906,909,911,912,945,947,948,949
1153,793,795,870,1063,1064,1096,1098,1101,1102,1134
1154,720,756,757,759,794,796,797,798,832,834
1155,873,874,906,909,911,912,945,947,948,949
1156,1179,951,952,953,989,990,991,992,1027,1028
1157,857,858,859,860,861,891,892,893,894,896
1158,1513,1589,295,341,379,1444,1481,1520,1558,1741
1159,873,874,906,909,911,912,945,947,948,949
1160,1775,1737,551,584,585,588,617,618,619,620
1162,831,869,871,872,907,908,910,946,983,985
1163,831,869,871,872,907,908,910,946,983,985
1164,2674,2675,2676,2710,2713,2716,2721,2982,2804,2631
1165,32,34,35,37,68,74,114,377,413,414
1166,564,603,607,640,641,642,643,646,679,680
1167,968,1083,1086,1122,1124,1156,745,746,778,779
1168,939,976,977,978,1013,1015,1052,1053,1055,1091
1169,831,869,871,872,907,908,910,946,983,985
1170,133,172,364,365,367,403,405,478,3004,199
1171,939,976,977,978,1013,1015,1052,1053,1055,1091
1172,935,936,937,969,971,972,973,974,975,1001
1173,2169,2208,2247,2547,2661,2662,2699,2700,2737,2738
