,croc,CG8147,cad,twi,Cyp310a1,Doc2,Doc3,sna,htl,tsh
583,2636,2679,2720,2557,2593,2594,2595,2597,2637,2638
584,370,133,367,403,405,478,371,254,332,333
585,133,367,403,405,478,172,212,213,288,328
586,92,136,292,61,91,138,46,119,215,251
587,2601,2640,2643,2644,2645,2682,2685,2722,2689,2726
588,865,903,979,1016,1017,1093,1739,1776,1814,1815
589,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
590,377,413,414,415,416,417,418,448,449,450
591,941,1014,1397,3004,873,874,906,909,911,912
592,685,687,723,724,725,762,837,875,876,878
593,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
594,371,447,486,1171,1550,11,254,332,333,334
595,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
596,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
597,900,1130,901,902,938,940,1054,1245,1587,1625
598,1070,1107,1108,1145,1146,1147,1160,1183,1373,1410
599,786,787,823,824,825,862,864,523,788,789
600,900,1130,901,902,938,940,1054,1245,1587,1625
601,831,869,871,872,907,908,910,946,983,985
602,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
603,1775,968,1083,1086,1122,1124,1156,1737,901,902
604,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
605,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
606,340,342,378,380,265,179,295,335,336,337
607,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
609,761,763,764,799,800,801,838,839,1980,685
610,251,445,481,482,484,520,521,522,556,558
611,1133,2963,795,870,1019,1063,1064,1096,1098,1101
612,1981,1982,2020,765,803,840,841,1979,2593,770
613,2767,2768,2599,2641,2680,2681,2683,2939,2731,2763
615,341,379,340,342,378,380,377,413,414,415
616,635,637,674,675,709,711,747,748,749,901
617,901,902,938,940,1054,1245,1625,1663,1700,1701
618,1890,941,1014,1397,1587,1891,1928,2496,2532,2534
619,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
620,1587,1928,2496,2532,2534,828,865,866,903,904
621,1775,968,1083,1086,1122,1124,1156,1737,901,902
622,873,874,906,909,911,912,945,947,948,949
623,2232,2269,2307,2308,2383,750,1587,1928,2109,2145
625,717,754,755,760,792,1513,786,787,823,824
626,968,1083,1086,1122,1124,1156,1737,901,902,938
627,981,527,564,567,603,604,607,608,640,641
628,831,869,871,872,907,908,910,946,983,985
629,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
630,831,869,871,872,907,908,910,946,983,985
631,873,874,906,909,911,912,945,947,948,949
632,901,902,938,940,1054,1245,1625,1663,1700,1701
633,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
634,786,787,823,824,825,862,864,788,789,790
635,635,637,674,675,709,711,747,748,749,901
636,41,78,81,43,53,77,79,80,89,685
637,873,874,906,909,911,912,945,947,948,949
638,212,213,330,331,369,406,407,408,409,442
639,1019,1627,980,1018,1359,873,874,906,909,911
640,377,413,414,415,416,417,418,448,449,450
641,758,830,1026,1177,1216,1406,1442,1444,1481,1520
642,873,874,906,909,911,912,945,947,948,949
643,901,902,938,940,1054,1245,1625,1663,1700,1701
645,980,1018,1359,1893,873,874,906,909,911,912
646,1775,1010,1033,1035,1037,1071,1072,1073,1074,1075
647,831,869,871,872,907,908,910,946,983,985
648,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
650,865,903,979,1016,1017,1093,1739,1776,1814,1815
651,831,869,871,872,907,908,910,946,983,985
652,423,425,462,463,464,465,500,761,763,764
655,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
656,559,561,595,596,288,328,364,365,366,404
658,2601,2639,2640,2643,2644,2645,2682,2685,2722,788
659,46,49,60,86,55,61,90,91,138,2928
660,2383,2193,2343,2345,2384,673,712,713,865,903
661,901,902,938,940,1054,1245,1625,1663,1700,1701
662,939,976,977,978,1013,1015,1052,1053,1055,1091
663,759,796,797,832,834,835,836,1097,1099,1135
664,191,229,267,268,269,270,305,306,307,309
666,873,874,906,909,911,912,945,947,948,949
667,786,787,823,824,825,862,864,788,789,790
668,295,341,379,1019,1627,447,486,340,342,378
669,759,796,797,832,834,835,836,1097,1099,1135
670,901,902,938,940,1054,1245,1625,1663,1700,1701
671,873,874,906,909,911,912,945,947,948,949
673,993,1296,1448,1523,1562,1600,989,991,992,1027
674,133,183,215,367,403,405,478,265,179,295
675,720,756,757,794,798,377,413,414,415,416
676,1019,1627,873,874,906,909,911,912,945,947
677,1587,1928,2496,2532,2534,788,826,827,863,900
678,873,874,906,909,911,912,945,947,948,949
679,717,754,755,760,792,753,1100,1210,1439,1476
680,873,874,906,909,911,912,945,947,948,949
681,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
682,788,826,827,863,3029,750,751,1587,1928,2496
683,865,903,979,1016,1017,1093,1739,1776,1814,1815
684,3004,1129,1167,1168,1205,1206,1207,1243,1244,1435
685,2601,2640,2643,2644,2645,2682,2685,2722,2599,2641
686,635,637,674,675,709,711,747,748,749,2941
687,939,976,977,978,1013,1015,1052,1053,1055,1091
688,717,754,755,760,792,1513,789,790,1100,1210
689,263,341,379,529,566,570,2938,265,377,413
690,263,525,341,379,529,566,570,2938,265,524
691,341,379,795,870,1063,1064,1096,1098,1101,1102
692,795,870,1063,1064,1096,1098,1101,1102,1134,1139
693,251,92,136,290,291,292,2973,3009,212,213
694,523,251,445,481,482,484,520,521,522,556
695,931,932,933,962,963,964,1000,1125,1161,1162
696,32,34,35,37,38,68,74,114,2937,11
697,865,903,979,1016,1017,1093,1739,1776,1814,1815
698,523,3004,445,481,482,484,520,521,522,556
699,121,123,162,163,164,169,170,171,209,211
700,249,327,559,561,595,596,635,637,674,675
701,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
702,527,564,567,603,604,607,608,640,641,642
703,873,874,906,909,911,912,945,947,948,949
704,901,902,938,940,1054,1245,1625,1663,1700,1701
705,994,995,997,998,999,1034,1036,1038,1149,1186
706,635,637,674,675,709,711,747,748,749,901
707,2483,2487,2523,2524,2525,2527,2562,2564,2565,2566
708,92,136,292,126,288,328,364,365,366,404
709,900,1130,901,902,938,940,1054,1245,1587,1625
710,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
711,2124,2163,2950,3001,1019,1627,2049,2084,2087,2088
712,341,379,795,870,1063,1064,1096,1098,1101,1102
713,295,341,379,332,340,342,378,380,377,413
715,31,71,72,73,75,106,107,108,109,110
717,2107,2152,2184,2220,2221,2222,2298,761,763,764
718,541,191,229,267,268,269,270,305,306,307
719,133,367,403,405,478,786,787,823,824,825
720,290,343,344,345,347,381,382,383,384,385
721,11,32,34,35,37,38,68,74,114,2937
722,635,637,674,675,709,711,747,748,749,901
723,158,159,196,197,198,578,615,616,3031,120
724,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
725,1475,759,796,797,832,834,835,836,981,1097
726,927,929,930,965,966,967,970,1163,1195,1547
727,989,991,992,1027,1028,1029,1030,1031,1066,1067
728,873,874,906,909,911,912,945,947,948,949
729,423,425,462,463,464,465,500,120,122,129
730,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
731,793,341,379,795,870,1063,1064,1096,1098,1101
732,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
733,3004,1129,1167,1168,1205,1206,1207,1243,1244,1435
734,873,874,906,909,911,912,945,947,948,949
735,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
736,1741,1779,1855,942,1056,1777,2005,2421,2460,2461
737,2107,2152,2184,2220,2221,2222,2298,761,763,764
738,786,787,823,824,825,862,864,523,788,789
740,1775,1504,1813,1852,1887,1889,1962,1966,2002,2374
741,46,57,59,99,47,126,2674,2675,2676,2710
742,994,995,997,998,999,1034,1036,1038,1149,1186
743,295,341,379,340,342,378,380,447,486,377
744,935,936,937,969,971,972,973,974,975,1001
747,941,1014,1070,1107,1108,1145,1146,1147,1183,1373
748,900,1130,1209,1247,1551,901,902,938,940,1054
751,968,1083,1086,1122,1124,1156,1737,901,902,938
753,635,637,674,675,709,711,747,748,749,901
754,761,763,764,799,800,801,838,839,1980,685
755,900,1130,901,902,938,940,1054,1245,1587,1625
756,2601,2640,2643,2644,2645,2682,2685,2722,2556,2559
758,831,869,871,872,907,908,910,946,983,985
759,795,870,1063,1064,1096,1098,1101,1102,1134,1139
760,377,413,414,415,416,417,418,448,449,450
762,160,161,199,200,201,202,203,204,206,208
763,1775,1160,1657,1695,1696,1697,1698,1730,1735,1736
764,981,831,869,871,872,907,908,910,946,983
765,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
766,788,826,827,863,3029,750,751,1587,1928,2496
767,1587,1928,2496,2532,2534,828,865,866,903,904
769,957,958,959,960,1755,1757,1758,1759,1760,1761
770,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
771,981,831,869,871,872,907,908,910,946,983
772,901,902,938,940,1054,1245,1625,1663,1700,1701
774,153,155,192,193,194,195,230,231,232,233
775,2124,2163,2950,3001,873,874,906,909,911,912
776,120,122,157,119,154,156,121,123,158,159
777,1019,1627,981,1133,2963,873,874,906,909,911
778,761,763,764,799,800,801,838,839,1980,685
779,993,1070,1107,1108,1145,1146,1147,1183,1296,1373
780,1133,2963,795,870,1019,1063,1064,1096,1098,1101
781,941,1014,1397,865,903,979,980,1016,1017,1018
782,3004,2383,597,598,599,633,634,636,670,671
783,2674,2675,2676,2710,2713,2716,2721,2982,2631,2632
784,939,976,977,978,1013,1015,1052,1053,1055,1091
785,377,413,414,415,416,417,418,448,449,450
786,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
787,935,936,937,969,971,972,973,974,975,1001
788,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
789,32,34,35,37,38,68,74,114,2937,21
791,1019,1627,981,1133,2963,873,874,906,909,911
792,793,2804,2691,2730,2734,720,756,757,794,798
793,1179,989,991,992,1027,1028,1029,1030,1031,1066
794,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
795,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
796,761,763,764,799,800,801,838,839,1980,685
797,1475,1171,1550,759,796,797,832,834,835,836
798,831,869,871,872,907,908,910,946,983,985
799,685,687,723,724,725,762,837,875,876,878
800,523,1890,445,481,482,484,520,521,522,556
802,295,341,379,1019,1627,447,486,340,342,378
803,786,787,823,824,825,862,864,788,789,790
804,831,869,871,872,907,908,910,946,983,985
805,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
806,788,826,827,863,3029,750,751,1587,1928,2496
807,635,637,674,675,709,711,747,748,749,901
808,793,1133,2804,2963,295,341,379,795,870,1019
810,1775,993,1070,1107,1108,1145,1146,1147,1160,1183
811,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
812,251,212,213,288,328,330,331,364,365,366
814,1957,1992,1993,2031,2032,2108,2383,673,712,713
815,931,932,933,962,963,964,1000,1125,1161,1162
816,2919,2881,2809,2847,2885,2914,2917,2968,2673,2677
817,1587,1928,2496,2532,2534,828,865,866,903,904
818,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
819,935,936,937,969,971,972,973,974,975,1001
820,786,787,823,824,825,862,864,172,788,789
821,745,746,778,779,781,815,816,850,968,1083
822,873,874,906,909,911,912,945,947,948,949
823,831,869,871,872,907,908,910,946,983,985
824,423,425,462,463,464,465,500,343,344,345
825,831,869,871,872,907,908,910,946,983,985
826,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
827,865,903,979,1016,1017,1093,1739,1776,1814,1815
828,873,874,906,909,911,912,945,947,948,949
829,786,787,823,824,825,862,864,788,789,790
830,1179,989,991,992,1027,1028,1029,1030,1031,1066
831,2383,2193,2343,2345,2384,2385,2423,673,712,713
832,1641,1679,1680,1681,1717,1718,1719,1720,1721,1723
833,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
834,2938,2313,526,569,606,645,681,683,718,719
835,1179,989,991,992,1027,1028,1029,1030,1031,1066
836,989,991,992,1027,1028,1029,1030,1031,1066,1067
837,2559,2560,2563,2598,2600,2603,2604,2642,2647,2684
838,1994,2482,2486,2528,788,818,826,827,863,883
839,251,370,255,445,481,482,484,520,521,522
840,829,1513,1626,867,1100,1210,1323,1361,1399,1438
841,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
842,786,787,823,824,825,862,864,753,788,789
843,873,874,906,909,911,912,945,947,948,949
844,133,367,403,405,478,635,637,674,675,709
846,745,746,778,779,781,815,816,850,968,1083
847,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
848,673,712,713,765,803,840,841,635,637,674
849,3004,935,936,937,969,971,972,973,974,975
850,900,1130,901,902,938,940,1054,1245,1587,1625
851,901,902,938,940,1054,1245,1625,1663,1700,1701
852,635,637,674,675,709,711,747,748,749,901
853,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
854,635,637,674,675,709,711,747,748,749,2941
855,685,687,723,724,725,762,837,875,876,878
856,981,1626,1246,1284,1322,1360,831,867,869,871
858,873,874,906,909,911,912,945,947,948,949
859,3004,939,976,977,978,1013,1015,1052,1053,1055
860,831,869,871,872,907,908,910,946,983,985
861,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
863,501,191,229,267,268,269,270,305,306,307
864,981,831,869,871,872,907,908,910,946,983
866,873,874,906,909,911,912,945,947,948,949
867,873,874,906,909,911,912,945,947,948,949
868,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
869,133,367,403,405,478,786,787,823,824,825
870,2938,2313,526,569,606,645,681,683,718,719
871,831,869,871,872,907,908,910,946,983,985
872,527,564,567,603,604,607,608,640,641,642
873,935,936,937,969,971,972,973,974,975,1001
874,1475,759,796,797,832,834,835,836,981,1097
875,1513,1100,1210,1323,1361,1399,1438,1439,1476,1477
876,793,1133,2804,2963,295,341,379,795,870,1019
879,523,251,445,481,482,484,520,521,522,556
880,9,10,42,50,56,58,2974,2976,1,5
882,873,874,906,909,911,912,945,947,948,949
883,441,477,479,480,512,513,515,516,547,549
884,524,485,523,562,296,529,566,570,148,184
885,759,796,797,832,834,835,836,1097,1099,1135
887,931,932,933,962,963,964,1000,1125,1161,1162
888,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
889,251,445,481,482,484,520,521,522,556,558
890,793,1893,341,379,795,870,1063,1064,1096,1098
892,793,341,379,795,870,1063,1064,1096,1098,1101
893,993,1296,1448,1523,1562,1600,989,991,992,1027
894,32,34,35,37,38,68,74,114,2937,31
895,524,296,529,566,570,525,148,184,220,221
896,2124,2163,2950,3001,527,564,567,603,604,607
897,148,184,220,221,259,2957,113,146,149,151
898,788,826,827,863,3029,750,751,1587,1928,2496
899,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
900,829,1513,1626,828,866,904,1853,1929,1967,2459
901,120,122,157,288,328,364,365,366,404,423
902,927,929,930,965,966,967,970,1163,1195,1547
903,1182,1220,1371,1486,994,995,997,998,999,1034
904,120,122,157,119,154,156,121,123,158,159
905,717,754,755,760,792,1100,1210,1439,1476,1477
906,831,869,871,872,907,908,910,946,983,985
907,602,525,678,716,527,529,564,566,567,570
908,1587,1928,2496,2532,2534,828,865,866,903,904
910,1019,1627,873,874,906,909,911,912,945,947
911,3004,1129,1167,1168,1205,1206,1207,1243,1244,1435
912,1775,1160,1657,1695,1696,1697,1698,1730,1735,1736
913,133,158,159,196,197,198,367,403,405,478
914,251,445,481,482,484,520,521,522,556,558
915,865,903,979,1016,1017,1093,1739,1776,1814,1815
916,828,866,904,1853,1929,1967,2459,2497,2498,2535
917,527,564,567,603,604,607,608,640,641,642
918,717,754,755,760,792,829,1513,1626,677,753
919,501,191,229,267,268,269,270,305,306,307
920,341,379,377,413,414,415,416,417,418,448
921,1995,1996,1999,2033,2034,2035,2037,2040,2070,2071
922,158,159,196,197,198,578,615,616,3031,120
923,2383,1775,1995,1996,1999,2033,2034,2035,2037,2040
924,2919,2881,2673,2677,2709,2711,2712,2714,2715,2717
925,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
926,720,756,757,794,798,377,413,414,415,416
928,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
929,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
931,968,1083,1086,1122,1124,1156,1737,901,902,938
932,968,1083,1086,1122,1124,1156,1737,901,902,938
933,175,173,174,212,213,330,331,369,406,407
934,931,932,933,962,963,964,1000,1125,1161,1162
935,795,870,1063,1064,1096,1098,1101,1102,1134,1139
936,32,34,35,37,38,68,74,114,2937,447
937,939,976,977,978,1013,1015,1052,1053,1055,1091
938,968,1083,1086,1122,1124,1156,1737,901,902,938
939,831,869,871,872,907,908,910,946,983,985
940,939,976,977,978,1013,1015,1052,1053,1055,1091
941,191,229,267,268,269,270,305,306,307,309
942,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
943,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
944,865,903,979,1016,1017,1093,1739,1776,1814,1815
945,994,995,997,998,999,1034,1036,1038,1149,1186
947,795,870,1063,1064,1096,1098,1101,1102,1134,1139
948,981,1057,1285,1475,831,869,871,872,907,908
949,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
950,941,1014,1397,939,976,977,978,1010,1013,1015
951,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
952,900,1130,1209,1247,1551,901,902,938,940,1054
953,873,874,906,909,911,912,945,947,948,949
954,968,1083,1086,1122,1124,1156,1737,901,902,938
955,750,788,818,826,827,863,880,883,918,1944
956,1070,1107,1108,1145,1146,1147,1183,1373,1410,1411
957,941,1014,1397,865,903,979,980,1016,1017,1018
959,647,951,952,953,990,1597,1635,1749,1750,1787
960,761,763,764,799,800,801,838,839,1065,1069
961,831,869,871,872,907,908,910,946,983,985
962,559,561,595,596,525,288,328,364,365,366
963,1890,941,1014,1397,1587,1891,1928,2496,2532,2534
964,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
966,290,332,445,481,482,484,520,521,522,556
967,2637,2678,2723,2759,2599,2641,2680,2681,2683,2939
968,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
969,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
971,1019,1627,1665,3008,1057,1095,1285,3025,873,874
972,873,874,906,909,911,912,945,947,948,949
973,2124,2163,2950,3001,873,874,906,909,911,912
974,635,637,674,675,709,711,747,748,749,901
975,873,874,906,909,911,912,945,947,948,949
976,873,874,906,909,911,912,945,947,948,949
978,873,874,906,909,911,912,945,947,948,949
980,900,1130,901,902,938,940,1054,1245,1587,1625
982,529,566,570,301,303,377,413,414,415,416
983,935,936,937,969,971,972,973,974,975,1001
984,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
985,3004,939,976,977,978,1013,1015,1052,1053,1055
986,2124,2163,2950,3001,873,874,906,909,911,912
988,288,328,364,365,366,404,249,250,251,327
989,635,637,674,675,709,711,747,748,749,2941
990,212,213,330,331,369,406,407,408,409,442
991,873,874,906,909,911,912,945,947,948,949
992,901,902,938,940,1054,1245,1625,1663,1700,1701
993,46,19,49,60,86,15,17,52,55,61
994,873,874,906,909,911,912,945,947,948,949
996,989,991,992,1027,1028,1029,1030,1031,1066,1067
997,989,991,992,1027,1028,1029,1030,1031,1066,1067
998,1599,1675,1676,1677,1715,1752,2169,2208,2247,1636
999,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1000,793,341,379,795,870,1063,1064,1096,1098,1101
1001,343,344,345,347,381,382,383,384,385,386
1002,295,341,379,340,342,378,380,447,486,377
1003,685,687,723,724,725,762,837,875,876,878
1004,761,763,764,799,800,801,838,839,1065,1069
1005,447,486,377,413,414,415,416,417,418,448
1006,133,367,403,405,478,172,212,213,288,328
1007,720,756,757,794,798,1475,377,413,414,415
1008,368,788,826,827,863,1713,1751,1753,1789,1790
1009,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1011,32,34,35,37,38,68,74,114,2937,11
1012,901,902,938,940,1054,1245,1625,1663,1700,1701
1014,2601,2639,2640,2643,2644,2645,2682,2685,2722,2480
1015,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
1016,423,425,462,463,464,465,500,343,344,345
1017,1890,941,1014,1397,1587,1891,1928,2496,2532,2534
1019,685,687,723,724,725,762,837,875,876,878
1020,981,831,869,871,872,907,908,910,946,983
1021,250,281,282,283,284,313,315,316,317,318
1022,2124,2163,2950,3001,527,564,567,603,604,607
1023,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
1024,2107,2152,2184,2220,2221,2222,2298,129,130,131
1025,935,936,937,969,971,972,973,974,975,1001
1026,341,379,377,413,414,415,416,417,418,448
1027,831,869,871,872,907,908,910,946,983,985
1028,3004,939,976,977,978,1013,1015,1052,1053,1055
1029,941,1014,1397,3004,2383,523,939,976,977,978
1030,151,185,187,189,222,223,224,225,226,227
1031,423,425,462,463,464,465,500,343,344,345
1032,340,342,378,380,332,295,335,336,337,338
1033,263,341,379,529,566,570,2938,265,377,413
1034,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1036,341,379,377,413,414,415,416,417,418,448
1037,2601,2637,2640,2643,2644,2645,2678,2682,2685,2722
1038,3004,981,939,976,977,978,1013,1015,1052,1053
1039,527,564,567,603,604,607,608,640,641,642
1040,786,787,823,824,825,862,864,523,788,789
1041,828,866,904,1853,1929,1967,2459,2497,2498,2535
1042,341,379,795,870,1063,1064,1096,1098,1101,1102
1043,941,1014,1397,865,903,979,980,1016,1017,1018
1044,873,874,906,909,911,912,945,947,948,949
1045,635,637,674,675,709,711,747,748,749,901
1046,635,637,674,675,709,711,747,748,749,901
1047,2731,2472,2551,505,542,1599,1675,1676,1677,1715
1048,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1049,3004,935,936,937,969,971,972,973,974,975
1050,597,598,599,633,634,636,670,671,672,707
1051,389,391,426,427,428,429,430,431,433,466
1052,523,1890,989,991,992,1027,1028,1029,1030,1031
1053,1133,2963,1095,1475,795,870,1019,1063,1064,1096
1055,901,902,938,940,1054,1245,1625,1663,1700,1701
1056,296,529,566,570,148,184,220,221,259,301
1057,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1058,593,594,629,631,632,663,665,667,668,669
1059,295,341,379,1019,1627,447,486,377,413,414
1060,1436,3004,981,1626,980,1018,1246,1284,1322,1359
1061,752,485,523,562,789,790,524,676,677,714
1062,32,34,35,37,38,68,74,114,2937,9
1063,559,561,595,596,288,328,364,365,366,404
1065,635,637,674,675,709,711,747,748,749,901
1066,873,874,906,909,911,912,945,947,948,949
1067,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
1068,745,746,778,779,781,815,816,850,968,1083
1069,900,1130,2232,2269,2307,2308,86,2193,2195,2233
1070,1133,2963,1095,1475,295,341,379,795,870,1019
1071,593,594,629,631,632,663,665,667,668,669
1072,1504,1813,1852,1887,1889,1962,1966,2002,2374,2375
1073,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1074,2601,2640,2643,2644,2645,2682,2685,2722,2599,2641
1076,9,10,11,2974,2976,2,3,4,7,32
1078,113,146,149,181,186,31,71,72,73,75
1079,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1080,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1081,720,756,757,794,798,377,413,414,415,416
1082,900,1130,786,787,823,824,825,862,864,901
1083,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1085,343,344,345,347,381,382,383,384,385,386
1086,981,831,869,871,872,907,908,910,946,983
1087,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1088,673,712,713,865,903,979,1016,1017,1093,1739
1089,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1090,32,34,35,37,38,68,74,114,2937,11
1091,865,903,979,1016,1017,1093,1739,1775,1776,1814
1092,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1093,343,344,345,347,381,382,383,384,385,386
1094,565,526,569,606,645,681,683,717,718,719
1095,873,874,906,909,911,912,945,947,948,949
1096,873,874,906,909,911,912,945,947,948,949
1097,865,903,979,1016,1017,1093,1739,1776,1814,1815
1099,32,34,35,37,38,68,74,114,2937,14
1100,900,1130,901,902,938,940,1054,1245,1587,1625
1101,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
1102,865,903,979,1016,1017,1093,1739,1776,1814,1815
1103,831,869,871,872,907,908,910,946,983,985
1104,939,976,977,978,1013,1015,1052,1053,1055,1091
1105,3004,523,939,976,977,978,1013,1015,1052,1053
1107,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
1108,1323,1361,1399,1438,981,1437,1513,1626,1703,565
1109,865,903,979,1016,1017,1093,1739,1776,1814,1815
1110,873,874,906,909,911,912,945,947,948,949
1111,900,1130,901,902,938,940,1054,1245,1587,1625
1112,968,1083,1086,1122,1124,1156,1737,901,902,938
1113,647,951,952,953,990,1597,1635,1749,1750,1787
1114,647,951,952,953,990,1597,1635,1749,1750,1787
1115,994,995,997,998,999,1034,1036,1038,1149,1186
1116,1775,968,1083,1086,1122,1124,1156,1737,901,902
1118,831,869,871,872,907,908,910,946,983,985
1119,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1120,2691,2730,2734,2725,2693,2695,2733,2770,793,873
1121,901,902,938,940,1054,1245,1625,1663,1700,1701
1122,989,991,992,1027,1028,1029,1030,1031,1066,1067
1123,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1124,1057,1285,447,486,1171,1246,1284,1322,1360,1550
1125,265,341,379,529,566,570,2938,151,183,185
1126,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
1127,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1128,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1129,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1131,57,59,53,89,93,94,95,97,117,91
1132,865,903,979,1016,1017,1093,1739,1776,1814,1815
1133,941,1014,1397,865,903,979,980,1016,1017,1018
1134,1979,1599,1675,1676,1677,1715,1752,1905,1942,1943
1135,597,598,599,633,634,636,670,671,672,707
1136,160,161,199,200,201,202,203,204,206,208
1137,341,379,377,413,414,415,416,417,418,448
1138,523,445,481,482,484,520,521,522,556,558
1139,994,995,997,998,999,1034,1036,1038,1149,1186
1140,2809,2847,2885,2884,2919,2793,2795,2796,2798,2829
1141,2124,2163,2950,3001,527,564,567,603,604,607
1142,251,92,136,290,291,292,2973,3009,212,213
1143,523,900,1130,445,481,482,484,520,521,522
1144,1587,1928,2496,2532,2534,829,2383,828,865,866
1145,865,903,979,1016,1017,1093,1739,1776,1814,1815
1146,831,869,871,872,907,908,910,946,983,985
1147,720,756,757,794,798,377,413,414,415,416
1148,1160,1657,1695,1696,1697,1698,1730,1735,1736,1768
1149,873,874,906,909,911,912,945,947,948,949
1150,931,932,933,962,963,964,1000,1125,1161,1162
1151,873,874,906,909,911,912,945,947,948,949
1152,2124,2163,2950,3001,527,564,567,603,604,607
1153,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1154,759,796,797,832,834,835,836,1097,1099,1135
1155,341,379,377,413,414,415,416,417,418,448
1156,647,951,952,953,990,1597,1635,1749,1750,1787
1157,927,929,930,965,966,967,970,1163,1195,1547
1158,295,341,379,447,486,791,340,342,378,380
1159,873,874,906,909,911,912,945,947,948,949
1160,1775,968,1083,1086,1122,1124,1156,1737,901,902
1161,989,991,992,1027,1028,1029,1030,1031,1066,1067
1163,831,869,871,872,907,908,910,946,983,985
1164,2674,2675,2676,2710,2713,2716,2721,2982,994,995
1165,1475,447,486,1171,1550,377,413,414,415,416
1166,527,564,567,603,604,607,608,640,641,642
1167,968,1083,1086,1122,1124,1156,1737,901,902,938
1168,597,598,599,633,634,636,670,671,672,707
1169,831,869,871,872,907,908,910,946,983,985
1170,133,367,403,405,478,172,212,213,288,328
1171,133,367,403,405,478,172,212,213,288,328
1172,935,936,937,969,971,972,973,974,975,1001
