,croc,CG8147,twi,gt,Doc2,Doc3,aay,Mes2,kni,sna
582,939,976,977,978,1013,1015,1052,1053,1055,1091
583,2636,2679,2720,2556,2557,2593,2594,2595,2597,2637
584,370,371,133,172,364,365,367,403,405,478
585,133,172,364,365,367,403,405,478,160,161
586,92,136,292,215,251,61,63,91,137,138
587,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
588,865,903,979,1016,1017,1093,2382,2420,2458,942
590,759,796,797,832,834,835,836,1097,1099,1135
591,941,1014,1397,3004,873,874,906,909,911,912
592,647,685,687,689,723,724,725,762,837,875
593,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
594,1171,11,371,447,486,720,756,757,794,798
595,1129,1167,1168,1205,1206,1207,1243,1244,2994,900
596,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
597,900,1130,1209,1247,901,902,938,940,1054,1245
598,865,903,979,1016,1017,1093,2382,2420,2458,901
599,786,787,823,824,825,862,864,788,789,790
600,900,1130,901,902,938,940,1054,1245,2496,2532
601,831,869,871,872,907,908,910,946,983,985
602,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
604,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
605,1449,1450,1487,1488,1504,1525,1526,1563,1601,1602
606,340,342,378,380,265,31,71,72,73,75
607,1939,2129,2167,2205,2206,2207,2244,2246,761,763
608,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
609,761,763,764,799,800,801,838,839,1980,685
611,1133,2963,795,870,1019,1063,1064,1096,1098,1101
612,1981,1982,2020,2593,765,803,840,841,1979,2553
613,2767,2768,2731,2772,2730,2734,2599,2601,2640,2641
614,2636,2679,2720,2556,2557,2593,2594,2595,2597,2637
615,341,379,340,342,378,380,377,413,414,415
616,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
617,901,902,938,940,1054,1245,3004,2383,900,939
618,941,1014,1397,1890,2496,2532,2534,994,995,997
619,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
620,2496,2532,2534,828,865,866,903,904,979,1016
621,968,1083,1086,1122,1124,1156,1775,901,902,938
622,873,874,906,909,911,912,945,947,948,949
623,2232,2269,2307,2308,2383,750,2109,2145,2146,2147
624,1741,1779,1855,2049,2084,2087,2088,2089,2090,2123
625,717,754,755,760,792,786,787,823,824,825
627,981,564,603,607,640,641,642,643,646,679
628,1593,1630,1704,1478,1596,1628,1629,1631,1667,1705
630,831,869,871,872,907,908,910,946,983,985
631,1478,1743,1858,2086,341,379,873,874,906,909
632,901,902,938,940,1054,1245,865,903,979,1016
633,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
635,635,637,674,675,709,711,747,748,749,901
636,41,77,78,80,81,43,53,79,88,89
637,1478,1743,1858,2086,1441,1443,1632,1634,1668,1670
638,212,213,330,331,369,406,407,408,409,442
639,1019,980,1018,1359,873,874,906,909,911,912
641,758,830,1026,1177,1216,1406,1442,2539,2543,2544
642,873,874,906,909,911,912,945,947,948,949
643,901,902,938,940,1054,1245,3004,2383,865,903
644,3004,939,976,977,978,1013,1015,1052,1053,1055
645,1893,1478,1743,1858,2007,2086,980,1018,1359,1411
646,1775,1381,1415,1417,1419,1452,1454,1458,1459,1460
648,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
649,565,868,1020,1248,1286,1288,1325,1363,1364,1368
650,865,903,979,1016,1017,1093,2382,2420,2458,942
651,831,869,871,872,907,908,910,946,983,985
652,423,425,462,463,464,465,500,761,763,764
653,1100,1210,1439,758,830,868,1020,1026,1177,1216
654,31,71,72,73,75,106,107,108,109,110
655,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
656,595,364,365,559,561,596,597,598,599,633
657,831,869,871,872,907,908,910,946,983,985
659,46,523,49,60,86,92,136,292,55,61
660,2383,2193,2343,2345,2384,673,712,713,865,903
661,901,902,938,940,1054,1245,865,903,979,1016
662,939,976,977,978,1013,1015,1052,1053,1055,1091
663,759,796,797,832,834,835,836,1097,1099,1135
664,191,229,267,268,269,270,305,306,307,309
665,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
666,873,874,906,909,911,912,945,947,948,949
667,786,787,823,824,825,862,864,788,789,790
669,759,796,797,832,834,835,836,1097,1099,1135
671,873,874,906,909,911,912,945,947,948,949
672,873,874,906,909,911,912,945,947,948,949
673,993,1296,989,991,992,1027,1028,1029,1030,1031
674,183,265,215,31,71,72,73,75,105,106
676,1627,1478,1741,1743,1779,1855,1858,2086,1019,1441
677,1587,1928,1449,1450,1487,1488,1504,1525,1526,1563
680,873,874,906,909,911,912,945,947,948,949
681,1100,1210,1439,758,830,868,1020,1026,1177,1216
683,865,903,979,1016,1017,1093,2382,2420,2458,901
684,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
685,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
686,635,637,674,675,709,711,747,748,749,2941
688,717,754,755,760,792,789,790,1100,1210,1323
689,263,341,379,529,566,570,265,377,413,414
690,2938,263,341,379,529,566,570,2273,2311,2313
691,795,870,1063,1064,1096,1098,1101,1102,1134,1139
692,795,870,1063,1064,1096,1098,1101,1102,1134,1139
693,251,364,365,92,136,290,291,292,2973,3009
694,523,251,445,481,482,484,520,521,522,556
695,931,932,933,962,963,964,1000,1125,1161,1162
696,32,34,35,37,38,68,74,114,2937,523
698,523,3004,445,481,482,484,520,521,522,556
699,121,123,162,163,164,169,171,209,248,286
700,249,595,635,637,674,675,709,711,747,748
701,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
702,564,603,607,640,641,642,643,646,679,680
703,873,874,906,909,911,912,945,947,948,949
704,901,902,938,940,1054,1245,3004,2383,865,903
705,994,995,997,998,999,1034,1036,1038,1149,1186
706,635,637,674,675,709,711,747,748,749,901
707,2483,2487,2523,2524,2525,2527,2562,2564,2565,2566
708,126,364,365,92,136,292,84,85,119,121
709,900,1130,901,902,938,940,1054,1245,2496,2532
710,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
711,3001,1019,2124,2160,2161,2163,2198,2199,2200,2387
712,341,379,1480,1482,1557,1823,1861,1897,1934,3030
713,295,341,379,332,340,342,378,380,32,34
714,523,445,481,482,484,520,521,522,556,558
715,212,213,330,331,369,406,407,408,409,442
716,981,564,603,607,640,641,642,643,646,679
717,2107,2152,2184,2220,2221,2222,2298,761,763,764
718,541,191,229,267,268,269,270,305,306,307
719,786,787,823,824,825,862,864,133,172,364
721,11,32,34,35,37,38,68,74,114,2937
722,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
723,158,159,196,197,198,578,3031,120,122,153
725,759,796,797,832,834,835,836,981,1097,1099
726,927,929,930,965,966,967,970,1163,1195,900
727,989,991,992,1027,1028,1029,1030,1031,1066,1067
728,1478,1743,1858,2086,873,874,906,909,911,912
729,129,130,131,134,423,425,462,463,464,465
730,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
731,793,795,870,1063,1064,1096,1098,1101,1102,1134
732,1100,1210,1439,717,754,755,759,760,792,796
733,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
734,873,874,906,909,911,912,945,947,948,949
736,942,1056,2421,2460,2461,2649,867,1019,1323,1361
737,2107,2152,2184,2220,2221,2222,2298,761,763,764
738,786,787,823,824,825,862,864,788,789,790
739,423,425,462,463,464,465,500,343,344,345
740,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
741,46,57,59,92,93,94,95,97,99,136
742,1451,1453,1455,1456,1457,1489,1490,1491,1492,1493
743,295,341,379,340,342,378,380,447,486,32
744,935,936,937,969,971,972,973,974,975,1001
745,57,59,93,94,95,97,53,88,89,117
746,215,31,71,72,73,75,106,107,108,109
747,941,1014,1070,1107,1108,1145,1146,1147,1183,1373
748,900,1130,1209,1247,901,902,938,940,1054,1245
749,759,796,797,832,834,835,836,1097,1099,1135
750,873,874,906,909,911,912,945,947,948,949
751,968,1083,1086,1122,1124,1156,901,902,938,940
752,941,1014,1397,1890,2496,2532,2534,994,995,997
754,761,763,764,799,800,801,838,839,1980,673
755,900,1130,901,902,938,940,1054,1245,2496,2532
756,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
757,1593,1627,1630,1704,981,1475,1478,1596,1628,1629
758,831,869,871,872,907,908,910,946,983,985
759,795,870,1063,1064,1096,1098,1101,1102,1134,1139
760,602,377,413,414,415,416,417,418,448,449
761,601,639,1246,1284,1322,1360,602,981,600,638
762,160,161,199,200,201,202,203,204,206,208
763,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
765,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
766,788,826,827,863,3029,750,751,2496,2532,2534
767,2496,2532,2534,828,865,866,903,904,979,1016
768,3004,939,976,977,978,1013,1015,1052,1053,1055
769,1755,1757,1758,1759,1760,1761,1792,1793,1794,1795
771,981,831,869,871,872,907,908,910,946,983
772,901,902,938,940,1054,1245,3004,2383,900,939
773,873,874,906,909,911,912,945,947,948,949
774,577,153,155,192,193,194,195,230,231,232
775,2124,2163,2950,1478,1743,1858,2086,3001,2049,2084
776,120,122,157,119,154,156,121,123,158,159
777,1019,981,1133,2963,873,874,906,909,911,912
778,761,763,764,799,800,801,838,839,1980,685
780,1133,2963,795,870,1019,1063,1064,1096,1098,1101
781,941,1014,1397,865,903,979,980,1016,1017,1018
782,3004,2383,597,598,599,633,634,636,670,671
783,2674,2675,2676,2710,2713,2716,2721,2982,2631,2632
784,939,976,977,978,1013,1015,1052,1053,1055,1091
785,32,34,35,37,38,68,74,114,377,413
786,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
787,935,936,937,969,971,972,973,974,975,1001
788,1100,1210,1439,758,830,868,1020,1026,1177,1216
789,32,34,35,37,38,68,74,114,2937,21
790,900,1130,901,902,938,940,1054,1245,2496,2532
791,1019,981,1133,2963,873,874,906,909,911,912
792,2730,2734,793,2691,720,756,757,794,798,2804
793,1179,989,991,992,1027,1028,1029,1030,1031,1066
794,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
795,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
796,761,763,764,799,800,801,838,839,1980,685
797,1475,1550,1479,1513,1515,1516,1518,1556,2944,2970
798,831,869,871,872,907,908,910,946,983,985
799,761,763,764,799,800,801,838,839,1636,1673
800,523,1890,445,481,482,484,520,521,522,556
801,968,1083,1086,1122,1124,1156,901,902,938,940
802,1019,295,341,379,873,874,906,909,911,912
803,786,787,823,824,825,862,864,788,789,790
804,831,869,871,872,907,908,910,946,983,985
805,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
807,635,637,674,675,709,711,747,748,749,901
808,2804,2765,2806,2807,2810,2811,2842,2999,793,1133
809,873,874,906,909,911,912,945,947,948,949
810,1739,1775,1776,1814,1815,2004,2947,2998,175,865
811,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
812,251,212,213,288,328,330,331,366,369,404
813,993,1296,989,991,992,1027,1028,1029,1030,1031
814,1993,2031,2032,2108,2383,673,712,713,1957,1992
815,931,932,933,962,963,964,1000,1125,1161,1162
816,2919,2881,2809,2847,2885,2914,2917,2968,2673,2677
817,2496,2532,2534,828,865,866,903,904,979,1016
818,2232,2269,2307,2308,900,1130,2193,2195,2233,2270
819,935,936,937,969,971,972,973,974,975,1001
820,786,787,823,824,825,862,864,2693,2695,2770
821,1775,745,746,778,779,781,815,816,850,968
822,873,874,906,909,911,912,945,947,948,949
823,831,869,871,872,907,908,910,946,983,985
824,423,425,462,463,464,465,500,343,344,345
825,831,869,871,872,907,908,910,946,983,985
826,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
827,865,903,979,1016,1017,1093,2382,2420,2458,901
829,786,787,823,824,825,862,864,788,789,790
830,1179,989,991,992,1027,1028,1029,1030,1031,1066
831,2383,1739,1775,1776,1814,1815,1996,1999,2004,2193
832,1641,1679,1680,1681,1717,1718,1719,1720,1721,1723
833,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
834,2938,2313,645,681,683,718,719,721,722,793
835,1179,989,991,992,1027,1028,1029,1030,1031,1066
836,989,991,992,1027,1028,1029,1030,1031,1066,1067
837,2559,2560,2563,2598,2600,2603,2604,2642,2647,2684
839,595,255,251,370,219,257,258,296,529,566
841,788,826,827,863,2673,2677,2709,2711,2712,2714
842,786,787,823,824,825,862,864,753,788,789
843,873,874,906,909,911,912,945,947,948,949
844,635,637,674,675,709,711,747,748,749,786
845,2169,2208,2247,2547,1599,1675,1676,1677,1715,1752
846,745,746,778,779,781,815,816,850,968,1083
848,673,712,713,765,803,840,841,635,637,674
849,1426,1427,1467,1469,1699,1775,1381,1396,1415,1417
850,900,1130,901,902,938,940,1054,1245,2496,2532
851,1625,1663,1700,1701,1738,1739,1776,1814,1815,2004
852,635,637,674,675,709,711,747,748,749,901
853,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
854,523,635,637,674,675,709,711,747,748,749
855,685,687,723,724,725,762,837,875,876,878
856,1626,1593,1627,1630,1704,1778,1246,1284,1322,1360
857,795,870,1063,1064,1096,1098,1101,1102,1134,1139
858,873,874,906,909,911,912,945,947,948,949
859,1436,3004,981,980,1018,1246,1284,1322,1359,1360
860,831,869,871,872,907,908,910,946,983,985
861,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
862,1179,989,991,992,1027,1028,1029,1030,1031,1066
863,501,191,229,267,268,269,270,305,306,307
864,981,831,869,871,872,907,908,910,946,983
865,423,425,462,463,464,465,500,343,344,345
867,1478,1743,1858,2086,341,379,873,874,906,909
868,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
869,786,787,823,824,825,862,864,133,172,364
871,831,869,871,872,907,908,910,946,983,985
872,564,603,607,640,641,642,643,646,679,680
873,935,936,937,969,971,972,973,974,975,1001
874,759,796,797,832,834,835,836,981,1097,1099
875,1100,1210,1323,1361,1399,1438,1439,1513,1209,1247
876,2804,2765,2806,2807,2810,2811,2842,2999,793,1133
877,183,263,295,296,341,379,529,566,570,265
878,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
879,523,251,445,481,482,484,520,521,522,556
880,9,10,42,50,56,58,2974,2976,173,174
881,786,787,823,824,825,862,864,788,789,790
882,1478,1743,1858,2086,341,379,873,874,906,909
884,485,523,562,60,524,296,529,566,570,55
885,759,796,797,832,834,835,836,1097,1099,1135
886,793,795,870,1063,1064,1096,1098,1101,1102,1134
887,931,932,933,962,963,964,1000,1125,1161,1162
888,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
889,251,445,481,482,484,520,521,522,556,558
891,786,787,823,824,825,862,864,788,789,790
892,793,795,870,1063,1064,1096,1098,1101,1102,1134
893,1448,1523,1562,1600,993,1296,1449,1450,1487,1488
894,32,34,35,37,38,68,74,114,2937,31
895,524,296,529,566,570,525,113,146,148,149
897,113,146,148,149,181,184,186,220,221,259
898,788,826,827,863,2673,2677,2709,2711,2712,2714
899,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
900,829,828,866,904,2459,2497,2498,2535,2536,2573
901,120,122,157,364,365,423,425,462,463,464
903,1486,1451,1453,1455,1456,1457,1489,1490,1491,1492
904,120,122,157,119,154,156,121,123,158,159
905,717,754,755,760,792,1100,1210,1439,720,756
906,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
908,1587,1928,1739,1776,1814,1815,1853,1929,1967,2004
909,788,826,827,863,3029,758,830,1026,1177,1216
910,1019,981,1133,2963,873,874,906,909,911,912
911,3004,1129,1167,1168,1205,1206,1207,1243,1244,2994
912,1775,1160,2003,2036,2038,2039,2041,2219,2257,2258
913,158,159,196,197,198,578,3031,120,122,133
914,251,445,481,482,484,520,521,522,556,558
915,865,903,979,1016,1017,1093,2382,2420,2458,901
916,1853,1929,1967,828,866,904,1587,1891,1928,2459
917,564,603,607,640,641,642,643,646,679,680
919,501,191,229,267,268,269,270,305,306,307
920,341,379,377,413,414,415,416,417,418,448
921,1737,1996,1999,593,594,629,632,663,665,745
922,158,159,196,197,198,578,3031,120,122,153
923,2383,1995,2033,2034,2035,2037,2040,2070,2071,2072
924,2919,2881,788,826,827,863,2673,2677,2709,2711
925,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
926,720,756,757,794,798,645,681,683,717,718
927,931,932,933,962,963,964,1000,1125,1161,1162
928,2374,2375,2412,2413,2416,2450,2451,2452,2453,2455
929,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
930,447,486,32,34,35,37,38,68,74,114
931,901,902,938,940,1054,1245,865,903,979,1016
932,968,1083,1086,1122,1124,1156,901,902,938,940
933,175,214,252,290,368,2973,205,207,240,241
934,931,932,933,962,963,964,1000,1125,1161,1162
935,758,830,1026,1177,1216,1406,1442,2539,2543,2544
936,447,486,32,34,35,37,38,68,74,114
937,939,976,977,978,1013,1015,1052,1053,1055,1091
938,1737,1625,1657,1663,1695,1696,1697,1698,1700,1701
939,831,869,871,872,907,908,910,946,983,985
940,1396,1433,1434,1624,1661,1662,1625,1663,1700,1701
941,191,229,267,268,269,270,305,306,307,309
942,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
943,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
944,865,903,979,1016,1017,1093,2382,2420,2458,942
945,994,995,997,998,999,1034,1036,1038,1149,1186
946,873,874,906,909,911,912,945,947,948,949
948,981,1057,1285,831,869,871,872,907,908,910
949,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
950,941,1014,1397,865,903,979,980,1016,1017,1018
951,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
952,900,1130,1209,1247,901,902,938,940,1054,1245
953,1478,1743,1858,2086,873,874,906,909,911,912
954,968,1083,1086,1122,1124,1156,901,902,938,940
955,750,2383,788,818,826,827,863,880,883,918
956,1070,1107,1108,1145,1146,1147,1183,1373,1410,1412
957,941,1014,1397,865,903,979,980,1016,1017,1018
958,795,870,1063,1064,1096,1098,1101,1102,1134,1139
959,951,952,953,990,1977,1978,2015,2053,2055,2091
960,761,763,764,799,800,801,838,839,1065,1069
962,595,364,365,559,561,596,597,598,599,633
963,1890,1587,1891,1928,1435,1451,1453,1455,1456,1457
965,1019,873,874,906,909,911,912,945,947,948
967,2637,2678,2723,2759,2599,2601,2640,2641,2643,2644
968,2852,2921,2924,2374,2375,2412,2413,2416,2450,2451
969,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
970,765,803,840,841,802,877,879,914,915,916
971,1019,3008,1057,1095,1285,3025,873,874,906,909
972,873,874,906,909,911,912,945,947,948,949
973,3001,873,874,906,909,911,912,945,947,948
974,635,637,674,675,709,711,747,748,749,901
975,1478,1743,1858,2086,341,379,873,874,906,909
976,1478,1743,1858,2086,341,379,873,874,906,909
977,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
978,873,874,906,909,911,912,945,947,948,949
979,341,379,1480,1482,1557,1823,1861,1897,1934,3030
980,900,1130,901,902,938,940,1054,1245,2496,2532
981,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
983,935,936,937,969,971,972,973,974,975,1001
984,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
985,3004,939,976,977,978,1013,1015,1052,1053,1055
987,343,344,345,347,381,382,383,384,385,386
988,364,365,249,288,328,366,404,474,635,637
989,635,637,674,675,709,711,747,748,749,2941
990,212,213,330,331,369,406,407,408,409,442
991,873,874,906,909,911,912,945,947,948,949
993,46,19,49,60,86,92,136,292,15,17
994,873,874,906,909,911,912,945,947,948,949
995,3004,939,976,977,978,1013,1015,1052,1053,1055
996,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
997,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
998,2169,2208,2247,2547,1599,1675,1676,1677,1715,1752
999,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1000,793,795,870,1063,1064,1096,1098,1101,1102,1134
1001,343,344,345,347,381,382,383,384,385,386
1002,295,341,379,340,342,378,380,447,486,32
1003,685,687,723,724,725,762,837,875,876,878
1004,761,763,764,799,800,801,838,839,1065,1069
1005,981,1057,1285,831,869,871,872,907,908,910
1006,133,172,364,365,367,403,405,478,597,598
1007,720,756,757,794,798,645,681,683,717,718
1008,368,788,826,827,863,2245,2284,2285,2322,2360
1009,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
1010,726,802,2987,761,763,764,799,800,801,838
1011,32,34,35,37,38,68,74,114,377,413
1012,901,902,938,940,1054,1245,865,903,979,1016
1013,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1014,2639,2599,2601,2640,2641,2643,2644,2645,2680,2681
1015,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
1016,423,425,462,463,464,465,500,343,344,345
1017,941,1014,1397,1890,2496,2532,2534,994,995,997
1018,941,993,1014,1296,1397,1890,2496,2532,2534,994
1019,685,687,723,724,725,762,837,875,876,878
1020,981,831,869,871,872,907,908,910,946,983
1021,281,282,283,284,313,315,316,317,318,319
1022,527,567,604,608,644,1593,1630,1704,2124,2163
1024,2107,2152,2184,2220,2221,2222,2298,165,166,167
1026,793,341,379,873,874,906,909,911,912,945
1027,831,869,871,872,907,908,910,946,983,985
1028,3004,939,976,977,978,1013,1015,1052,1053,1055
1030,151,185,187,188,189,190,222,223,224,225
1031,423,425,462,463,464,465,500,343,344,345
1032,340,342,378,380,332,263,295,335,336,337
1033,263,341,379,529,566,570,265,377,413,414
1034,788,826,827,863,2673,2677,2709,2711,2712,2714
1035,873,874,906,909,911,912,945,947,948,949
1036,341,379,377,413,414,415,416,417,418,448
1037,2637,2678,2723,2759,2587,2588,2589,2599,2601,2623
1038,3004,981,939,976,977,978,1013,1015,1052,1053
1039,564,603,607,640,641,642,643,646,679,680
1040,786,787,823,824,825,862,864,788,789,790
1041,828,866,904,2459,2497,2498,2535,2536,2573,2611
1042,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1043,1739,1776,1814,1815,2004,2947,2998,941,1014,1381
1044,1478,1743,1858,2086,341,379,873,874,906,909
1045,635,637,674,675,709,711,747,748,749,901
1046,635,637,674,675,709,711,747,748,749,901
1047,2731,2763,2551,2724,2745,2766,2769,2771,2773,2774
1048,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1050,600,638,1436,601,639,676,714,980,1018,1246
1051,121,123,162,163,164,169,171,209,248,286
1052,989,991,992,1027,1028,1029,1030,1031,1066,1067
1053,1133,2963,1095,795,870,1019,1063,1064,1096,1098
1054,1596,1628,1629,1631,1667,1705,1706,1710,1742,2996
1055,901,902,938,940,1054,1245,3004,2383,865,903
1056,296,529,566,570,113,146,148,149,181,184
1057,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1059,295,341,379,1627,447,486,32,34,35,37
1060,981,1246,1284,1322,1360,831,867,869,871,872
1061,752,789,790,676,677,714,60,524,715,2195
1062,32,34,35,37,38,68,74,114,2937,9
1063,595,364,365,559,561,596,597,598,599,633
1064,2637,2678,2723,2759,788,826,827,863,2483,2487
1065,635,637,674,675,709,711,747,748,749,901
1066,873,874,906,909,911,912,945,947,948,949
1067,1939,2129,2167,2205,2206,2207,2244,2246,951,952
1068,745,746,778,779,781,815,816,850,968,1083
1069,86,445,481,482,484,520,521,522,556,558
1072,2496,2532,2534,828,865,866,903,904,979,1016
1073,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1074,2599,2601,2640,2641,2643,2644,2645,2680,2681,2682
1075,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1076,9,10,11,2974,2976,2,3,4,7,32
1077,3001,564,603,607,640,641,642,643,646,679
1078,113,146,148,149,181,184,186,220,221,259
1079,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1080,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1081,720,756,757,794,798,645,681,683,717,718
1082,900,1130,786,787,823,824,825,862,864,901
1083,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
1084,3004,939,976,977,978,1013,1015,1052,1053,1055
1085,343,344,345,347,381,382,383,384,385,386
1086,981,831,869,871,872,907,908,910,946,983
1087,1160,2003,2036,2038,2039,2041,2219,2257,2258,2299
1088,673,712,713,865,903,979,1016,1017,1093,2382
1091,1739,1775,1776,1814,1815,2004,2947,2998,865,903
1092,2673,2677,2709,2711,2712,2714,2715,2717,2718,2719
1093,343,344,345,347,381,382,383,384,385,386
1094,565,645,681,683,717,718,719,721,722,754
1095,873,874,906,909,911,912,945,947,948,949
1096,873,874,906,909,911,912,945,947,948,949
1097,865,903,979,1016,1017,1093,2382,2420,2458,942
1098,873,874,906,909,911,912,945,947,948,949
1099,32,34,35,37,38,68,74,114,2937,14
1100,900,1130,901,902,938,940,1054,1245,2496,2532
1101,2551,1939,2129,2167,2205,2206,2207,2244,2246,2471
1102,865,903,979,1016,1017,1093,2382,2420,2458,901
1103,1593,1630,1704,377,413,414,415,416,417,418
1104,939,976,977,978,1013,1015,1052,1053,1055,1091
1105,3004,939,976,977,978,1013,1015,1052,1053,1055
1106,2496,2532,2534,828,865,866,903,904,979,1016
1108,1323,1361,1399,1438,981,565,868,1020,1248,1286
1109,865,903,979,1016,1017,1093,2382,2420,2458,942
1110,1478,1743,1858,2086,341,379,873,874,906,909
1111,1587,1928,1739,1776,1814,1815,1853,1929,1967,2004
1112,968,1083,1086,1122,1124,1156,901,902,938,940
1113,647,1597,1635,1749,1750,1787,1788,1825,1826,1863
1114,951,952,953,990,1977,1978,2015,2053,2055,2091
1115,994,995,997,998,999,1034,1036,1038,1149,1186
1116,968,1083,1086,1122,1124,1156,1775,901,902,938
1117,133,172,364,365,367,403,405,478,160,161
1118,831,869,871,872,907,908,910,946,983,985
1119,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1120,2691,2730,2734,2725,2693,2695,2733,2770,793,873
1121,901,902,938,940,1054,1245,865,903,979,1016
1122,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
1123,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1124,1057,1285,1171,1246,1284,1322,1360,944,981,831
1125,265,341,379,529,566,570,151,183,185,187
1126,1596,1628,1629,1631,1667,1705,1706,1710,1742,2996
1127,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1128,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1130,786,787,823,824,825,862,864,133,172,364
1132,865,903,979,1016,1017,1093,2382,2420,2458,901
1133,941,1014,1397,865,903,979,980,1016,1017,1018
1134,1979,2588,2589,2630,1981,1982,2018,2020,2094,2169
1135,597,598,599,633,634,636,670,671,672,707
1136,160,161,199,200,201,202,203,204,206,208
1137,341,379,377,413,414,415,416,417,418,448
1138,523,786,787,823,824,825,862,864,445,481
1139,994,995,997,998,999,1034,1036,1038,1149,1186
1140,2772,2767,2768,2884,2809,2847,2885,2731,2919,2639
1141,3001,564,603,607,640,641,642,643,646,679
1142,251,364,365,92,136,290,291,292,2973,3009
1143,900,1130,523,786,787,823,824,825,862,864
1144,2496,2532,2534,829,2383,828,865,866,903,904
1145,865,903,979,1016,1017,1093,2382,2420,2458,942
1146,831,869,871,872,907,908,910,946,983,985
1147,720,756,757,794,798,645,681,683,717,718
1148,1657,1695,1696,1697,1698,1730,1735,1736,1768,1771
1149,873,874,906,909,911,912,945,947,948,949
1150,931,932,933,962,963,964,1000,1125,1161,1162
1151,873,874,906,909,911,912,945,947,948,949
1152,3001,564,603,607,640,641,642,643,646,679
1153,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1154,759,796,797,832,834,835,836,1097,1099,1135
1155,793,341,379,873,874,906,909,911,912,945
1156,951,952,953,990,1977,1978,2015,2053,2055,2091
1157,927,929,930,965,966,967,970,1163,1195,900
1158,295,341,379,447,486,340,342,378,380,1444
1159,873,874,906,909,911,912,945,947,948,949
1160,1737,1775,968,1083,1086,1122,1124,1156,1426,1427
1161,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
