,oc,CG8147,twi,Cyp310a1,Ance,disco,Doc3,Mes2,knrl,tsh
577,850,968,1083,1086,1122,1124,1156,2483,2487,2523
578,759,796,797,832,834,835,836,1097,1099,1135
579,763,839,761,764,765,799,800,801,803,840
580,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
581,936,937,975,1050,1051,1088,1089,1090,1126,939
582,939,976,977,978,1015,1052,1053,1091,1128,901
583,2636,2556,2557,2593,2594,2595,2597,2637,2638,2678
584,133,172,212,213,288,364,370,160,161,199
585,133,172,212,213,288,364,160,161,199,200
586,92,136,215,251,292,61,63,65,91,102
587,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
588,865,903,1017,942,901,902,979,1016,1093,1739
589,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
590,377,413,414,417,418,448,450,451,452,453
591,873,874,906,909,911,912,945,947,948,949
593,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
594,447,1171,1550,486,720,756,757,794,798,833
595,1167,1168,1205,1206,1207,1243,1244,1435,1472,1510
596,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
597,1247,1551,900,1130,1209,1437,1513,1589,1703,938
598,865,903,1017,1147,2004,2947,901,902,979,1016
600,901,902,786,823,824,862,900,1129,1130,1623
601,831,869,871,872,907,908,910,946,983,985
602,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
603,1775,1737,1626,938,940,968,1054,1083,1086,1122
604,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
605,996,1184,1221,1222,1258,1259,1297,1334,1335,1372
606,71,72,73,105,109,110,112,147,152,2933
607,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
608,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
609,763,839,761,764,765,799,800,801,803,840
610,251,49,60,92,136,290,2973,445,481,482
611,1133,2963,1095,1475,795,870,1019,1063,1064,1096
612,764,765,800,803,840,593,594,629,631,632
613,2599,2601,2640,2641,2939,2767,2768,2556,2557,2559
614,2636,2556,2557,2593,2594,2595,2597,2637,2638,2678
615,341,340,342,378,380,379,415,416,449,487
616,786,823,824,862,925,709,711,747,748,749
617,901,902,523,938,939,940,968,976,977,978
618,1890,995,997,998,1034,1036,1038,1149,1186,1187
620,827,863,1587,1928,2496,2532,2534,865,903,1017
621,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
622,873,874,906,909,911,912,945,947,948,949
623,750,2232,2269,2307,2308,2383,827,863,1587,1928
624,2383,2193,2343,2345,2384,2049,2084,2087,2088,2089
625,717,754,755,760,792,1513,787,825,864,891
626,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
628,831,869,871,872,907,908,910,946,983,985
629,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
630,831,869,871,872,907,908,910,946,983,985
631,873,874,906,909,911,912,945,947,948,949
632,938,940,1054,1245,1625,1663,1700,1701,1738,901
633,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
634,786,823,824,862,827,863,787,825,864,898
635,709,711,747,748,749,901,902,2941,367,403
636,80,913,41,43,53,77,78,79,81,88
637,793,341,873,874,906,909,911,912,945,947
638,330,331,369,406,407,408,409,442,443,444
639,1019,1627,981,1133,2963,873,874,906,909,911
640,415,416,449,487,491,492,377,413,414,417
641,758,830,1026,1177,1216,1406,1442,1444,1481,1520
642,873,874,906,909,911,912,945,947,948,949
643,938,940,968,1054,1083,1086,1122,1124,1156,1245
644,3004,1013,1055,1092,1131,1282,1283,1321,1358,1395
645,1893,873,874,906,909,911,912,945,947,948
646,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
647,831,869,871,872,907,908,910,946,983,985
648,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
649,717,754,755,760,792,565,868,1020,1248,1286
650,865,903,1017,2004,2947,901,902,979,1016,1071
651,831,869,871,872,907,908,910,946,983,985
652,423,425,462,463,464,465,500,763,839,344
653,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
654,31,75,106,107,108,111,144,145,150,259
657,831,869,871,872,907,908,910,946,983,985
658,788,826,3029,2651,2688,751,791,827,863,1587
659,49,60,92,136,113,146,148,149,181,184
660,2383,2193,2343,2345,2384,713,979,1016,1093,1739
662,1013,1055,1092,1131,1282,1283,1321,1358,1395,1396
663,759,796,797,832,834,835,836,1097,1099,1135
664,191,229,267,268,269,270,305,306,307,309
665,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
666,873,874,906,909,911,912,945,947,948,949
667,786,823,824,862,827,863,787,825,864,898
668,295,341,486,183,32,34,35,37,38,68
669,759,796,797,832,834,835,836,1097,1099,1135
670,2004,2947,938,940,968,1054,1083,1086,1122,1124
672,873,874,906,909,911,912,945,947,948,949
673,993,1296,1448,1523,1562,1600,989,991,992,1027
674,367,403,405,478,183,265,295,215,292,293
675,720,756,757,794,798,377,413,414,417,418
676,1019,1627,981,1133,2963,873,874,906,909,911
678,873,874,906,909,911,912,945,947,948,949
679,753,525,717,754,755,760,792,415,416,449
680,873,874,906,909,911,912,945,947,948,949
681,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
682,827,863,2673,2677,2709,2711,2712,2714,2715,2748
683,865,903,1017,2004,2947,901,902,979,1016,1071
685,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
686,635,637,674,675,850,676,709,711,713,714
687,1013,1055,1092,1131,1282,1283,1321,1358,1395,1396
688,717,754,755,760,792,1209,1513,415,416,449
689,341,263,379,415,416,449,487,491,492,529
690,379,529,566,570,2938,263,303,341,2273,2311
691,379,795,870,1063,1064,1096,1098,1101,1102,1134
692,795,870,1063,1064,1096,1098,1101,1102,1134,1139
694,523,524,445,481,482,484,522,556,558,559
695,964,1000,1161,1194,1198,1199,1232,1233,1234,1235
697,865,903,1017,942,901,902,979,1016,1093,1739
698,523,3004,520,521,377,413,414,417,418,448
699,121,326,437,440,123,162,163,164,169,170
700,559,561,595,596,783,784,785,786,822,823
702,720,756,757,794,798,415,416,449,487,491
704,901,902,938,939,940,968,976,977,978,1001
705,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
706,709,711,747,748,749,901,902,2941,786,823
707,2483,2487,2523,2524,2525,2527,2562,2564,2602,770
708,328,365,366,404,292,92,136,121,326,367
709,900,1130,829,1513,1626,938,940,1054,1245,1587
710,1147,954,1032,1070,1071,1107,1108,1109,1110,1145
713,295,341,340,342,378,380,486,332,379,415
714,523,251,445,481,482,484,522,556,558,559
715,338,374,2935,485,71,72,73,109,110,112
716,527,564,567,603,604,607,608,640,641,642
718,541,158,205,207,240,241,242,243,244,245
719,133,787,825,864,891,928,2673,2677,2709,2711
720,685,723,724,878,877,914,687,725,762,837
721,32,34,35,37,38,68,74,114,2937,31
722,635,637,674,675,938,940,1054,1245,1625,1663
723,159,196,197,198,615,616,158,194,577,578
724,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
727,989,991,992,1027,1028,1029,1030,1031,1066,1067
728,873,874,906,909,911,912,945,947,948,949
729,423,425,462,463,464,465,500,120,122,129
730,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
731,341,793,340,342,378,380,720,756,757,794
732,415,416,449,487,491,492,1100,1210,1439,1476
733,962,963,1129,1623,655,660,692,964,1000,1125
734,793,341,873,874,906,909,911,912,945,947
735,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
736,1741,1779,1855,867,942,1019,1323,1361,1399,1438
737,763,839,770,804,1071,1109,1110,1148,1452,2107
738,787,825,864,717,754,755,760,792,829,1513
739,685,723,724,878,2826,571,877,914,2813,343
740,1775,1504,1852,2416,2455,2457,2494,2495,2533,2570
741,46,183,47,83,124,851,882,884,885,921
742,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
743,295,341,340,342,378,380,486,332,379,415
744,936,937,975,1050,1051,1088,1089,1090,1126,939
745,57,59,93,94,95,97,53,88,89,117
746,215,31,75,106,107,108,111,144,145,150
747,1147,1032,1070,1071,1107,1108,1109,1110,1145,1146
748,1209,901,902,1247,1551,786,823,824,862,900
749,759,796,797,832,834,835,836,1097,1099,1135
750,341,873,874,906,909,911,912,945,947,948
751,901,902,936,937,975,1050,1051,1088,1089,1090
752,1890,995,997,998,1034,1036,1038,1149,1186,1187
753,445,481,482,484,522,556,558,618,619,621
754,764,800,673,687,712,725,762,838,763,839
756,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
757,981,1057,1285,1475,831,869,871,872,907,908
758,831,869,871,872,907,908,910,946,983,985
759,795,870,1063,1064,1096,1098,1101,1102,1134,1139
760,377,413,414,417,418,448,450,451,452,453
761,638,639,1246,1284,1322,1360,1436,3004,17,981
762,439,475,476,511,544,545,546,548,581,668
763,1160,1730,1768,1771,1772,1773,1774,1775,1885,1921
764,981,1057,1285,1475,831,869,871,872,907,908
765,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
766,827,863,786,788,823,824,826,862,925,957
767,1853,2004,2612,2947,1587,1813,1887,1889,1890,1928
768,3004,831,869,871,872,907,908,910,946,983
769,957,827,863,881,919,920,922,923,955,956
770,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
771,981,831,869,871,872,907,908,910,946,983
773,873,874,906,909,911,912,945,947,948,949
774,194,577,293,159,196,197,198,441,477,479
778,764,800,763,839,687,725,762,838,647,685
779,993,1070,1107,1108,1145,1146,1183,1296,1373,1410
780,1133,2963,795,870,1019,1063,1064,1096,1098,1101
781,2004,2947,941,1010,1014,1033,1035,1037,1072,1073
782,597,598,599,633,634,636,671,672,707,710
784,939,976,977,978,1001,1002,1015,1039,1040,1052
785,32,34,35,37,38,68,74,114,2937,71
786,1071,1109,1110,1148,1452,994,999,1001,1002,1010
787,936,937,975,1050,1051,1088,1089,1090,1126,939
788,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
789,21,31,75,106,107,108,111,144,145,150
790,900,1130,829,1513,1626,938,940,1054,1245,1587
791,1019,1627,981,1133,2963,873,874,906,909,911
793,1179,989,991,992,1027,1028,1029,1030,1031,1066
794,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
795,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
796,763,839,761,764,765,799,800,801,803,840
797,1475,1171,1550,759,796,797,832,834,835,836
798,415,416,449,487,491,492,831,869,871,872
799,763,839,761,764,765,799,800,801,803,840
800,523,445,481,482,484,522,556,558,1129,1623
801,2004,2947,938,940,968,1054,1083,1086,1122,1124
802,32,34,35,37,38,68,74,114,379,1019
803,787,825,864,786,788,789,790,823,824,826
804,831,869,871,872,907,908,910,946,983,985
805,936,937,975,1050,1051,1088,1089,1090,1126,1357
806,827,863,750,786,788,823,824,826,862,3029
807,709,711,747,748,749,901,902,2941,786,823
808,2804,2765,2806,2807,2810,2811,2840,2842,2999,793
809,873,874,906,909,911,912,945,947,948,949
810,175,865,903,1017,1147,2004,2947,173,174,212
811,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
812,251,92,100,136,290,2973,212,213,288,364
813,993,1032,1296,1448,1523,1562,1600,955,956,994
814,2383,713,1775,1957,1992,1993,2031,2032,2077,2078
816,2919,2673,2677,2709,2711,2712,2714,2715,2748,2750
817,827,863,994,999,1265,1587,1813,1887,1889,1890
818,709,711,747,748,749,750,901,902,2232,2269
819,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
821,1775,1626,778,779,781,1737,2565,2566,2646,867
822,793,341,873,874,906,909,911,912,945,947
823,831,869,871,872,907,908,910,946,983,985
824,423,425,462,463,464,465,500,344,345,347
826,994,999,1265,1813,1887,1889,1962,1966,2002,2374
827,865,903,1017,901,902,979,1016,1093,1739,1776
828,873,874,906,909,911,912,945,947,948,949
829,786,823,824,862,827,863,787,825,864,898
830,1179,989,991,992,1027,1028,1029,1030,1031,1066
831,2383,673,712,865,903,1017,1995,1996,1999,2004
832,941,1014,1397,713,979,980,1016,1018,1093,1359
833,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
835,1179,191,229,267,268,269,270,305,306,307
836,989,991,992,1027,1028,1029,1030,1031,1066,1067
837,827,863,2647,2684,673,712,865,903,1017,2651
838,788,826,3029,751,791,827,863,1587,1928,2496
839,370,486,524,445,481,482,484,522,556,558
840,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
841,827,863,2673,2677,2709,2711,2712,2714,2715,2748
842,753,787,825,864,717,754,755,760,792,1969
843,873,874,906,909,911,912,945,947,948,949
844,133,160,161,199,200,201,202,203,204,206
845,1599,1675,1676,1677,1715,1752,2169,2208,2247,2547
846,925,697,699,729,731,734,735,745,746,766
847,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
848,713,635,637,674,675,877,914,673,712,838
849,936,937,975,1050,1051,1088,1089,1090,1126,939
850,901,902,786,823,824,862,900,925,927,929
851,938,940,1054,1245,1625,1663,1700,1701,1738,901
852,709,711,747,748,749,901,902,2941,786,823
853,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
854,709,711,747,748,749,2941,523,597,598,599
855,913,687,689,725,762,837,875,876,879,916
856,981,1626,1246,1284,1322,1360,1436,3004,831,867
857,795,870,1063,1064,1096,1098,1101,1102,1134,1139
858,793,873,874,906,909,911,912,945,947,948
859,939,976,977,978,1015,1052,1053,1091,1128,1246
860,831,869,871,872,907,908,910,946,983,985
861,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
862,1179,989,991,992,1027,1028,1029,1030,1031,1066
863,496,505,533,534,535,536,537,572,573,574
864,981,1057,1285,1475,831,869,871,872,907,908
865,837,875,876,2016,2017,2054,2056,2093,2931,423
866,873,874,906,909,911,912,945,947,948,949
867,341,873,874,906,909,911,912,945,947,948
868,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
869,133,172,212,213,288,364,160,161,199,200
870,2938,2313,526,569,606,645,681,683,718,719
871,831,869,871,872,907,908,910,946,983,985
872,527,564,567,603,604,607,608,640,641,642
873,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
874,981,831,869,871,872,907,908,910,946,983
875,1513,1100,1210,1323,1361,1399,1438,1439,1476,1477
876,2804,2765,2806,2807,2810,2811,2840,2842,2999,793
877,183,32,34,35,37,38,68,74,114,379
878,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
879,523,251,49,60,92,136,290,2973,113,146
880,9,10,50,56,58,618,619,621,622,654
881,786,823,824,862,925,133,827,863,655,660
882,341,873,874,906,909,911,912,945,947,948
883,338,374,2935,71,72,73,109,110,112,147
884,529,566,570,524,485,296,303,259,301,377
885,759,796,797,832,834,835,836,1097,1099,1135
886,793,720,756,757,794,798,379,795,870,1063
887,931,932,933,1162,1164,1165,1166,1200,1201,1202
888,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
889,86,251,46,113,146,148,149,181,184,186
890,793,1893,379,795,870,1063,1064,1096,1098,1101
891,787,825,864,786,788,789,790,823,824,826
892,793,379,795,870,1063,1064,1096,1098,1101,1102
893,993,1296,1448,1523,1562,1600,996,1184,1221,1222
894,31,75,106,107,108,111,144,145,150,32
895,529,566,570,524,485,296,303,259,301,377
896,563,600,601,2124,2163,2950,3001,527,564,567
897,32,34,35,37,38,68,74,114,2937,113
898,827,863,750,786,788,823,824,826,862,2717
900,829,1209,1513,1626,1853,2612,786,789,790,823
901,120,122,157,288,364,123,133,158,162,163
902,2109,2145,2146,2147,2185,2187,2224,2226,2265,886
903,551,553,554,555,557,584,588,590,591,592
905,717,754,755,760,792,720,756,757,794,798
906,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
907,602,525,716,55,90,524,563,600,601,678
908,1587,1928,2496,2532,2534,828,866,904,979,1016
909,827,863,786,788,823,824,826,862,925,957
911,962,963,1129,1623,655,660,692,964,1000,1125
912,1775,1657,1695,1696,1697,1698,1735,1736,2001,2039
913,120,122,157,288,364,123,133,158,162,163
914,524,445,481,482,484,522,556,558,559,561
915,865,903,1017,2004,2947,212,213,901,902,979
917,527,564,567,603,604,607,608,640,641,642
918,789,790,717,754,755,760,792,829,1513,1626
919,496,505,533,534,535,536,537,572,573,574
920,341,379,415,416,449,487,491,492,340,342
921,745,746,815,816,593,594,629,631,632,663
922,158,578,3031,120,122,153,155,157,192,193
923,1775,2077,2078,2079,2080,2115,2116,2117,2151,2153
924,2919,2673,2677,2709,2711,2712,2714,2715,2748,2750
925,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
926,720,756,757,794,798,377,413,414,417,418
927,964,1000,1161,1194,1198,1199,1232,1233,1234,1235
928,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
929,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
930,486,415,416,449,487,491,492,295,296,335
931,901,902,865,903,1017,938,939,940,976,977
932,1737,938,940,968,1054,1083,1086,1122,1124,1156
933,330,331,369,406,407,408,409,442,443,444
934,931,932,933,1162,1164,1165,1166,1200,1201,1202
935,758,830,1026,1177,1216,1406,1442,1444,1481,1520
936,486,32,34,35,37,38,68,74,114,415
937,1013,1055,1092,1131,1282,1283,1321,1358,1395,1396
938,901,902,936,937,975,1050,1051,1088,1089,1090
939,831,869,871,872,907,908,910,946,983,985
940,939,976,977,978,1015,1052,1053,1091,1128,901
941,496,533,534,535,536,537,572,573,574,575
942,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
943,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
944,2004,2947,1777,979,1016,1093,1160,1730,1739,1768
945,994,999,1265,957,962,963,995,997,998,1034
946,341,873,874,906,909,911,912,945,947,948
947,795,870,1063,1064,1096,1098,1101,1102,1134,1139
948,981,1057,1285,1475,831,869,871,872,907,908
949,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
950,941,1010,1014,1033,1035,1037,1072,1073,1074,1075
951,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
952,1247,1551,900,1130,1209,1437,1513,1589,1703,938
953,873,874,906,909,911,912,945,947,948,949
955,1944,2019,2057,2095,2096,788,818,826,851,882
956,1147,1032,1070,1071,1107,1108,1109,1110,1145,1146
957,1071,1109,1110,1148,1452,939,941,976,977,978
958,341,379,415,416,449,487,491,492,795,870
959,647,690,951,952,953,954,990,1597,1635,1749
960,761,799,801,1065,1069,1103,1104,1105,1106,1141
961,831,869,871,872,907,908,910,946,983,985
962,288,364,559,561,595,596,659,661,691,693
963,1129,1623,865,903,1017,827,863,939,941,976
964,1167,1168,1205,1206,1207,1243,1244,1435,1472,1510
965,1019,1627,981,1133,2963,873,874,906,909,911
966,520,521,447,877,914,256,263,294,290,332
968,994,999,1265,1813,1887,1889,1962,1966,2002,2374
970,841,802,915,1981,1982,2020,2593,2986,761,765
971,1019,1627,1665,3008,980,1018,1057,1095,1285,1359
972,873,874,906,909,911,912,945,947,948,949
973,2124,2163,2950,3001,341,873,874,906,909,911
974,709,711,747,748,749,901,902,2941,786,823
976,873,874,906,909,911,912,945,947,948,949
977,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
979,379,795,870,1063,1064,1096,1098,1101,1102,1134
981,770,1071,1109,1110,1148,1452,2107,2184,2220,2221
982,301,415,416,449,487,491,492,529,566,570
984,1071,1109,1110,1148,1452,1147,994,999,1001,1002
985,939,976,977,978,1015,1052,1053,1091,1128,3004
986,2124,2163,2950,3001,341,873,874,906,909,911
987,343,497,498,687,725,762,398,399,473,496
988,328,365,366,404,288,327,329,364,474,709
989,709,711,747,748,749,2941,597,598,599,633
990,330,331,369,406,407,408,409,442,443,444
991,873,874,906,909,911,912,945,947,948,949
992,1626,938,940,1054,1245,1625,1663,1700,1701,1738
993,46,17,86,15,19,20,49,60,92,100
994,873,874,906,909,911,912,945,947,948,949
995,3004,969,1003,1004,1005,1006,1007,1008,1009,1013
996,989,991,992,1027,1028,1029,1030,1031,1066,1067
997,989,991,992,1027,1028,1029,1030,1031,1066,1067
998,1599,1675,1676,1677,1715,1752,2169,2208,2247,2547
999,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
1000,793,341,720,756,757,794,798,340,342,378
1001,344,345,347,381,382,383,384,385,386,419
1002,295,341,183,486,31,75,106,107,108,111
1003,837,875,876,989,991,992,1027,1028,1029,1030
1004,761,799,801,1065,1069,1103,1104,1105,1106,1141
1006,367,403,405,478,133,328,330,331,365,366
1007,720,756,757,794,798,1475,377,413,414,417
1008,957,175,250,368,133,205,207,240,241,242
1009,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
1010,802,761,799,801,1980,763,839,727,77,78
1013,1071,1109,1110,1148,1160,1452,1730,1768,1771,1772
1014,2639,2599,2601,2640,2641,2939,2480,2673,2677,2709
1015,2049,2084,2087,2088,2089,2090,2123,2125,2126,2127
1016,423,425,462,463,464,465,500,344,345,347
1017,1129,1623,865,903,1017,827,863,939,941,976
1018,1890,993,1296,1448,1523,1562,1600,995,997,998
1020,981,1057,1285,1475,831,869,871,872,907,908
1021,250,281,282,283,284,313,315,316,317,318
1022,2124,2163,2950,3001,527,564,567,603,604,607
1023,1167,1168,1205,1206,1207,1243,1244,1435,1472,1510
1024,2152,1357,1464,1465,1466,1617,1619,1620,1621,1656
1025,1001,1002,1039,1040,1078,1071,1109,1110,1148,1452
1026,379,377,413,414,417,418,448,450,451,452
1027,831,869,871,872,907,908,910,946,983,985
1028,939,976,977,978,1015,1052,1053,1091,1128,3004
1029,941,1014,1397,3004,867,1019,1627,1778,2383,2650
1030,262,264,266,297,298,299,302,303,151,185
1031,571,343,497,498,649,423,425,462,463,464
1032,340,342,378,380,295,335,336,337,339,341
1033,341,263,379,415,416,449,487,491,492,529
1034,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1035,873,874,906,909,911,912,945,947,948,949
1036,341,379,415,416,449,487,491,492,340,342
1037,2637,2678,2483,2487,2523,2524,2525,2527,2562,2564
1038,939,976,977,978,1015,1052,1053,1091,1128,3004
1039,527,564,567,603,604,607,608,640,641,642
1040,786,823,824,862,523,827,863,787,825,864
1041,829,1133,1513,1589,2963,758,830,1026,1177,1216
1042,379,795,870,1063,1064,1096,1098,1101,1102,1134
1043,1071,1109,1110,1148,1452,939,941,976,977,978
1044,873,874,906,909,911,912,945,947,948,949
1045,709,711,747,748,749,901,902,2941,786,823
1046,2559,2560,2563,2598,2600,2603,2604,2642,2004,2599
1047,2551,2731,2745,2789,2819,2471,2472,2510,2511,2512
1048,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1049,969,1003,1004,1005,1006,1007,1008,1009,1041,1042
1050,638,639,1246,1284,1322,1360,1436,563,600,601
1051,121,326,437,440,441,477,479,480,512,513
1052,1890,989,991,992,1027,1028,1029,1030,1031,1066
1053,1133,2963,1095,1475,795,870,1019,1063,1064,1096
1054,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
1056,529,566,570,296,303,447,377,413,414,417
1057,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1058,732,733,737,773,775,805,806,807,808,810
1059,12,295,341,486,6,13,32,34,35,37
1060,981,1626,1246,1284,1322,1360,1436,3004,831,867
1061,677,752,529,566,570,485,789,790,524,676
1062,9,10,50,56,58,55,90,21,42,53
1063,559,561,595,596,670,560,628,662,664,328
1064,2637,2678,827,863,2483,2487,2523,2524,2525,2527
1065,709,711,747,748,749,901,902,2941,786,823
1066,873,874,906,909,911,912,945,947,948,949
1067,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
1068,745,746,815,816,898,709,711,747,748,749
1069,86,251,445,481,482,484,522,556,558,559
1070,1133,2963,1095,1475,379,795,870,1019,1063,1064
1071,732,733,737,773,775,805,806,807,808,810
1072,1587,1928,2496,2532,2534,828,866,904,979,1016
1073,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1074,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
1075,2004,2947,979,1016,1093,1160,1730,1739,1768,1771
1077,527,564,567,602,603,604,607,608,640,641
1078,259,113,146,148,149,181,184,186,220,221
1079,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1080,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1081,720,756,757,794,798,415,416,449,487,491
1082,900,1130,829,1513,1626,787,825,864,930,938
1083,1071,1109,1110,1148,1452,1147,994,999,1001,1002
1084,939,976,977,978,1015,1052,1053,1091,1128,3004
1087,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
1088,827,863,2483,2487,2523,2524,2525,2527,2562,2564
1089,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1090,486,31,75,106,107,108,111,144,145,150
1091,865,903,1017,901,902,979,1016,1093,1739,1775
1092,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1095,873,874,906,909,911,912,945,947,948,949
1096,873,874,906,909,911,912,945,947,948,949
1097,865,903,1017,942,901,902,979,1016,1093,1739
1098,873,874,906,909,911,912,945,947,948,949
1099,32,34,35,37,38,68,74,114,2937,31
1100,900,1130,938,940,1054,1245,1587,1625,1663,1700
1101,2551,1636,1673,1674,1711,1712,1939,2129,2167,2205
1102,865,903,1017,2004,2947,901,902,979,1016,1071
1103,415,416,449,487,491,492,831,869,871,872
1104,939,976,977,978,1001,1002,1015,1039,1040,1052
1105,3004,969,1003,1004,1005,1006,1007,1008,1009,1013
1106,1587,1928,2496,2532,2534,828,866,904,979,1016
1107,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
1108,1323,1361,1399,1438,981,1437,1513,1626,1703,2049
1109,865,903,1017,2004,2947,901,902,979,1016,1071
1110,341,873,874,906,909,911,912,945,947,948
1111,900,1130,938,940,1054,1245,1587,1625,1663,1700
1112,968,1001,1002,1039,1040,1078,1083,1086,1122,1124
1113,647,690,951,952,953,954,990,1597,1635,1749
1114,647,690,951,952,953,954,990,1597,1635,1749
1115,994,999,1265,1125,1501,1502,1503,1540,1541,1542
1116,1775,1737,1626,938,940,968,1054,1083,1086,1122
1117,367,403,405,478,133,328,330,331,365,366
1118,415,416,449,487,491,492,831,869,871,872
1120,2730,2734,2691,2725,2693,2695,2733,2770,793,873
1121,901,902,865,903,1017,938,939,940,976,977
1122,989,991,992,1027,1028,1029,1030,1031,1066,1067
1123,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1124,1057,1285,447,1171,1246,1284,1322,1360,1436,1550
1125,15,20,32,34,35,37,38,68,74,114
1126,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
1127,1071,1109,1110,1148,1452,936,937,975,1050,1051
1129,1010,1033,1035,1037,1072,1073,1074,1075,1077,1111
1130,367,403,405,478,786,823,824,862,133,328
1131,117,119,57,59,93,94,95,97,46,118
1132,865,903,1017,2004,2947,901,902,979,1016,1071
1134,764,800,597,598,599,633,634,636,671,672
1135,1979,2588,2589,2630,670,732,733,737,773,775
1136,439,475,476,511,544,545,546,548,581,121
1137,341,379,415,416,449,487,491,492,340,342
1138,523,520,521,787,825,864,377,413,414,417
1139,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
1140,2772,2809,2847,2767,2768,2639,2766,2769,2771,2773
1141,527,564,567,603,604,607,608,640,641,642
1143,523,445,481,482,484,522,556,558,786,823
1144,827,863,994,999,1265,1587,1813,1887,1889,1890
1145,979,1016,1093,1739,1776,1814,1815,2382,2420,2458
1146,831,869,871,872,907,908,910,946,983,985
1147,720,756,757,794,798,377,413,414,417,418
1150,931,932,933,1162,1164,1165,1166,1200,1201,1202
1151,873,874,906,909,911,912,945,947,948,949
1152,2124,2163,2950,3001,527,564,567,603,604,607
1153,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1154,759,796,797,832,834,835,836,1097,1099,1135
1155,379,377,413,414,417,418,448,450,451,452
1156,951,952,953,990,1597,1635,1749,1750,1787,1788
1158,295,341,486,183,32,34,35,37,38,68
1160,968,1083,1086,1122,1124,1156,927,929,965,966
1161,989,991,992,1027,1028,1029,1030,1031,1066,1067
1162,831,869,871,872,907,908,910,946,983,985
1163,831,869,871,872,907,908,910,946,983,985
