,oc,CG8147,disco,Cyp310a1,Doc2,gt,knrl,Mes2,Dfd,tsh
587,2725,2556,2557,2594,2595,2597,2599,2601,2636,2637
588,865,903,941,979,1014,1016,1017,1093,1397,2382
589,2548,2585,2586,2587,2591,2623,2624,2625,2626,2627
592,837,875,876,878,913,613,877,879,914,915
593,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
594,11,1171,1209,1247,789,790,6,12,13,14
595,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
596,1408,1409,1446,1217,1255,1256,1257,1293,1294,1295
597,3004,981,1323,1361,1399,1438,901,902,938,939
598,865,903,941,979,1014,1016,1017,1070,1093,1107
599,786,787,823,824,825,862,864,3004,523,172
600,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
601,831,868,869,871,872,907,908,910,946,983
602,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
603,3004,935,936,937,968,969,971,972,973,974
604,1223,1260,1261,1299,1336,1339,2328,2979,2988,994
605,441,477,479,512,513,515,516,547,549,550
607,839,1065,1069,1103,1104,1105,1106,1141,1142,1143
608,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
609,761,763,764,799,800,801,838,685,687,723
610,595,696,730,846,445,481,482,484,520,521
611,1133,2963,758,795,830,870,1019,1026,1063,1064
613,2767,2768,2731,2772,2804,2809,2847,2730,2734,2690
614,1955,2214,2485,2487,2523,2524,2525,2527,2556,2557
615,341,379,448,449,450,451,452,453,487,488
616,1396,1433,1434,1624,1625,1661,1662,1663,1700,1701
617,3004,901,902,938,939,940,976,977,978,1013
618,865,903,941,979,1014,1016,1017,1093,1397,2382
619,2695,2698,2735,2770,2984,873,874,906,909,911
620,2496,2532,2534,828,865,866,903,904,941,979
621,3004,935,936,937,968,969,971,972,973,974
622,873,874,906,909,911,912,945,947,948,949
623,2232,2269,2307,2308,2383,750,961,2109,2141,2145
624,1627,1741,1779,1855,2383,2049,2084,2087,2088,2089
625,523,448,449,450,451,452,453,487,488,489
626,935,936,937,968,969,971,972,973,974,975
627,981,1323,1361,1399,1438,2695,2698,2735,2770,2984
629,873,874,906,909,911,912,945,947,948,949
630,831,868,869,871,872,907,908,910,946,983
632,901,902,938,939,940,976,977,978,1013,1015
633,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
634,786,787,823,824,825,862,864,172,788,789
635,212,213,330,331,369,406,407,408,409,442
636,77,80,41,53,78,79,81,88,89,837
637,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
639,1019,867,981,1133,1323,1361,1399,1438,2650,2963
640,448,449,450,451,452,453,487,488,489,490
641,758,795,830,870,1026,1063,1064,1096,1098,1101
642,873,874,906,909,911,912,945,947,948,949
643,3004,901,902,938,939,940,976,977,978,1013
644,3004,901,902,938,939,940,976,977,978,1013
645,2007,1778,1893,1441,1443,1478,1632,1634,1668,1670
646,1775,1381,1415,1417,1419,1452,1454,1458,1459,1460
647,831,868,869,871,872,907,908,910,946,983
649,643,679,680,682,684,831,868,869,871,872
650,865,903,941,979,1014,1016,1017,1093,1397,2382
651,831,868,869,871,872,907,908,910,946,983
652,1980,1939,1979,2016,2017,2054,2056,2093,2129,2167
653,759,796,797,832,834,835,836,1097,1099,1100
654,215,293,370,254,181,184,220,221,259,2957
655,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
656,595,559,561,596,597,598,599,633,634,635
657,831,868,869,871,872,907,908,910,946,983
658,788,826,827,863,3029,750,751,2496,2532,2534
659,46,92,136,253,292,55,61,63,91,137
660,2383,673,712,1408,1409,1446,1980,2193,2343,2345
661,901,902,938,939,940,976,977,978,1013,1015
662,901,902,938,939,940,976,977,978,1013,1015
663,759,796,797,832,834,835,836,1097,1099,1100
664,191,229,267,268,269,270,305,306,307,309
665,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
667,786,787,823,824,825,862,864,172,788,789
668,1019,2654,2655,2657,2658,2692,2693,2696,2732,2688
669,759,796,797,832,834,835,836,1097,1099,1100
670,901,902,938,939,940,976,977,978,1013,1015
671,873,874,906,909,911,912,945,947,948,949
672,873,874,906,909,911,912,945,947,948,949
673,993,989,991,992,1027,1028,1029,1030,1031,1066
674,172,788,826,827,863,3029,183,215,293,368
675,717,720,754,755,756,757,760,792,794,798
676,1627,1741,1779,1855,1019,1441,1443,1478,1632,1634
677,1587,1890,1928,996,1032,1184,1222,1335,1435,1449
678,873,874,906,909,911,912,945,947,948,949
679,759,796,797,832,834,835,836,1097,1099,1100
680,2654,2655,2657,2658,2692,2693,2696,2732,873,874
681,759,796,797,832,834,835,836,1097,1099,1100
682,788,826,827,863,3029,750,751,2496,2532,2534
683,865,903,941,979,1014,1016,1017,1093,1397,2382
684,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
685,2556,2557,2594,2595,2597,2599,2601,2636,2637,2638
686,747,748,749,2941,597,598,599,633,634,635
687,901,902,938,939,940,976,977,978,1013,1015
688,717,720,754,755,756,757,760,792,794,798
689,529,566,570,341,379,448,449,450,451,452
690,2273,2311,2938,263,715,341,379,2197,2201,2237
692,758,795,830,870,1026,1063,1064,1096,1098,1101
693,251,291,3009,249,364,365,92,136,253,290
694,251,291,523,3009,92,136,253,290,292,2973
695,927,929,930,931,932,933,962,963,964,965
696,32,34,35,37,38,68,74,114,2937,11
697,1739,1776,1814,1815,2004,2947,2998,1777,2005,865
698,3004,523,747,748,749,786,787,823,824,825
699,121,123,162,163,164,169,171,209,248,286
700,249,364,365,595,747,748,749,750,752,2941
701,994,995,997,998,999,1034,1036,1038,1149,1186
702,643,679,680,682,684,831,868,869,871,872
703,2654,2655,2657,2658,2692,2693,2696,2732,873,874
704,3004,901,902,938,939,940,976,977,978,1013
705,994,995,997,998,999,1034,1036,1038,1149,1186
706,747,748,749,901,902,938,939,940,976,977
707,1955,2214,2485,2487,2523,2524,2525,2527,2561,2562
708,126,249,364,365,92,136,253,292,61,63
709,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
710,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
711,1019,2160,2161,2198,2199,2200,2387,2388,2389,2393
712,341,379,1444,1480,1481,1482,1520,1557,1558,1821
713,295,341,379,340,342,378,380,377,413,414
714,19,49,60,86,251,291,523,3009,15,17
715,31,71,72,73,75,106,107,108,109,110
716,564,565,603,607,640,641,642,646,527,567
717,1946,1947,1985,1408,1409,1446,1447,1483,1484,1485
718,541,191,229,267,268,269,270,305,306,307
719,446,483,517,518,519,172,133,249,364,365
720,290,647,685,687,689,723,724,725,762,2973
721,11,32,34,35,37,38,68,74,114,2937
722,1396,1433,1434,1624,1625,1661,1662,1663,1700,1701
723,158,159,196,197,198,578,3031,120,122,153
724,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
725,759,796,797,832,834,835,836,981,1097,1099
726,927,929,930,931,932,933,962,963,964,965
727,989,991,992,1027,1028,1029,1030,1031,1066,1067
729,250,289,329,368,129,130,131,134,288,327
730,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
731,793,2695,2698,2735,2770,2984,758,795,830,870
732,759,796,797,832,834,835,836,1097,1099,1100
733,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
734,2654,2655,2657,2658,2692,2693,2696,2732,873,874
735,2496,2532,2534,1223,1260,1261,1299,1336,1339,2328
736,1019,942,980,1018,1056,1359,2421,2460,2461,2649
737,1995,2033,2034,2035,2037,2040,2070,2071,2072,2073
739,423,425,462,463,464,465,500,343,344,345
740,993,994,995,997,998,999,1034,1036,1038,1149
741,1946,1947,1985,83,1679,1680,1717,1718,1719,1756
742,1453,1455,1456,1457,1490,1491,1492,1493,1494,1495
743,295,341,379,32,34,35,37,38,68,74
744,935,936,937,968,969,971,972,973,974,975
745,57,59,93,94,95,96,97,98,53,88
746,31,71,72,73,75,106,107,108,109,110
747,865,903,941,979,1014,1016,1017,1070,1093,1107
749,759,796,797,832,834,835,836,1097,1099,1100
750,873,874,906,909,911,912,945,947,948,949
751,901,902,938,939,940,976,977,978,1013,1015
752,2496,2532,2534,828,865,866,903,904,941,979
753,212,213,330,331,369,406,407,408,409,442
754,1980,761,763,764,799,800,801,838,1939,1979
755,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
756,2556,2557,2594,2595,2597,2599,2601,2636,2637,2638
757,1593,1596,1627,1628,1629,1630,1631,1667,1704,1705
758,831,868,869,871,872,907,908,910,946,983
759,758,795,830,870,1026,1063,1064,1096,1098,1101
760,2695,2698,2735,2770,2984,377,413,414,415,416
761,1246,1284,1322,1360,867,981,1323,1361,1399,1438
762,172,133,249,364,365,367,403,405,478,747
763,1019,873,874,906,909,911,912,945,947,948
764,981,1323,1361,1399,1438,1436,3004,831,868,869
765,873,874,906,909,911,912,945,947,948,949
766,368,788,826,827,863,2245,2284,2285,2322,2360
767,2496,2532,2534,1223,1260,1261,1299,1336,1339,2328
768,3004,901,902,938,939,940,976,977,978,1013
769,1755,1757,1758,1759,1760,1761,1792,1793,1794,1795
770,1408,1409,1446,1447,1483,1484,1485,1521,1522,1524
771,981,1323,1361,1399,1438,831,868,869,871,872
772,865,903,941,979,1014,1016,1017,1093,1397,2382
773,873,874,906,909,911,912,945,947,948,949
774,577,41,42,50,51,78,81,86,115,215
775,2049,2084,2087,2088,2089,2090,2123,2124,2125,2126
776,120,122,157,119,154,156,115,117,343,344
777,1019,867,981,1133,1323,1361,1399,1438,2650,2963
778,1980,839,1939,1979,2016,2017,2054,2056,2093,2129
779,1296,1373,1410,1412,2169,2208,2247,2471,2472,2510
780,758,795,830,870,1026,1063,1064,1096,1098,1101
781,865,903,941,979,1014,1016,1017,1093,1397,2382
782,3004,2383,747,748,749,901,902,938,939,940
783,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
784,1408,1409,1446,901,902,938,939,940,976,977
785,295,341,379,32,34,35,37,38,68,74
786,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
787,935,936,937,968,969,971,972,973,974,975
788,759,796,797,832,834,835,836,1097,1099,1100
789,32,34,35,37,38,68,74,114,2937,21
790,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
791,1019,867,981,1133,1323,1361,1399,1438,2650,2963
792,2730,2734,2772,2804,2809,2847,793,2695,2698,2733
793,1217,1255,1256,1257,1293,1294,1295,1331,1332,1333
794,994,995,997,998,999,1034,1036,1038,1149,1186
795,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
796,761,763,764,799,800,801,838,685,687,723
797,1475,1513,1550,1551,1476,1477,1479,1514,1515,1516
798,831,868,869,871,872,907,908,910,946,983
801,901,902,938,939,940,976,977,978,1013,1015
803,788,826,827,863,3029,750,751,2496,2532,2534
804,831,868,869,871,872,907,908,910,946,983
805,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
806,793,1133,2695,2698,2735,2770,2963,2984,758,795
807,747,748,749,901,902,938,939,940,976,977
808,2730,2734,2690,2725,2728,2729,2767,2768,2689,2726
809,873,874,906,909,911,912,945,947,948,949
810,175,368,446,483,517,518,519,523,1739,1775
812,251,291,3009,92,136,253,290,292,2973,212
813,993,989,991,992,1027,1028,1029,1030,1031,1066
814,1984,1986,1987,2021,2022,2023,2060,2686,2687,1945
815,927,929,930,931,932,933,962,963,964,965
816,2919,2881,2772,2804,2809,2847,2885,2914,2917,2968
817,2496,2532,2534,828,865,866,903,904,941,979
818,2232,2269,2307,2308,900,1129,1130,1167,1168,1205
819,935,936,937,968,969,971,972,973,974,975
820,786,787,823,824,825,862,864,3004,523,172
822,2695,2698,2735,2770,2984,2654,2655,2657,2658,2692
823,831,868,869,871,872,907,908,910,946,983
824,2016,2017,2054,2056,2093,2931,423,425,462,463
825,831,868,869,871,872,907,908,910,946,983
826,994,995,997,998,999,1034,1036,1038,1149,1186
827,1220,1371,1373,1410,1412,1408,1409,1446,1065,1069
828,2654,2655,2657,2658,2692,2693,2696,2732,873,874
829,900,1129,1130,1167,1168,1205,1206,1207,1221,1243
830,989,991,992,1027,1028,1029,1030,1031,1066,1067
831,2383,1946,1947,1985,523,673,712,1739,1775,1776
832,1739,1776,1814,1815,2004,2947,2998,1641,1681,1720
833,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
834,2938,645,681,683,718,719,721,722,793,526
835,989,991,992,1027,1028,1029,1030,1031,1066,1067
836,989,991,992,1027,1028,1029,1030,1031,1066,1067
837,673,712,788,826,827,863,1955,2214,2485,2487
838,673,712,788,826,827,863,3029,2135,2211,2212
840,1476,1477,1479,1514,1515,1516,1517,1518,1519,1552
841,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
842,717,720,754,755,756,757,760,792,794,798
843,873,874,906,909,911,912,945,947,948,949
844,3004,172,2383,2725,133,249,364,365,367,403
845,2169,2208,2247,2471,2472,2510,2511,2512,2547,2550
846,745,779,781,782,811,813,814,815,816,843
847,873,874,906,909,911,912,945,947,948,949
848,841,713,877,879,914,915,916,917,2986,765
849,1775,1426,1427,1467,1469,1699,1737,1626,1381,1396
850,1132,1169,1170,1208,828,866,904,1436,1473,1511
852,3004,2383,2725,867,981,1323,1361,1399,1438,1626
853,2548,2585,2586,2587,2591,2623,2624,2625,2626,2627
854,747,748,749,2941,251,291,523,3009,551,584
855,837,875,876,878,913,989,991,992,1027,1028
856,1626,1778,1664,1740,1593,1596,1627,1628,1629,1630
857,758,795,830,870,1026,1063,1064,1096,1098,1101
859,1436,3004,867,981,1323,1361,1399,1438,1626,2650
860,831,868,869,871,872,907,908,910,946,983
861,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
862,1217,1255,1256,1257,1293,1294,1295,1331,1332,1333
863,501,191,229,267,268,269,270,305,306,307
864,981,1323,1361,1399,1438,831,868,869,871,872
865,423,425,462,463,464,465,500,343,344,345
866,873,874,906,909,911,912,945,947,948,949
867,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
868,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
869,172,133,249,364,365,367,403,405,478,212
870,2938,2201,2237,2238,2239,2240,2241,2242,2274,2275
871,831,868,869,871,872,907,908,910,946,983
872,564,565,603,607,640,641,642,646,527,567
873,935,936,937,968,969,971,972,973,974,975
874,981,1323,1361,1399,1438,831,868,869,871,872
875,759,796,797,832,834,835,836,981,1097,1099
876,2772,2804,2809,2847,2765,2766,2769,2771,2773,2774
877,529,566,570,447,486,524,295,296,341,379
878,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
879,523,445,481,482,484,520,521,522,556,558
880,2,3,4,7,32,34,35,37,38,68
881,786,787,823,824,825,862,864,172,788,789
882,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
883,31,71,72,73,75,106,107,108,109,110
884,485,523,562,524,529,566,570,445,481,482
885,759,796,797,832,834,835,836,1097,1099,1100
886,793,758,795,830,870,1026,1063,1064,1096,1098
888,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
889,49,60,86,251,291,523,3009,113,146,148
890,793,758,795,830,870,1026,1063,1064,1096,1098
891,786,787,823,824,825,862,864,172,788,789
893,1448,1523,1562,1600,1296,1449,1450,1487,1488,1525
894,32,34,35,37,38,68,74,114,2937,31
895,524,529,566,570,525,485,523,562,296,448
896,1019,2160,2161,2198,2199,2200,2387,2388,2389,2393
898,788,826,827,863,3029,750,751,2496,2532,2534
899,2551,2588,2589,2630,2169,2208,2247,2471,2472,2510
900,1132,1169,1170,1208,829,759,796,797,832,834
901,120,122,157,249,364,365,423,425,462,463
902,961,2109,2141,2145,2146,2147,2180,2181,2182,2183
903,1453,1455,1456,1457,1490,1491,1492,1493,1494,1495
904,120,122,157,119,154,156,121,123,158,159
905,717,720,754,755,756,757,760,792,794,798
906,831,868,869,871,872,907,908,910,946,983
907,2197,2349,716,602,643,679,680,682,684,831
908,1587,1890,1928,1739,1776,1814,1815,1853,1891,1929
909,793,1133,2695,2698,2735,2770,2963,2984,2772,2804
910,1019,867,981,1133,1323,1361,1399,1438,2650,2963
912,1775,1010,1033,1035,1037,1071,1072,1073,1074,1075
913,120,122,157,249,364,365,119,154,156,288
914,445,481,482,484,520,521,522,556,558,559
916,1853,1891,1929,1967,828,866,904,1473,1511,1587
917,643,679,680,682,684,831,868,869,871,872
918,525,602,601,639,717,720,754,755,756,757
919,501,191,229,267,268,269,270,305,306,307
920,341,379,377,413,414,415,416,417,418,454
921,1426,1427,1467,1469,1699,1737,1996,1999,551,584
922,158,159,196,197,198,578,3031,120,122,153
923,2383,1995,2033,2034,2035,2037,2040,2070,2071,2072
924,2919,2881,2772,2804,2809,2847,2885,2914,2917,2968
926,717,720,754,755,756,757,760,792,794,798
927,1220,1371,1182,1217,1255,1256,1257,1293,1294,1295
929,873,874,906,909,911,912,945,947,948,949
930,32,34,35,37,38,68,74,114,2937,31
931,901,902,938,939,940,976,977,978,1013,1015
932,935,936,937,968,969,971,972,973,974,975
933,175,368,2639,2673,2674,2675,2676,2677,2709,2710
934,927,929,930,931,932,933,962,963,964,965
937,901,902,938,939,940,976,977,978,1013,1015
938,1426,1427,1467,1469,1699,1737,1381,1396,1415,1417
939,831,868,869,871,872,907,908,910,946,983
940,1396,1433,1434,1624,1625,1661,1662,1663,1700,1701
941,191,229,267,268,269,270,305,306,307,309
943,831,868,869,871,872,907,908,910,946,983
944,865,903,941,979,1014,1016,1017,1093,1397,2382
945,994,995,997,998,999,1034,1036,1038,1149,1186
946,2695,2698,2735,2770,2984,873,874,906,909,911
947,758,795,830,870,1026,1063,1064,1096,1098,1101
948,981,1323,1361,1399,1438,1057,1285,831,868,869
949,1221,1258,1259,1297,1334,1372,1374,2951,996,1032
950,865,903,941,979,1014,1016,1017,1093,1397,2382
951,1408,1409,1446,1065,1069,1103,1104,1105,1106,1141
952,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
953,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
954,935,936,937,968,969,971,972,973,974,975
955,2019,2057,2095,2096,715,2195,2233,2270,2983,1945
956,1070,1107,1108,1145,1146,1147,1183,996,1010,1032
957,865,903,941,979,1014,1016,1017,1093,1397,2382
958,758,795,830,870,1026,1063,1064,1096,1098,1101
959,951,952,953,990,609,954,1977,1978,2015,2053
960,1408,1409,1446,1447,1483,1484,1485,1521,1522,1524
961,831,868,869,871,872,907,908,910,946,983
962,595,559,561,596,597,598,599,633,634,635
963,1587,1890,1928,1739,1776,1814,1815,1853,1891,1929
964,901,902,938,939,940,976,977,978,1013,1015
965,1019,873,874,906,909,911,912,945,947,948
966,290,750,1907,1911,1913,1948,1953,183,263,251
967,2556,2557,2594,2595,2597,2599,2601,2636,2637,2638
968,993,994,995,997,998,999,1034,1036,1038,1149
969,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
970,765,803,840,673,712,802,841,2987,761,763
971,3008,1019,1665,2500,2501,905,943,1057,1095,1285
972,2654,2655,2657,2658,2692,2693,2696,2732,873,874
973,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
974,597,598,599,633,634,635,636,637,670,671
975,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
976,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
977,873,874,906,909,911,912,945,947,948,949
978,873,874,906,909,911,912,945,947,948,949
979,341,379,1444,1480,1481,1482,1520,1557,1558,1821
980,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
981,1996,1999,1381,1415,1417,1419,1452,1454,1458,1459
982,529,566,570,645,681,683,718,719,721,722
983,935,936,937,968,969,971,972,973,974,975
984,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
985,3004,901,902,938,939,940,976,977,978,1013
986,2049,2084,2087,2088,2089,2090,2123,2124,2125,2126
987,343,344,345,347,381,382,383,384,385,386
988,249,364,365,288,327,328,366,404,474,121
989,747,748,749,2941,597,598,599,633,634,635
990,212,213,330,331,369,406,407,408,409,442
991,873,874,906,909,911,912,945,947,948,949
992,3004,901,902,938,939,940,976,977,978,1013
993,19,49,60,86,15,17,52,90,92,136
995,3004,901,902,938,939,940,976,977,978,1013
996,989,991,992,1027,1028,1029,1030,1031,1066,1067
997,1447,1483,1484,1485,1521,1522,1524,1559,1560,1561
998,2169,2208,2247,2471,2472,2510,2511,2512,2547,2550
999,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1000,793,758,795,830,870,1026,1063,1064,1096,1098
1001,343,344,345,347,381,382,383,384,385,386
1003,1217,1255,1256,1257,1293,1294,1295,1331,1332,1333
1004,839,1065,1069,1103,1104,1105,1106,1141,1142,1143
1005,981,1323,1361,1399,1438,1057,1285,831,868,869
1007,717,720,754,755,756,757,760,792,794,798
1008,2496,2532,2534,828,865,866,903,904,941,979
1009,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
1010,761,763,764,799,800,801,838,685,687,723
1011,32,34,35,37,38,68,74,114,2937,31
1012,901,902,938,939,940,976,977,978,1013,1015
1013,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1015,2160,2161,2198,2199,2200,2387,2388,2389,2393,2424
1017,2496,2532,2534,828,865,866,903,904,941,979
1018,1296,2496,2532,2534,1223,1260,1261,1299,1336,1339
1019,837,875,876,878,913,685,687,723,724,725
1020,981,1323,1361,1399,1438,831,868,869,871,872
1022,1593,1596,1628,1629,1630,1631,1667,1704,1705,1706
1023,3004,901,902,938,939,940,976,977,978,1013
1024,1995,2033,2034,2035,2037,2040,2070,2071,2072,2073
1025,935,936,937,968,969,971,972,973,974,975
1027,831,868,869,871,872,907,908,910,946,983
1028,3004,901,902,938,939,940,976,977,978,1013
1029,865,903,941,979,1014,1016,1017,1093,1397,2382
1030,187,188,189,222,223,225,226,227,228,260
1031,423,425,462,463,464,465,500,343,344,345
1032,340,342,378,380,295,335,336,337,338,339
1033,529,566,570,341,379,448,449,450,451,452
1034,2725,2639,2673,2674,2675,2676,2677,2709,2710,2711
1035,643,679,680,682,684,2160,2161,2198,2199,2200
1036,341,379,377,413,414,415,416,417,418,454
1037,2551,2588,2589,2630,2556,2557,2594,2595,2597,2599
1038,3004,981,1323,1361,1399,1438,831,868,869,871
1039,643,679,680,682,684,2730,2734,2690,2725,2728
1040,786,787,823,824,825,862,864,3004,523,172
1041,1133,2963,829,1095,758,795,830,870,1019,1026
1042,758,795,830,870,1026,1063,1064,1096,1098,1101
1043,1739,1776,1814,1815,2004,2947,2998,1777,2005,865
1044,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
1045,3004,2383,2725,867,981,1323,1361,1399,1438,1626
1046,747,748,749,901,902,938,939,940,976,977
1047,2731,173,174,505,542,1599,1675,1676,1677,1715
1048,758,795,830,870,1026,1063,1064,1096,1098,1101
1049,1396,1433,1434,1624,1625,1661,1662,1663,1700,1701
1050,714,1436,2651,600,638,676,942,980,1018,1056
1052,2496,2532,2534,989,991,992,1027,1028,1029,1030
1053,1133,2963,829,1095,758,795,830,870,1019,1026
1054,1593,1596,1628,1629,1630,1631,1667,1704,1705,1706
1055,3004,901,902,938,939,940,976,977,978,1013
1056,529,566,570,113,146,148,149,186,296,448
1057,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1058,631,667,668,669,697,699,700,701,702,703
1059,32,34,35,37,38,68,74,114,2695,2698
1060,867,2650,2651,1019,1778,829,905,943,1398,2499
1061,524,595,752,529,566,570,485,523,562,600
1062,56,58,180,32,34,35,37,38,55,64
1063,249,364,365,595,747,748,749,750,752,2941
1064,2556,2557,2594,2595,2597,2599,2601,2636,2637,2638
1065,3004,747,748,749,901,902,938,939,940,976
1066,873,874,906,909,911,912,945,947,948,949
1067,1939,2129,2167,2205,2206,2207,2244,2246,1977,1978
1069,445,481,482,484,520,521,522,556,558,559
1070,1133,2963,829,1095,758,795,830,870,1019,1026
1071,745,779,781,782,811,813,814,815,816,843
1072,2496,2532,2534,828,865,866,903,904,941,979
1073,758,795,830,870,1026,1063,1064,1096,1098,1101
1074,1641,1681,1720,1721,1723,1762,1801,1916,1956,1679
1075,865,903,941,979,1014,1016,1017,1093,1397,2382
1076,9,10,11,2974,2976,2,3,4,7,32
1077,643,679,680,682,684,831,868,869,871,872
1078,113,146,148,149,186,31,71,72,73,75
1080,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
1081,717,720,754,755,756,757,760,792,794,798
1082,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
1084,3004,901,902,938,939,940,976,977,978,1013
1085,343,344,345,347,381,382,383,384,385,386
1086,981,1323,1361,1399,1438,831,868,869,871,872
1087,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1088,673,712,597,598,599,633,634,635,636,637
1089,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
1090,32,34,35,37,38,68,74,114,2937,31
1091,1739,1775,1776,1814,1815,2004,2947,2998,865,903
1092,2639,2673,2674,2675,2676,2677,2709,2710,2711,2712
1093,343,344,345,347,381,382,383,384,385,386
1094,526,564,565,569,603,606,607,640,641,642
1096,873,874,906,909,911,912,945,947,948,949
1097,865,903,941,979,1014,1016,1017,1093,1397,2382
1098,873,874,906,909,911,912,945,947,948,949
1099,32,34,35,37,38,68,74,114,2937,31
1100,900,1129,1130,1167,1168,1205,1206,1207,1243,1244
1101,1408,1409,1446,1217,1255,1256,1257,1293,1294,1295
1104,901,902,938,939,940,976,977,978,1013,1015
1105,3004,901,902,938,939,940,976,977,978,1013
1106,2496,2532,2534,828,865,866,903,904,941,979
1107,2548,2585,2586,2587,2591,2623,2624,2625,2626,2627
1108,981,1323,1361,1399,1438,1057,1285,643,679,680
1109,865,903,941,979,1014,1016,1017,1093,1397,2382
1110,1441,1443,1478,1632,1634,1668,1670,1671,1672,1708
1111,1587,1890,1928,1739,1776,1814,1815,1853,1891,1929
1112,935,936,937,968,969,971,972,973,974,975
1113,647,648,649,651,686,688,690,3023,3026,445
1114,951,952,953,990,647,685,687,723,724,725
1116,3004,901,902,938,939,940,976,977,978,1013
1117,172,133,249,364,365,367,403,405,478,160
1119,758,795,830,870,1026,1063,1064,1096,1098,1101
1120,2654,2655,2657,2658,2691,2692,2693,2696,2730,2732
1121,901,902,938,939,940,976,977,978,1013,1015
1123,758,795,830,870,1026,1063,1064,1096,1098,1101
1125,151,185,190,224,3013,265,20,32,34,35
1126,1593,1596,1628,1629,1630,1631,1667,1704,1705,1706
1127,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1128,758,795,830,870,1026,1063,1064,1096,1098,1101
1129,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1130,172,133,249,364,365,367,403,405,478,160
1131,57,59,93,94,95,96,97,98,91,176
1132,865,903,941,979,1014,1016,1017,1093,1397,2382
1133,865,903,941,979,1014,1016,1017,1093,1397,2382
1134,673,712,761,763,764,799,800,801,838,597
1136,160,161,199,200,201,202,203,204,206,208
1138,523,786,787,823,824,825,862,864,212,213
1139,994,995,997,998,999,1034,1036,1038,1149,1186
1140,2772,2804,2809,2847,2885,2840,2884,2767,2768,2919
1141,564,565,603,607,640,641,642,646,602,605
1142,251,291,3009,249,364,365,92,136,253,290
1143,3004,900,1129,1130,1167,1168,1205,1206,1207,1243
1144,2496,2532,2534,829,2383,828,865,866,903,904
1145,865,903,941,979,1014,1016,1017,1093,1397,2382
1146,831,868,869,871,872,907,908,910,946,983
1147,717,720,754,755,756,757,760,792,794,798
1148,1381,1415,1417,1419,1452,1454,1458,1459,1460,1461
1149,2654,2655,2657,2658,2692,2693,2696,2732,873,874
1150,927,929,930,931,932,933,962,963,964,965
1151,873,874,906,909,911,912,945,947,948,949
1152,643,679,680,682,684,2160,2161,2198,2199,2200
1153,758,795,830,870,1026,1063,1064,1096,1098,1101
1154,759,796,797,832,834,835,836,1097,1099,1100
1155,2654,2655,2657,2658,2692,2693,2696,2732,793,2653
1156,951,952,953,990,609,954,1977,1978,2015,2053
1157,927,929,930,931,932,933,962,963,964,965
