,croc,oc,disco,Cyp310a1,run,Doc3,Mes2,aay,knrl,tsh
580,2483,2487,2523,2524,2525,2527,2562,2564,2602,1160
582,939,976,977,978,1013,1015,1052,1053,1055,1091
583,2636,2556,2557,2593,2594,2595,2597,2637,2638,2678
584,133,172,212,213,288,364,199,200,201,202
585,199,200,201,202,203,204,206,208,210,236
586,92,119,136,215,61,91,100,137,138,253
587,2599,2601,2640,2641,2939,2556,2557,2559,2560,2563
588,901,902,938,940,1054,1245,1625,1663,1700,1701
589,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
590,759,796,797,832,834,835,836,1097,1099,1135
591,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
592,685,687,723,724,725,762,878,647,726,877
593,1737,901,902,938,940,968,1054,1083,1086,1122
595,931,932,933,1125,1162,1164,1165,1166,1200,1201
596,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
598,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
599,786,787,823,824,825,862,864,717,754,755
600,900,1130,901,902,938,940,1054,1245,1587,1625
602,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
603,1737,901,902,938,940,968,1054,1083,1086,1122
604,930,1163,1547,900,927,929,965,966,967,970
605,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
606,31,71,72,73,75,106,107,108,109,110
607,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
608,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
609,761,763,799,801,839,1980,764,765,800,803
610,49,60,86,92,445,481,482,484,520,521
611,720,756,757,794,798,1475,377,413,414,415
612,663,665,667,668,669,700,701,702,703,704
613,2639,2772,2767,2768,2480,2673,2677,2709,2711,2712
614,2636,655,692,2556,2557,2593,2594,2595,2597,2637
615,341,379,342,378,380,377,413,414,415,416
616,2004,2947,635,637,674,675,709,711,747,748
617,901,902,938,940,968,1054,1083,1086,1122,1124
618,941,1014,1094,1397,1587,1890,1891,1892,1928,2496
619,753,377,413,414,415,416,417,418,448,449
620,900,1130,901,902,938,940,1054,1245,1587,1625
621,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
622,873,874,906,909,911,912,945,947,948,949
623,2191,2225,2227,2228,2229,2230,2231,2268,2306,818
624,1323,1361,1399,1438,2383,523,598,635,637,674
625,523,560,655,692,786,787,823,824,825,862
626,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
627,602,981,1626,600,601,638,639,1246,1284,1322
628,527,564,567,603,604,607,608,640,641,642
629,1019,1627,941,1010,1014,1033,1035,1037,1071,1072
630,831,869,871,872,907,908,910,946,983,985
631,341,379,795,870,1063,1064,1096,1098,1101,1102
632,901,902,938,940,1054,1245,1625,1663,1700,1701
633,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
634,560,786,787,823,824,825,862,864,445,481
635,367,403,405,478,133,328,330,331,365,366
636,41,77,78,79,80,81,43,53,88,89
638,367,403,405,478,133,328,330,331,365,366
639,962,963,964,1000,1129,1161,1167,1168,1194,1198
640,377,413,414,415,416,417,418,448,449,450
642,873,874,906,909,911,912,945,947,948,949
643,3004,939,976,977,978,1013,1015,1052,1053,1055
644,3004,602,981,1626,597,599,633,634,636,670
645,1893,873,874,906,909,911,912,945,947,948
646,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
647,720,756,757,794,798,377,413,414,415,416
648,2007,982,1289,1324,1326,1327,1330,1362,1365,1366
649,565,868,1020,1248,1286,1288,1325,1363,1364,1368
650,2004,2947,1777,865,903,979,1016,1017,1093,1160
651,831,869,871,872,907,908,910,946,983,985
652,501,229,267,268,269,270,305,306,307,309
653,1100,1210,1439,1476,1477,1514,1517,1519,1552,1553
654,292,293,330,331,369,406,408,442,444,514
655,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
656,560,445,481,482,484,520,521,522,556,558
657,831,869,871,872,907,908,910,946,983,985
658,2480,2647,2684,2559,2560,2563,2598,2600,2603,2604
661,901,902,938,940,1054,1245,1625,1663,1700,1701
663,759,796,797,832,834,835,836,1097,1099,1135
664,191,153,155,192,193,195,229,232,267,268
665,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
666,1019,1627,981,1133,2963,873,874,906,909,911
667,857,858,859,860,861,892,893,894,896,897
668,981,32,34,35,37,68,74,114,527,564
669,759,796,797,832,834,835,836,1097,1099,1135
670,2004,2947,901,902,938,940,968,1054,1083,1086
671,873,874,906,909,911,912,945,947,948,949
672,873,874,906,909,911,912,945,947,948,949
673,993,1296,1448,1523,1562,1600,989,991,992,1027
674,367,403,405,478,133,328,330,331,365,366
675,720,756,757,794,798,377,413,414,415,416
677,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
678,2730,2734,2691,2767,2768,2762,2804,2693,2695,2733
679,525,720,756,757,794,798,377,413,414,415
680,873,874,906,909,911,912,945,947,948,949
682,2674,2675,2676,2710,2713,2982,2631,2632,2633,2635
683,2004,2947,1777,865,903,979,1016,1017,1093,1160
684,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
686,597,599,633,634,636,670,671,672,697,699
687,939,976,977,978,1013,1015,1052,1053,1055,1091
688,786,787,823,824,825,862,864,717,754,755
689,341,379,529,566,570,2938,263,377,413,414
691,377,413,414,415,416,417,418,448,449,450
692,1893,795,870,1063,1064,1096,1098,1101,1102,1134
693,132,123,162,163,164,169,3012,57,59,92
694,524,445,481,482,484,520,521,522,556,558
695,962,963,964,1000,1161,1194,1198,1199,1232,1233
696,32,34,35,37,68,74,114,2937,31,38
697,901,902,938,940,1054,1245,1625,1663,1700,1701
698,330,331,369,406,408,442,444,445,481,482
699,121,123,162,163,164,169,3012,326,437,440
700,559,561,595,596,562,598,635,637,674,675
701,788,818,826,827,863,1504,1852,1994,2416,2455
702,720,756,757,794,798,377,413,414,415,416
703,873,874,906,909,911,912,945,947,948,949
704,2004,2947,901,902,938,940,968,1054,1083,1086
705,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
706,786,787,823,824,825,862,864,788,789,790
707,2483,2487,2523,2524,2525,2527,2562,2564,2602,1160
708,92,121,328,365,366,404,559,561,595,596
709,900,1130,829,1513,1626,901,902,938,940,1054
710,1070,1107,1108,1145,1146,1147,1183,1373,1410,1411
711,600,601,638,639,770,1915,1917,1946,1947,1950
712,341,379,795,870,1063,1064,1096,1098,1101,1102
713,295,341,379,342,378,380,263,340,332,377
714,212,213,523,618,619,621,17,19,32,34
715,330,331,369,406,408,442,444,514,3017,212
716,720,756,757,794,798,1475,377,413,414,415
717,837,875,876,913,2016,2017,2054,2056,2093,2931
718,541,229,267,268,269,270,305,306,307,309
719,560,655,692,786,787,823,824,825,862,864
720,647,649,688,3023,445,481,482,484,520,521
721,38,11,14,16,18,23,24,26,32,33
723,439,475,476,511,544,545,546,548,581,199
724,2587,2588,2589,2623,2624,2625,2626,2627,2628,2630
725,1475,759,796,797,832,834,835,836,981,1097
726,927,929,965,966,967,970,1195,968,1083,1086
727,989,991,992,1027,1028,1029,1030,1031,1066,1067
728,793,873,874,906,909,911,912,945,947,948
729,837,875,876,913,2016,2017,2054,2056,2093,2931
730,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
731,793,341,379,795,870,1063,1064,1096,1098,1101
734,873,874,906,909,911,912,945,947,948,949
735,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
737,1905,1942,1943,2018,2094,851,881,882,884,885
738,786,787,823,824,825,862,864,788,789,790
739,343,497,498,685,687,723,724,725,762,878
742,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
743,295,341,379,342,378,380,486,332,377,413
744,935,936,937,971,972,973,974,975,1011,1012
745,118,2966,77,78,79,80,117,47,83,84
746,38,523,21,54,215,9,10,11,14,16
747,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
748,1209,1247,1551,900,1130,1437,1513,1589,1703,901
749,759,796,797,832,834,835,836,1097,1099,1135
750,873,874,906,909,911,912,945,947,948,949
751,1737,901,902,938,940,968,1054,1083,1086,1122
752,994,995,997,998,999,1034,1036,1038,1149,1186
753,786,787,823,824,825,862,864,788,789,790
754,764,800,838,685,687,723,724,725,762,878
755,786,787,823,824,825,862,864,891,925,928
756,2556,2557,2594,2595,2597,2638,2517,2519,2558,2561
757,981,831,869,871,872,907,908,910,946,983
758,527,564,567,603,604,607,608,640,641,642
759,525,720,756,757,794,798,377,413,414,415
760,377,413,414,415,416,417,418,448,449,450
761,600,601,638,639,1246,1284,1322,1360,1436,3004
762,439,475,476,511,544,545,546,548,581,199
763,1994,2482,2486,2528,883,1813,1887,1889,1962,1966
764,720,756,757,794,798,1475,377,413,414,415
765,982,1289,1324,1326,1327,1330,1362,1365,1366,1400
767,900,1130,901,902,938,940,1054,1245,1587,1625
768,3004,935,936,937,971,972,973,974,975,1011
769,957,958,959,960,1501,1502,1503,1540,1541,1542
770,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
771,981,831,869,871,872,907,908,910,946,983
772,1626,901,902,938,940,1054,1245,1625,1663,1700
773,981,1057,1285,1475,831,869,871,872,907,908
775,2124,2163,2950,3001,873,874,906,909,911,912
776,120,122,157,119,154,156,123,158,162,163
777,1019,1627,873,874,906,909,911,912,945,947
778,764,800,838,761,763,799,801,839,1980,685
779,1599,1675,1676,1677,1715,1752,2169,2208,2247,2547
781,1641,1679,1680,1681,1717,1718,1719,1720,1721,1723
782,3004,2383,597,599,633,634,636,670,671,672
783,2716,2721,2674,2675,2676,2679,2710,2713,2717,2718
784,962,963,964,1000,1161,1194,1198,1199,1232,1233
785,32,34,35,37,68,74,114,2937,31,38
786,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
787,935,936,937,971,972,973,974,975,1011,1012
789,32,34,35,37,68,74,114,2937,31,38
790,3004,1129,1167,1168,1205,1206,1207,1243,1244,1435
791,1019,1627,873,874,906,909,911,912,945,947
792,2725,2772,2730,2734,720,756,757,794,798,1475
793,1179,647,2813,989,991,992,1027,1028,1029,1030
794,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
795,1737,901,902,938,940,968,1054,1083,1086,1122
796,804,850,697,699,729,731,732,733,734,735
797,1475,1171,1550,759,796,797,832,834,835,836
798,831,869,871,872,907,908,910,946,983,985
799,837,875,876,913,2016,2017,2054,2056,2093,2931
800,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
801,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
802,486,377,413,414,415,416,417,418,448,449
803,857,858,859,860,861,892,893,894,896,897
804,831,869,871,872,907,908,910,946,983,985
805,935,936,937,971,972,973,974,975,1011,1012
806,786,787,823,824,825,862,864,717,754,755
809,1019,1627,873,874,906,909,911,912,945,947
810,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
811,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
812,251,291,292,3009,328,330,331,365,366,369
813,993,1296,1448,1523,1562,1600,989,991,992,1027
815,962,963,964,1000,1161,1194,1198,1199,1232,1233
816,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
817,900,927,929,965,966,967,970,1130,1195,1853
819,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
820,172,2480,786,787,823,824,825,862,864,891
821,857,858,859,860,861,892,893,894,896,897
822,720,756,757,794,798,527,564,567,603,604
823,831,869,871,872,907,908,910,946,983,985
824,423,425,462,463,464,465,500,344,345,347
825,831,869,871,872,907,908,910,946,983,985
826,927,929,965,966,967,970,1195,968,1083,1086
827,865,903,979,1016,1017,1093,1739,1776,1814,1815
828,873,874,906,909,911,912,945,947,948,949
829,786,787,823,824,825,862,864,788,789,790
831,2109,2145,2146,2147,2185,2187,2224,2226,2232,2265
832,1,2,3,4,5,6,7,8,9,10
833,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
834,2938,2313,569,606,645,681,683,718,719,721
836,989,991,992,1027,1028,1029,1030,1031,1066,1067
837,2480,2647,2684,2559,2560,2563,2598,2600,2603,2604
838,788,818,826,827,863,1504,1852,1994,2416,2455
839,553,554,555,557,587,589,590,591,592,623
840,525,720,756,757,794,798,1475,377,413,414
841,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
842,786,787,823,824,825,862,864,788,789,790
843,873,874,906,909,911,912,945,947,948,949
844,786,787,823,824,825,862,864,891,925,928
845,1599,1675,1676,1677,1715,1752,2169,2208,2247,2547
846,850,968,1083,1086,1122,1124,1156,2483,2487,2523
847,758,830,1026,1177,1216,1406,1442,1444,1481,1520
848,877,914,764,765,800,803,838,840,841,761
849,935,936,937,971,972,973,974,975,1011,1012
850,900,927,929,965,966,967,970,1130,1195,1853
851,901,902,938,940,1054,1245,1625,1663,1700,1701
852,1626,635,637,674,675,709,711,747,748,749
855,837,875,876,913,2016,2017,2054,2056,2093,2931
856,981,1626,1246,1284,1322,1360,1436,3004,831,867
857,759,796,797,832,834,835,836,1097,1099,1135
858,720,756,757,794,798,527,564,567,603,604
859,3004,939,976,977,978,1013,1015,1052,1053,1055
861,2483,2487,2523,2524,2525,2527,2562,2564,2602,1160
862,1179,989,991,992,1027,1028,1029,1030,1031,1066
863,496,505,533,534,535,536,537,571,572,573
865,343,497,498,685,687,723,724,725,762,878
866,873,874,906,909,911,912,945,947,948,949
867,341,379,377,413,414,415,416,417,418,448
869,133,172,212,213,288,364,199,200,201,202
870,569,606,645,681,683,718,719,721,722,526
871,981,1626,1246,1284,1322,1360,1436,3004,831,867
872,569,606,645,681,683,718,719,721,722,296
873,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
874,1475,759,796,797,832,834,835,836,981,1097
875,1513,1100,1210,1323,1361,1399,1438,1439,1476,1477
876,2799,2800,2801,2803,2805,2843,2764,2765,2795,2796
877,263,295,296,341,379,529,566,570,2938,183
878,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
880,173,174,618,619,621,135,175,53,88,89
881,786,787,823,824,825,862,864,891,925,928
882,831,869,871,872,907,908,910,946,983,985
883,441,477,479,512,513,515,516,547,549,550
884,523,524,445,481,482,484,520,521,522,556
886,793,720,756,757,794,798,341,379,795,870
887,931,932,933,1125,1162,1164,1165,1166,1200,1201
888,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
890,525,720,756,757,794,798,377,413,414,415
891,786,787,823,824,825,862,864,788,789,790
892,793,341,379,795,870,1063,1064,1096,1098,1101
893,993,1296,1448,1523,1562,1600,996,1032,1184,1221
894,32,34,35,37,68,74,114,2937,31,38
895,524,485,523,562,60,296,526,529,566,570
896,2124,2163,2950,3001,527,564,567,603,604,607
897,113,146,148,149,181,184,186,220,221,2957
898,788,826,827,863,2717,2718,2719,2753,2754,2755
899,2826,2723,2759,2813,2587,2588,2589,2623,2624,2625
900,900,927,929,965,966,967,970,1130,1195,829
901,123,162,163,164,169,3012,120,122,126,129
902,927,929,965,966,967,970,1195,968,1083,1086
903,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
904,120,122,157,119,154,156,123,158,162,163
905,720,756,757,794,798,377,413,414,415,416
906,831,869,871,872,907,908,910,946,983,985
907,831,869,871,872,907,908,910,946,983,985
908,1587,1928,2496,2532,2534,828,865,866,903,904
909,2661,2662,2699,2700,2737,2738,2739,2740,2775,2776
910,793,1133,2963,295,341,379,795,870,1019,1063
911,1890,3004,962,963,964,1000,1129,1161,1167,1168
912,1657,1695,1696,1697,1698,1735,1736,2001,2039,2041
913,133,172,212,213,288,364,199,200,201,202
914,524,445,481,482,484,520,521,522,556,558
915,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
916,1890,989,991,992,1027,1028,1029,1030,1031,1066
917,527,564,567,603,604,607,608,640,641,642
918,789,790,717,754,755,760,792,829,1513,1626
919,496,505,533,534,535,536,537,571,572,573
920,295,341,379,342,378,380,486,332,377,413
921,551,584,585,588,617,620,2965,3033,441,477
922,578,3031,158,230,231,233,234,235,271,272
923,2191,2225,2227,2228,2229,2230,2231,2268,2306,2077
925,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
926,720,756,757,794,798,377,413,414,415,416
927,931,932,933,1125,1162,1164,1165,1166,1200,1201
928,930,1163,1547,900,927,929,965,966,967,970
929,873,874,906,909,911,912,945,947,948,949
930,486,377,413,414,415,416,417,418,448,449
931,663,665,667,668,669,700,701,702,703,704
932,1,2,3,4,5,6,7,8,9,10
933,368,329,367,403,405,474,478,505,507,2716
934,931,932,933,1125,1162,1164,1165,1166,1200,1201
935,793,341,379,795,870,1063,1064,1096,1098,1101
936,447,11,14,16,18,23,24,26,33,3019
937,939,976,977,978,1013,1015,1052,1053,1055,1091
938,1737,901,902,938,940,968,1054,1083,1086,1122
940,445,481,482,484,520,521,522,556,558,407
941,496,533,534,535,536,537,541,571,572,573
942,341,379,526,529,566,570,2938,263,340,2201
946,831,869,871,872,907,908,910,946,983,985
947,795,870,1063,1064,1096,1098,1101,1102,1134,1139
948,981,1057,1285,1475,831,869,871,872,907,908
949,930,1163,1547,900,927,929,965,966,967,970
950,1357,1464,1465,1466,1617,1619,1620,1621,1656,1659
951,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
952,1209,1247,1551,900,1130,1437,1513,1589,1703,901
953,831,869,871,872,907,908,910,946,983,985
954,1737,901,902,938,940,968,1054,1083,1086,1122
955,883,1957,1992,1993,2031,2032,2108,2109,2145,2146
957,939,976,977,978,1013,1015,1052,1053,1055,1091
958,341,379,795,870,1063,1064,1096,1098,1101,1102
959,951,952,953,990,1597,1635,1749,1750,1787,1788
960,761,763,799,801,839,1065,1069,1103,1104,1105
961,831,869,871,872,907,908,910,946,983,985
962,288,364,659,691,693,694,695,696,698,730
963,941,1014,1094,1397,1587,1890,1891,1892,1928,2496
964,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
965,1019,1627,873,874,906,909,911,912,945,947
966,370,486,257,258,296,529,566,570,219,255
967,2637,2678,2599,2601,2640,2641,2939,2483,2487,2523
968,2661,2662,2699,2700,2737,2738,2739,2740,2775,2776
969,1065,1069,1103,1104,1105,1106,1141,1142,1143,1144
970,765,803,840,841,802,879,915,916,917,1981
971,1246,1284,1322,1360,1436,980,1018,1057,1285,1359
972,873,874,906,909,911,912,945,947,948,949
973,2124,2163,2950,3001,873,874,906,909,911,912
974,635,637,674,675,709,711,747,748,749,901
975,341,379,377,413,414,415,416,417,418,448
976,1019,1627,981,1133,2963,873,874,906,909,911
977,873,874,906,909,911,912,945,947,948,949
978,873,874,906,909,911,912,945,947,948,949
979,341,379,342,378,380,377,413,414,415,416
980,900,1130,901,902,938,940,1054,1245,1587,1625
981,2107,2184,2220,2221,2222,2298,697,699,729,731
982,569,606,645,681,683,718,719,721,722,526
983,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
984,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
985,3004,939,976,977,978,1013,1015,1052,1053,1055
986,1019,1627,2124,2163,2950,3001,981,1133,2963,873
987,343,497,498,685,687,723,724,725,762,878
988,121,328,365,366,404,559,561,595,596,123
989,635,637,674,675,709,711,747,748,749,850
990,330,331,369,406,408,442,444,445,481,482
991,527,564,567,603,604,607,608,640,641,642
992,1626,901,902,938,940,1054,1245,1625,1663,1700
993,46,47,83,84,85,87,124,53,88,89
994,873,874,906,909,911,912,945,947,948,949
995,939,969,976,977,978,1001,1002,1003,1004,1005
996,989,991,992,1027,1028,1029,1030,1031,1066,1067
997,989,991,992,1027,1028,1029,1030,1031,1066,1067
998,1599,1675,1676,1677,1715,1752,2169,2208,2247,2547
999,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
1000,793,1133,2963,295,341,379,795,870,1019,1063
1001,344,345,347,381,382,383,384,385,386,419
1002,32,34,35,37,68,74,114,295,341,379
1003,989,991,992,1027,1028,1029,1030,1031,1066,1067
1004,837,875,876,913,989,991,992,1027,1028,1029
1005,602,981,1626,600,601,638,639,1246,1284,1322
1006,597,599,633,634,636,670,671,672,707,710
1007,525,720,756,757,794,798,1475,377,413,414
1008,1713,1751,1753,1789,1790,1791,1827,1904,1941,2245
1010,689,690,802,2987,77,78,79,80,761,763
1011,32,34,35,37,68,74,114,2937,31,38
1012,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
1013,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
1014,2552,2556,2557,2594,2595,2597,2634,2638,2639,2674
1016,343,497,498,685,687,723,724,725,762,878
1018,994,995,997,998,999,1034,1036,1038,1149,1186
1019,685,687,723,724,725,762,878,647,726,877
1020,981,527,564,567,603,604,607,608,640,641
1021,250,281,282,283,284,313,315,316,317,318
1022,2124,2163,2950,3001,527,564,567,603,604,607
1023,367,403,405,478,560,786,787,823,824,825
1024,2152,438,1357,1464,1465,1466,1617,1619,1620,1621
1025,935,936,937,971,972,973,974,975,1011,1012
1026,341,379,377,413,414,415,416,417,418,448
1027,759,796,797,832,834,835,836,1097,1099,1135
1029,523,941,1014,1397,3004,445,481,482,484,520
1031,423,425,462,463,464,465,500,343,497,498
1034,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1035,873,874,906,909,911,912,945,947,948,949
1037,2637,2678,2599,2601,2640,2641,2939,2483,2487,2523
1038,3004,935,936,937,971,972,973,974,975,1011
1040,523,3004,525,720,756,757,794,798,1475,377
1042,377,413,414,415,416,417,418,448,449,450
1043,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1044,341,379,377,413,414,415,416,417,418,448
1046,786,787,823,824,825,862,864,891,925,928
1047,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1048,1133,2963,795,870,1019,1063,1064,1096,1098,1101
1049,618,619,621,583,622,654,656,657,658,697
1051,121,123,162,163,164,169,3012,326,437,440
1052,1890,989,991,992,1027,1028,1029,1030,1031,1066
1053,793,1133,2963,957,958,959,960,1755,1757,1758
1054,868,1020,1248,1286,1288,1325,1363,1364,1368,1401
1055,1626,635,637,674,675,709,711,747,748,749
1056,296,529,566,570,259,301,303,486,377,413
1057,989,991,992,1027,1028,1029,1030,1031,1066,1067
1058,663,665,667,668,669,700,701,702,703,704
1059,32,34,35,37,68,74,114,295,341,379
1060,981,1626,1246,1284,1322,1360,1436,3004,831,867
1061,523,445,481,482,484,520,521,522,556,558
1062,9,10,32,34,35,37,42,50,56,58
1063,1,2,3,4,5,6,7,8,9,10
1064,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1065,745,746,778,779,781,815,816,1737,2565,2566
1066,873,874,906,909,911,912,945,947,948,949
1067,1636,1673,1674,1711,1712,1939,2129,2167,2205,2206
1068,857,858,859,860,861,892,893,894,896,897
1069,46,622,654,656,657,658,661,886,887,890
1070,1475,486,1171,1550,377,413,414,415,416,417
1071,593,594,629,631,632,661,697,699,729,731
1072,1504,1852,2416,2455,2457,2494,2495,2533,2570,2940
1073,523,3004,525,720,756,757,794,798,1475,377
1074,2643,2644,2645,2680,2681,2682,2683,2685,2722,2599
1075,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
1076,32,34,35,37,68,74,114,2937,31,38
1077,2124,2163,2950,3001,527,564,567,603,604,607
1078,259,113,146,148,149,181,184,186,220,221
1079,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1080,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1081,720,756,757,794,798,377,413,414,415,416
1082,786,787,823,824,825,862,864,2651,2688,788
1083,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1084,3004,939,976,977,978,1013,1015,1052,1053,1055
1085,344,345,347,381,382,383,384,385,386,419
1086,1475,759,796,797,832,834,835,836,981,1097
1088,2565,2566,2646,1657,1695,1696,1697,1698,1735,1736
1089,989,991,992,1027,1028,1029,1030,1031,1066,1067
1090,32,34,35,37,68,74,114,2937,31,38
1091,865,903,979,1016,1017,1093,1739,1775,1776,1814
1092,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1093,837,875,876,913,2016,2017,2054,2056,2093,2931
1094,565,569,606,645,681,683,717,718,719,721
1095,341,379,795,870,1063,1064,1096,1098,1101,1102
1096,873,874,906,909,911,912,945,947,948,949
1098,1019,1627,981,1133,2963,873,874,906,909,911
1100,900,1130,901,902,938,940,1054,1245,1587,1625
1101,2551,2471,2472,2510,2511,2512,2550,2553,2554,2555
1102,1813,1887,1889,1962,1966,2002,2374,2375,2412,2413
1103,831,869,871,872,907,908,910,946,983,985
1105,3004,939,976,977,978,1013,1015,1052,1053,1055
1106,930,1163,1547,900,927,929,965,966,967,970
1107,2587,2623,2624,2625,2626,2627,2628,2663,2664,2665
1108,1323,1361,1399,1438,868,1020,1248,1286,1288,1325
1110,873,874,906,909,911,912,945,947,948,949
1111,900,1130,901,902,938,940,1054,1245,1587,1625
1112,968,1083,1086,1122,1124,1156,1160,1730,1768,1771
1113,690,951,952,953,990,1597,1635,1749,1750,1787
1115,957,958,959,960,1501,1502,1503,1540,1541,1542
1116,930,1163,1547,900,927,929,965,966,967,970
1117,1,2,3,4,5,6,7,8,9,10
1118,831,869,871,872,907,908,910,946,983,985
1119,793,720,756,757,794,798,341,379,795,870
1122,690,951,952,953,990,1597,1635,1749,1750,1787
1123,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1124,370,486,1171,1550,333,334,371,372,373,410
1126,602,981,1626,600,601,638,639,1246,1284,1322
1127,593,594,629,631,632,1357,1464,1465,1466,1617
1128,793,341,379,795,870,1063,1064,1096,1098,1101
1129,1010,1033,1035,1037,1071,1072,1073,1074,1075,1077
1130,407,409,443,446,483,517,518,519,367,403
1131,57,59,93,94,95,117,53,88,89,97
1132,2004,2947,865,903,979,1016,1017,1093,1160,1730
1133,939,976,977,978,1013,1015,1052,1053,1055,1091
1135,389,391,426,427,428,429,430,431,433,466
1136,439,475,476,511,544,545,546,548,581,199
1137,341,379,342,378,380,377,413,414,415,416
1138,523,786,787,823,824,825,862,864,377,413
1139,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
1140,2673,2677,2709,2711,2712,2714,2715,2748,2750,2751
1141,2938,569,606,645,681,683,718,719,721,722
1142,326,437,440,121,170,171,209,211,248,286
1143,1129,1167,1168,1205,1206,1207,1243,1244,1435,1472
1144,1501,1502,1503,1540,1541,1542,1543,1545,1578,1579
1145,865,903,979,1016,1017,1093,1739,1776,1814,1815
1146,759,796,797,832,834,835,836,1097,1099,1135
1147,720,756,757,794,798,377,413,414,415,416
1148,1160,1730,1768,1771,1772,1773,1774,1885,1921,1922
1149,793,720,756,757,794,798,341,379,795,870
1150,931,932,933,1125,1162,1164,1165,1166,1200,1201
1151,873,874,906,909,911,912,945,947,948,949
1152,569,606,645,681,683,718,719,721,722,526
1153,795,870,1063,1064,1096,1098,1101,1102,1134,1139
1154,759,796,797,832,834,835,836,1097,1099,1135
1155,793,873,874,906,909,911,912,945,947,948
1156,951,952,953,990,1597,1635,1749,1750,1787,1788
1157,930,1163,1547,900,927,929,965,966,967,970
1158,788,826,827,863,3029,332,1589,370,486,750
1159,1893,341,379,795,870,1063,1064,1096,1098,1101
1160,618,619,621,583,622,654,656,657,658,697
1161,989,991,992,1027,1028,1029,1030,1031,1066,1067
1162,759,796,797,832,834,835,836,1097,1099,1135
1164,2716,2721,2674,2675,2676,2679,2710,2713,2717,2718
1165,1475,486,1171,1550,377,413,414,415,416,417
1166,569,606,645,681,683,718,719,721,722,526
1167,745,746,778,779,781,815,816,1737,2565,2566
1168,597,599,633,634,636,670,671,672,707,710
1170,367,403,405,478,133,328,330,331,365,366
1171,367,403,405,478,133,328,330,331,365,366
1172,969,1001,1002,1003,1004,1005,1006,1007,1008,1009
1173,993,1070,1107,1108,1145,1146,1147,1160,1183,1296
1174,996,1032,1184,1221,1222,1258,1259,1297,1334,1335
1175,759,796,797,832,834,835,836,1097,1099,1135
1176,377,413,414,415,416,417,418,448,449,450
1177,981,1057,1285,1475,831,869,871,872,907,908
1179,720,756,757,794,798,377,413,414,415,416
